,what,is,violating,a,law,which,is,not,the,goal,of,the,protest,called,?
disobedience,0.3298627436161041,0.21453623473644257,0.4958089590072632,0.25352153182029724,0.3980846405029297,0.3121037483215332,0.21453623473644257,0.38157403469085693,0.30963727831840515,0.21402046084403992,0.31932318210601807,0.30963727831840515,0.5334797501564026,0.2320696860551834,0.19890835881233215
involves,0.2138185203075409,0.33874383568763733,0.2784978747367859,0.35207560658454895,0.1587483286857605,0.29399245977401733,0.33874383568763733,0.2742948532104492,0.25744810700416565,0.2067742496728897,0.32495999336242676,0.25744810700416565,0.1348268687725067,0.3493511378765106,0.14038428664207458
violating,0.3121029734611511,0.17535355687141418,1.0,0.18792375922203064,0.37447673082351685,0.26246848702430725,0.17535355687141418,0.3458274304866791,0.22521525621414185,0.15631207823753357,0.23101533949375153,0.22521525621414185,0.37129250168800354,0.12547644972801208,0.29518213868141174
a,0.3320399522781372,0.658733606338501,0.18792375922203064,1.0,0.2212858349084854,0.56894451379776,0.658733606338501,0.3791346549987793,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.25490954518318176,0.4868806302547455,0.23916715383529663
law,0.2145031988620758,0.18597714602947235,0.37447673082351685,0.2212858349084854,1.0000001192092896,0.20205146074295044,0.18597714602947235,0.2588513493537903,0.24548950791358948,0.15833541750907898,0.2816956341266632,0.24548950791358948,0.2895473539829254,0.20824196934700012,0.1528988480567932
which,0.5261979103088379,0.4457404911518097,0.26246848702430725,0.56894451379776,0.20205146074295044,1.0,0.4457404911518097,0.46766895055770874,0.6521818041801453,0.19597876071929932,0.5011631846427917,0.6521818041801453,0.20171445608139038,0.5573342442512512,0.25814583897590637
is,0.28837618231773376,1.0,0.17535355687141418,0.658733606338501,0.18597714602947235,0.4457404911518097,1.0,0.3776007890701294,0.5823672413825989,0.20883920788764954,0.4854315221309662,0.5823672413825989,0.16113008558750153,0.430266410112381,0.22961433231830597
not,0.5449194312095642,0.3776007890701294,0.3458274304866791,0.3791346549987793,0.2588513493537903,0.46766895055770874,0.3776007890701294,0.9999999403953552,0.4310511648654938,0.22583067417144775,0.3307090103626251,0.4310511648654938,0.227195143699646,0.324552983045578,0.41942933201789856
",",0.3087472915649414,0.4691906273365021,0.25496706366539,0.427140474319458,0.24953721463680267,0.3658004403114319,0.4691906273365021,0.3769696354866028,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.2963520884513855,0.26549121737480164,0.31091248989105225
itself,0.3625122308731079,0.3638126254081726,0.28797823190689087,0.4065200984477997,0.13593854010105133,0.5675862431526184,0.3638126254081726,0.3859366476535797,0.45971640944480896,0.11112519353628159,0.3157202899456024,0.45971640944480896,0.17691704630851746,0.3616667687892914,0.17933900654315948
",",0.3087472915649414,0.4691906273365021,0.25496706366539,0.427140474319458,0.24953721463680267,0.3658004403114319,0.4691906273365021,0.3769696354866028,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.2963520884513855,0.26549121737480164,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.22521525621414185,0.5829201340675354,0.24548950791358948,0.6521818041801453,0.5823672413825989,0.4310511648654938,1.0,0.2443244755268097,0.733189046382904,1.0,0.25126034021377563,0.489897221326828,0.22068053483963013
object,0.25733083486557007,0.30146875977516174,0.20366597175598145,0.3271922171115875,0.17799732089042664,0.2891029715538025,0.30146875977516174,0.25356924533843994,0.22418850660324097,0.2247733771800995,0.1993778944015503,0.22418850660324097,0.17677153646945953,0.18830756843090057,0.19573666155338287
of,0.33290785551071167,0.4854315221309662,0.23101533949375153,0.5052502155303955,0.2816956341266632,0.5011631846427917,0.4854315221309662,0.3307090103626251,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.24564224481582642,0.4222904443740845,0.1826142966747284
protest,0.20248152315616608,0.16113008558750153,0.37129250168800354,0.25490954518318176,0.2895473539829254,0.20171445608139038,0.16113008558750153,0.227195143699646,0.25126034021377563,0.19678783416748047,0.24564224481582642,0.25126034021377563,0.9999998807907104,0.18736189603805542,0.1878921240568161
",",0.3087472915649414,0.4691906273365021,0.25496706366539,0.427140474319458,0.24953721463680267,0.3658004403114319,0.4691906273365021,0.3769696354866028,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.2963520884513855,0.26549121737480164,0.31091248989105225
whereas,0.32338035106658936,0.2756590247154236,0.16116082668304443,0.27881526947021484,0.23232196271419525,0.46635621786117554,0.2756590247154236,0.3830116391181946,0.3696324825286865,0.2042951136827469,0.34012725949287415,0.3696324825286865,0.1541115790605545,0.31903108954429626,0.1950923502445221
direct,0.26271191239356995,0.20874382555484772,0.2014613300561905,0.27544090151786804,0.22744078934192657,0.3581477105617523,0.20874382555484772,0.26088273525238037,0.3262479901313782,0.19926728308200836,0.2533726394176483,0.3262479901313782,0.11720093339681625,0.22859473526477814,0.18476411700248718
civil,0.15091551840305328,0.16941262781620026,0.28089675307273865,0.21693918108940125,0.31305259466171265,0.13459211587905884,0.16941262781620026,0.18740713596343994,0.2477465271949768,0.17077134549617767,0.24698495864868164,0.2477465271949768,0.29364001750946045,0.1720334142446518,0.1494513899087906
disobedience,0.3298627436161041,0.21453623473644257,0.4958089590072632,0.25352153182029724,0.3980846405029297,0.3121037483215332,0.21453623473644257,0.38157403469085693,0.30963727831840515,0.21402046084403992,0.31932318210601807,0.30963727831840515,0.5334797501564026,0.2320696860551834,0.19890835881233215
involves,0.2138185203075409,0.33874383568763733,0.2784978747367859,0.35207560658454895,0.1587483286857605,0.29399245977401733,0.33874383568763733,0.2742948532104492,0.25744810700416565,0.2067742496728897,0.32495999336242676,0.25744810700416565,0.1348268687725067,0.3493511378765106,0.14038428664207458
protesting,0.24315145611763,0.16472825407981873,0.40923255681991577,0.2591511309146881,0.33029448986053467,0.26733139157295227,0.16472825407981873,0.24801456928253174,0.30172768235206604,0.1788586974143982,0.31025201082229614,0.30172768235206604,0.8452185988426208,0.2393864095211029,0.19058556854724884
the,0.42745697498321533,0.5823672413825989,0.22521525621414185,0.5829201340675354,0.24548950791358948,0.6521818041801453,0.5823672413825989,0.4310511648654938,1.0,0.2443244755268097,0.733189046382904,1.0,0.25126034021377563,0.489897221326828,0.22068053483963013
existence,0.28166496753692627,0.22892314195632935,0.2591078281402588,0.2136906236410141,0.12821553647518158,0.3328109681606293,0.22892314195632935,0.2870420217514038,0.3168535828590393,0.195733904838562,0.28272730112075806,0.3168535828590393,0.10684828460216522,0.18354812264442444,0.17803658545017242
of,0.33290785551071167,0.4854315221309662,0.23101533949375153,0.5052502155303955,0.2816956341266632,0.5011631846427917,0.4854315221309662,0.3307090103626251,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.24564224481582642,0.4222904443740845,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.18792375922203064,1.0,0.2212858349084854,0.56894451379776,0.658733606338501,0.3791346549987793,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.25490954518318176,0.4868806302547455,0.23916715383529663
particular,0.4548671245574951,0.3500361442565918,0.2880502939224243,0.439316987991333,0.18847595155239105,0.5626340508460999,0.3500361442565918,0.40213173627853394,0.4066357910633087,0.18502137064933777,0.3490585684776306,0.4066357910633087,0.1777876764535904,0.3039364814758301,0.2741454839706421
law,0.2145031988620758,0.18597714602947235,0.37447673082351685,0.2212858349084854,1.0000001192092896,0.20205146074295044,0.18597714602947235,0.2588513493537903,0.24548950791358948,0.15833541750907898,0.2816956341266632,0.24548950791358948,0.2895473539829254,0.20824196934700012,0.1528988480567932
by,0.2455483376979828,0.3899846076965332,0.21645773947238922,0.32094135880470276,0.1977037936449051,0.40543368458747864,0.3899846076965332,0.291808545589447,0.4408751428127289,0.14687420427799225,0.3646814823150635,0.4408751428127289,0.20389297604560852,0.3092815577983856,0.17966607213020325
breaking,0.2832198143005371,0.18105864524841309,0.3627116084098816,0.22045902907848358,0.21749623119831085,0.33258873224258423,0.18105864524841309,0.21981479227542877,0.33078882098197937,0.25026774406433105,0.2451951652765274,0.33078882098197937,0.23613499104976654,0.23848547041416168,0.16709092259407043
that,0.6297725439071655,0.3995479643344879,0.32859301567077637,0.47537946701049805,0.23277728259563446,0.6894589066505432,0.3995479643344879,0.6600887179374695,0.5473989248275757,0.2496824711561203,0.41498205065727234,0.5473989248275757,0.2501324415206909,0.41604554653167725,0.32716336846351624
law,0.2145031988620758,0.18597714602947235,0.37447673082351685,0.2212858349084854,1.0000001192092896,0.20205146074295044,0.18597714602947235,0.2588513493537903,0.24548950791358948,0.15833541750907898,0.2816956341266632,0.24548950791358948,0.2895473539829254,0.20824196934700012,0.1528988480567932
.,0.3567904531955719,0.4569662809371948,0.2260214388370514,0.50484299659729,0.24482665956020355,0.45942068099975586,0.4569662809371948,0.4824007451534271,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.5934505462646484,0.2598128020763397,0.300344854593277,0.4130953550338745
'',0.08143015950918198,0.0793738141655922,-0.04240139573812485,0.04890415817499161,0.02283594384789467,-0.03332270681858063,0.0793738141655922,0.04262445494532585,0.041273195296525955,0.045381300151348114,0.13035868108272552,0.041273195296525955,-0.03051380254328251,0.021102847531437874,0.018684765323996544
