,what,major,crop,was,brought,to,china,from,the,west,?
crop,0.19372086226940155,0.20893627405166626,0.9999999403953552,0.19566300511360168,0.23163163661956787,0.25057145953178406,0.22241657972335815,0.1911134570837021,0.2355663925409317,0.14560753107070923,0.13911081850528717
",",0.3087472915649414,0.29355156421661377,0.24668627977371216,0.45456063747406006,0.30810219049453735,0.44245919585227966,0.27650898694992065,0.39760664105415344,0.4933079481124878,0.28857502341270447,0.31091248989105225
sorghum,0.23002049326896667,0.1786658763885498,0.5365983247756958,0.18148572742938995,0.28794604539871216,0.23081104457378387,0.31074944138526917,0.20062804222106934,0.24674788117408752,0.18141008913516998,0.22753742337226868
",",0.3087472915649414,0.29355156421661377,0.24668627977371216,0.45456063747406006,0.30810219049453735,0.44245919585227966,0.27650898694992065,0.39760664105415344,0.4933079481124878,0.28857502341270447,0.31091248989105225
along,0.22421957552433014,0.2070547193288803,0.14080539345741272,0.24175575375556946,0.21813085675239563,0.2976071536540985,0.13751818239688873,0.279703289270401,0.39495137333869934,0.29615718126296997,0.17134909331798553
with,0.2464839518070221,0.21643421053886414,0.14166250824928284,0.27411898970603943,0.327576220035553,0.4239959120750427,0.19833041727542877,0.26272761821746826,0.4223487675189972,0.16849102079868317,0.2433311939239502
other,0.341873437166214,0.3157308101654053,0.1904875785112381,0.14651623368263245,0.2527067959308624,0.4193183183670044,0.2609413266181946,0.30141791701316833,0.44152235984802246,0.2109699845314026,0.24682199954986572
foreign,0.1784719079732895,0.15166714787483215,0.17822720110416412,0.18690811097621918,0.1925869733095169,0.2349770963191986,0.3090929687023163,0.2357778251171112,0.2946566939353943,0.1757543534040451,0.13770383596420288
food,0.23540689051151276,0.1521664261817932,0.39968761801719666,0.17583929002285004,0.24254082143306732,0.2816076874732971,0.2093294858932495,0.17272236943244934,0.3025728166103363,0.07084774971008301,0.15376032888889313
products,0.2088814079761505,0.15565669536590576,0.3312998116016388,0.1745183914899826,0.15252339839935303,0.2591564655303955,0.2461743950843811,0.20573444664478302,0.2547704577445984,0.14179600775241852,0.20429900288581848
and,0.31309178471565247,0.29795366525650024,0.21712875366210938,0.3740963041782379,0.3560350239276886,0.48971283435821533,0.27966102957725525,0.3601827025413513,0.5171257257461548,0.273951917886734,0.20544172823429108
methods,0.23519274592399597,0.13154488801956177,0.271369606256485,0.14376403391361237,0.19298508763313293,0.2978132367134094,0.18861518800258636,0.1720103919506073,0.22011874616146088,0.0320155993103981,0.19441695511341095
of,0.33290785551071167,0.2641255557537079,0.22728197276592255,0.4069072902202606,0.3339962065219879,0.41548454761505127,0.27699828147888184,0.4249346852302551,0.733189046382904,0.2891985774040222,0.1826142966747284
preparation,0.26310619711875916,0.17124158143997192,0.2291208803653717,0.19550098478794098,0.21474303305149078,0.3090265393257141,0.21294540166854858,0.20284703373908997,0.3215954303741455,0.16918662190437317,0.12383629381656647
.,0.3567904531955719,0.3054012954235077,0.25998276472091675,0.40146201848983765,0.31484454870224,0.4645031690597534,0.2979343831539154,0.41536515951156616,0.5934505462646484,0.2804967761039734,0.4130953550338745
