,what,eponymous,variation,of,arithmetic,presents,a,decision,problem,not,evidenced,in,p,?
have,0.39808809757232666,0.23149144649505615,0.24108383059501648,0.3802283704280853,0.26209360361099243,0.14893415570259094,0.338716596364975,0.26912081241607666,0.3683631420135498,0.5619372129440308,0.38168251514434814,0.36843645572662354,0.10824868083000183,0.32991164922714233
been,0.2567804455757141,0.17889709770679474,0.21762967109680176,0.31685134768486023,0.1402350664138794,0.1808844953775406,0.3315402865409851,0.23335477709770203,0.29583504796028137,0.39571741223335266,0.3853335678577423,0.3515113592147827,0.06419767439365387,0.24354910850524902
written,0.25412634015083313,0.28037744760513306,0.1936551183462143,0.20874574780464172,0.28811487555503845,0.23661106824874878,0.22976966202259064,0.15416157245635986,0.18358589708805084,0.22100651264190674,0.15471462905406952,0.20878943800926208,0.05970701202750206,0.21451954543590546
that,0.6297725439071655,0.24419265985488892,0.2502545714378357,0.41498205065727234,0.307146281003952,0.30024439096450806,0.47537946701049805,0.35045957565307617,0.4416671693325043,0.6600887179374695,0.40524137020111084,0.435920387506485,0.15546166896820068,0.32716336846351624
solve,0.3072938323020935,0.11979785561561584,0.1885399967432022,0.15426263213157654,0.35383787751197815,0.16844235360622406,0.1866181194782257,0.25434455275535583,0.5774925351142883,0.253805935382843,0.202370747923851,0.14587397873401642,0.1460711508989334,0.27457404136657715
the,0.42745697498321533,0.3006865978240967,0.28104788064956665,0.733189046382904,0.16548693180084229,0.3075920641422272,0.5829201340675354,0.2905151844024658,0.24928659200668335,0.4310511648654938,0.24880239367485046,0.6662389636039734,0.16481639444828033,0.22068053483963013
problem,0.42183366417884827,0.1782437413930893,0.2710123658180237,0.20464475452899933,0.3380037844181061,0.16016684472560883,0.2605542540550232,0.31341657042503357,1.0,0.3932628929615021,0.29956090450286865,0.16969570517539978,0.1706637293100357,0.3762950301170349
in,0.30808621644973755,0.2878515124320984,0.2113669216632843,0.5696388483047485,0.18081817030906677,0.23149815201759338,0.539380669593811,0.2212151288986206,0.16969570517539978,0.3403114080429077,0.19838939607143402,1.0,0.10853569954633713,0.20430970191955566
reasonable,0.40443673729896545,0.18517930805683136,0.2506829500198364,0.23641034960746765,0.31645339727401733,0.25181931257247925,0.3338717520236969,0.37123364210128784,0.3974698781967163,0.46887505054473877,0.4270297884941101,0.22917132079601288,0.1193835437297821,0.3725526034832001
times,0.21414996683597565,0.10135795176029205,0.18323175609111786,0.24352745711803436,0.1733083724975586,0.14582978188991547,0.2745400369167328,0.1304360032081604,0.2093532681465149,0.22012482583522797,0.19632557034492493,0.2427823841571808,0.14270329475402832,0.18880689144134521
in,0.30808621644973755,0.2878515124320984,0.2113669216632843,0.5696388483047485,0.18081817030906677,0.23149815201759338,0.539380669593811,0.2212151288986206,0.16969570517539978,0.3403114080429077,0.19838939607143402,1.0,0.10853569954633713,0.20430970191955566
most,0.3219912350177765,0.2691555321216583,0.15869426727294922,0.4178851246833801,0.1940745711326599,0.1635475754737854,0.3508910834789276,0.18477432429790497,0.2509269416332245,0.419027179479599,0.2663986384868622,0.41416558623313904,0.13517431914806366,0.2107497900724411
cases,0.2612028121948242,0.18583033978939056,0.31726375222206116,0.31000128388404846,0.2889266014099121,0.17267628014087677,0.3244450092315674,0.3370794653892517,0.3953472375869751,0.3814825117588043,0.2680607736110687,0.24487079679965973,0.1051037386059761,0.25599566102027893
.,0.3567904531955719,0.22483721375465393,0.2556132972240448,0.5352458953857422,0.20017054677009583,0.22113972902297974,0.50484299659729,0.3103445768356323,0.22562150657176971,0.4824007451534271,0.25821587443351746,0.5591574311256409,0.2982616722583771,0.4130953550338745
