,what,is,the,obligation,of,a,pharmacy,filling,a,prescription,?
purpose,0.33113807439804077,0.25441038608551025,0.3061215281486511,0.3531666398048401,0.23855330049991608,0.2899824380874634,0.21067394316196442,0.24758516252040863,0.2899824380874634,0.26865100860595703,0.21892647445201874
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.08983611315488815,0.3646814823150635,0.32094135880470276,0.09795649349689484,0.15225619077682495,0.32094135880470276,0.1842144876718521,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2829820513725281,0.5052502155303955,1.0,0.21975059807300568,0.2753012478351593,1.0,0.2770058512687683,0.23916715383529663
licensed,0.17758744955062866,0.11482246220111847,0.17307333648204803,0.24786770343780518,0.14828701317310333,0.14556461572647095,0.36222749948501587,0.23943516612052917,0.14556461572647095,0.3721781075000763,0.16613826155662537
practitioner,0.21262241899967194,0.1573430746793747,0.14979882538318634,0.27587422728538513,0.1398598998785019,0.23513509333133698,0.36225783824920654,0.10082072019577026,0.23513509333133698,0.41001132130622864,0.11173076182603836
acting,0.2151678204536438,0.1378737837076187,0.26443079113960266,0.14703883230686188,0.25130656361579895,0.20383647084236145,0.1414462924003601,0.19416724145412445,0.20383647084236145,0.2094821035861969,0.15597198903560638
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.173257976770401,0.5696388483047485,0.539380669593811,0.22082467377185822,0.22820748388767242,0.539380669593811,0.173431396484375,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.26524704694747925,0.733189046382904,0.5829201340675354,0.1938311904668808,0.27447065711021423,0.5829201340675354,0.1905282735824585,0.22068053483963013
course,0.3412042260169983,0.2551652491092682,0.32268625497817993,0.23841357231140137,0.2579863667488098,0.2895289659500122,0.21445198357105255,0.25001734495162964,0.2895289659500122,0.17280313372612,0.28826573491096497
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.22377073764801025,1.0,0.5052502155303955,0.18226979672908783,0.23377564549446106,0.5052502155303955,0.22264151275157928,0.1826142966747284
legitimate,0.3080519735813141,0.16789257526397705,0.23253867030143738,0.34376710653305054,0.2887045741081238,0.20584626495838165,0.1747986227273941,0.10403609275817871,0.20584626495838165,0.29882803559303284,0.28191015124320984
doctor-patient,0.299934059381485,0.20049402117729187,0.22441554069519043,0.21451032161712646,0.1829027533531189,0.23752181231975555,0.4013751745223999,0.17537690699100494,0.23752181231975555,0.5237286686897278,0.25453922152519226
relationship,0.24358563125133514,0.22806847095489502,0.21018025279045105,0.2582043707370758,0.22000651061534882,0.25691166520118713,0.12259478867053986,0.0723821371793747,0.25691166520118713,0.15503565967082977,0.11361731588840485
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18582038581371307,0.5352458953857422,0.50484299659729,0.23916830122470856,0.24524478614330292,0.50484299659729,0.22900983691215515,0.4130953550338745
