,what,does,the,ten,commandments,ask,of,the,christians,?
overtones,0.25103843212127686,0.1909017562866211,0.2595541775226593,0.16324594616889954,0.3066633641719818,0.17667712271213531,0.22766120731830597,0.2595541775226593,0.27427685260772705,0.20921477675437927
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.31220048666000366,0.29504650831222534,0.24384115636348724,0.5011631846427917,0.6521818041801453,0.20978352427482605,0.25814583897590637
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
characteristically,0.3013947904109955,0.25735267996788025,0.3319658935070038,0.10858165472745895,0.16966354846954346,0.04743107780814171,0.311062216758728,0.3319658935070038,0.16865627467632294,0.12211069464683533
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.25671905279159546,0.22210726141929626,0.3573532700538635,0.4185989499092102,0.4739971458911896,0.16087251901626587,0.264628142118454
luther,0.2134782373905182,0.14081993699073792,0.1759674996137619,0.15128806233406067,0.2768189609050751,0.1694738268852234,0.1719115972518921,0.1759674996137619,0.30765244364738464,0.1732746809720993
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
do,0.4609605669975281,0.5148232579231262,0.30239659547805786,0.13663049042224884,0.24058672785758972,0.42683517932891846,0.26150479912757874,0.30239659547805786,0.2660738229751587,0.4093979299068451
not,0.5449194312095642,0.6355478763580322,0.4310511648654938,0.17208710312843323,0.30596351623535156,0.408670037984848,0.3307090103626251,0.4310511648654938,0.2782294452190399,0.41942933201789856
encourage,0.32112085819244385,0.32741644978523254,0.25321751832962036,0.16308444738388062,0.21260271966457367,0.42187100648880005,0.2560228705406189,0.25321751832962036,0.24460375308990479,0.3081754148006439
world-flight,0.37183457612991333,0.24380971491336823,0.3859233260154724,0.28099751472473145,0.2861870229244232,0.256812185049057,0.3382100760936737,0.3859233260154724,0.27669757604599,0.3347378373146057
but,0.5029441118240356,0.4353378415107727,0.4859698414802551,0.24512116611003876,0.31045982241630554,0.3719583749771118,0.39942997694015503,0.4859698414802551,0.29260286688804626,0.27921953797340393
direct,0.26271191239356995,0.19850881397724152,0.3262479901313782,0.1318226307630539,0.18279029428958893,0.24779756367206573,0.2533726394176483,0.3262479901313782,0.22411978244781494,0.18476411700248718
the,0.42745697498321533,0.35928019881248474,1.0,0.3256247341632843,0.3037950396537781,0.21926461160182953,0.733189046382904,1.0,0.24734680354595184,0.22068053483963013
christian,0.17849333584308624,0.11483608186244965,0.19930796325206757,0.1575065553188324,0.2900334894657135,0.12988826632499695,0.23494116961956024,0.19930796325206757,0.7310670018196106,0.1508396863937378
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2618066668510437,0.29559826850891113,0.3951546251773834,0.41548454761505127,0.535392165184021,0.2587539851665497,0.29463258385658264
service,0.16857224702835083,0.14214417338371277,0.22661015391349792,0.12794101238250732,0.19090235233306885,0.20918184518814087,0.18425606191158295,0.22661015391349792,0.2120673805475235,0.1676298975944519
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2618066668510437,0.29559826850891113,0.3951546251773834,0.41548454761505127,0.535392165184021,0.2587539851665497,0.29463258385658264
the,0.42745697498321533,0.35928019881248474,1.0,0.3256247341632843,0.3037950396537781,0.21926461160182953,0.733189046382904,1.0,0.24734680354595184,0.22068053483963013
neighbor,0.17147068679332733,0.10523150861263275,0.14542067050933838,0.1387513428926468,0.1047273650765419,0.17087076604366302,0.11234130710363388,0.14542067050933838,0.10546888411045074,0.09239821881055832
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.29515787959098816,0.20194119215011597,0.13990627229213715,0.5696388483047485,0.6662389636039734,0.19406449794769287,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,1.0,0.3256247341632843,0.3037950396537781,0.21926461160182953,0.733189046382904,1.0,0.24734680354595184,0.22068053483963013
common,0.19989867508411407,0.2881799340248108,0.2705984115600586,0.10372529923915863,0.16033834218978882,0.11169032752513885,0.2949881851673126,0.2705984115600586,0.19535373151302338,0.20434872806072235
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.23681947588920593,0.26035192608833313,0.2689289450645447,0.4946078956127167,0.4933079481124878,0.255241334438324,0.31091248989105225
daily,0.19118091464042664,0.1822201907634735,0.2515474557876587,0.2069598287343979,0.17126400768756866,0.19518589973449707,0.20966140925884247,0.2515474557876587,0.18512164056301117,0.1472100466489792
vocations,0.2543409764766693,0.26433929800987244,0.25461113452911377,0.11986897885799408,0.31142157316207886,0.24723419547080994,0.2839480936527252,0.25461113452911377,0.33840206265449524,0.22251662611961365
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2743614614009857,0.23104912042617798,0.18911920487880707,1.0,0.733189046382904,0.25621283054351807,0.1826142966747284
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.2722841501235962,0.33945026993751526,0.35383230447769165,0.45148900151252747,0.6274310946464539,0.24632097780704498,0.3155723512172699
perishing,0.27171576023101807,0.21525351703166962,0.30793172121047974,0.23598195612430573,0.2827451825141907,0.21277478337287903,0.3099079132080078,0.30793172121047974,0.23788996040821075,0.12635721266269684
world,0.21669597923755646,0.15434256196022034,0.33604270219802856,0.20057401061058044,0.15774428844451904,0.14319252967834473,0.2828933000564575,0.33604270219802856,0.18252438306808472,0.17579582333564758
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2531837224960327,0.25932231545448303,0.2994236946105957,0.5352458953857422,0.5934505462646484,0.2501663267612457,0.4130953550338745
