,what,country,uses,the,bowl,of,hygieia,as,a,symbol,of,pharmacy,?
which,0.5261979103088379,0.2308337539434433,0.33155566453933716,0.6521818041801453,0.23468568921089172,0.5011631846427917,0.26191622018814087,0.41006597876548767,0.56894451379776,0.23319460451602936,0.5011631846427917,0.18910500407218933,0.25814583897590637
is,0.28837618231773376,0.24409033358097076,0.41359779238700867,0.5823672413825989,0.14233897626399994,0.4854315221309662,0.2265429049730301,0.43216490745544434,0.658733606338501,0.24105875194072723,0.4854315221309662,0.16101746261119843,0.22961433231830597
often,0.3849453330039978,0.2158219814300537,0.33319950103759766,0.38004449009895325,0.22371302545070648,0.3351972997188568,0.25905004143714905,0.405699223279953,0.3930865228176117,0.23218637704849243,0.3351972997188568,0.16183310747146606,0.23748154938220978
used,0.27546408772468567,0.23837611079216003,0.645188570022583,0.3718377649784088,0.19533489644527435,0.3075267970561981,0.19970376789569855,0.35160550475120544,0.3864384889602661,0.3190079927444458,0.3075267970561981,0.16081109642982483,0.22430120408535004
in,0.30808621644973755,0.3040012717247009,0.2516363263130188,0.6662389636039734,0.17236235737800598,0.5696388483047485,0.28992271423339844,0.3887844979763031,0.539380669593811,0.1552523821592331,0.5696388483047485,0.22082467377185822,0.20430970191955566
the,0.42745697498321533,0.30432501435279846,0.2830192744731903,1.0,0.21576224267482758,0.733189046382904,0.2843107581138611,0.48381632566452026,0.5829201340675354,0.22023849189281464,0.733189046382904,0.1938311904668808,0.22068053483963013
netherlands,0.14059674739837646,0.30645281076431274,0.10404682904481888,0.2279868870973587,0.15143722295761108,0.24916832149028778,0.19932883977890015,0.16290757060050964,0.22332750260829926,0.16675534844398499,0.24916832149028778,0.1028139516711235,0.09310898929834366
",",0.3087472915649414,0.27878350019454956,0.28387847542762756,0.4933079481124878,0.1810409277677536,0.4946078956127167,0.2829899489879608,0.48816442489624023,0.427140474319458,0.20107677578926086,0.4946078956127167,0.19815339148044586,0.31091248989105225
conical,0.2307354062795639,0.1341758519411087,0.23983465135097504,0.24984674155712128,0.15508392453193665,0.28340229392051697,0.26660799980163574,0.21871598064899445,0.2556809186935425,0.15804974734783173,0.28340229392051697,0.10641410946846008,0.10065434873104095
measures,0.24211709201335907,0.07713789492845535,0.2657928168773651,0.263394296169281,0.1358337551355362,0.24129846692085266,0.2012481689453125,0.22390928864479065,0.2490130364894867,0.19293908774852753,0.24129846692085266,0.10993536561727524,0.18777857720851898
",",0.3087472915649414,0.27878350019454956,0.28387847542762756,0.4933079481124878,0.1810409277677536,0.4946078956127167,0.2829899489879608,0.48816442489624023,0.427140474319458,0.20107677578926086,0.4946078956127167,0.19815339148044586,0.31091248989105225
and,0.31309178471565247,0.30884742736816406,0.2964407801628113,0.5171257257461548,0.1698254644870758,0.5116966962814331,0.28836485743522644,0.49487000703811646,0.3739250600337982,0.16780322790145874,0.5116966962814331,0.21655313670635223,0.20544172823429108
caduceuses,0.2208118438720703,0.23160353302955627,0.4138990640640259,0.385994017124176,0.2072528451681137,0.3871334493160248,0.4203314781188965,0.31940606236457825,0.3376307785511017,0.20112577080726624,0.3871334493160248,0.37655454874038696,0.27872467041015625
in,0.30808621644973755,0.3040012717247009,0.2516363263130188,0.6662389636039734,0.17236235737800598,0.5696388483047485,0.28992271423339844,0.3887844979763031,0.539380669593811,0.1552523821592331,0.5696388483047485,0.22082467377185822,0.20430970191955566
their,0.35142919421195984,0.2463577538728714,0.18778188526630402,0.516537070274353,0.1663845032453537,0.4329940676689148,0.3066999316215515,0.29218852519989014,0.29698723554611206,0.09338133782148361,0.4329940676689148,0.15922963619232178,0.1898253709077835
logos,0.24573560059070587,0.13684220612049103,0.2556687891483307,0.22483909130096436,0.06191003695130348,0.20088501274585724,0.22459879517555237,0.21402402222156525,0.13749617338180542,0.16922856867313385,0.20088501274585724,0.18687792122364044,0.3621874749660492
.,0.3567904531955719,0.26130348443984985,0.30030930042266846,0.5934505462646484,0.21516893804073334,0.5352458953857422,0.298450231552124,0.515582263469696,0.50484299659729,0.20942500233650208,0.5352458953857422,0.23916830122470856,0.4130953550338745
