,in,the,year,2000,how,many,square,kilometres,of,the,amazon,forest,had,been,lost,?
square,0.2193731665611267,0.2809545397758484,0.20679500699043274,-0.1823805421590805,0.0836852416396141,0.2124457061290741,1.0,0.4683553874492645,0.2585134208202362,0.2809545397758484,0.20306317508220673,0.17481233179569244,0.22536161541938782,0.15217627584934235,0.07841049879789352,0.1201515942811966
kilometres,0.2448771744966507,0.26219841837882996,0.2070077806711197,-0.3158727288246155,0.09419187903404236,0.1809600293636322,0.4683553874492645,0.9999999403953552,0.2594377398490906,0.26219841837882996,0.16782523691654205,0.2226104736328125,0.1522192358970642,0.1679297834634781,0.1300925463438034,0.09185487031936646
(,0.3087427020072937,0.33289089798927307,0.2556702494621277,-0.01192599069327116,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.12073186784982681,0.35032153129577637,0.33289089798927307,0.11605185270309448,0.1459040343761444,0.16223937273025513,0.1755061000585556,0.2212456464767456,0.40561532974243164
"160,000",0.06644000113010406,0.07878559827804565,0.07385094463825226,0.5102110505104065,-0.01930379495024681,-0.09664660692214966,-0.09480622410774231,-0.13976149260997772,0.1211383044719696,0.07878559827804565,-0.08916248381137848,-0.10276109725236893,0.07037860155105591,0.0258912555873394,0.07954087853431702,0.11273056268692017
to,0.45010748505592346,0.535392165184021,0.23523004353046417,-0.05413077399134636,0.44169697165489197,0.40243685245513916,0.17897218465805054,0.24676118791103363,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1971547156572342,0.37984350323677063,0.34945759177207947,0.23270919919013977,0.29463258385658264
"227,000",0.06442517787218094,0.07443602383136749,0.15661631524562836,0.5338613986968994,-0.017619671300053596,-0.007872975431382656,-0.09617238491773605,-0.18195104598999023,0.04848218336701393,0.07443602383136749,-0.05766226723790169,-0.07150434702634811,0.1347428858280182,0.01957317814230919,0.1305224746465683,0.04768327251076698
sq,0.12230025231838226,0.18837253749370575,0.10770688951015472,-0.23384569585323334,0.10252654552459717,0.09845415502786636,0.4999557435512543,0.49675482511520386,0.21430401504039764,0.18837253749370575,0.19130827486515045,0.2114356905221939,0.16970059275627136,0.1525295227766037,0.11826775223016739,0.18786261975765228
mi,0.09127891063690186,0.12998802959918976,0.14241847395896912,-0.17998778820037842,0.0639447420835495,0.09143856912851334,0.3216154873371124,0.48085513710975647,0.13784633576869965,0.12998802959918976,0.2200741320848465,0.1417740136384964,0.13046470284461975,0.0724363699555397,0.15630152821540833,0.10264865309000015
),0.3326910734176636,0.3456730246543884,0.24282371997833252,-0.001137865474447608,0.17939934134483337,0.16602720320224762,0.1760134994983673,0.1641707867383957,0.3680361211299896,0.3456730246543884,0.131951242685318,0.15610210597515106,0.17014533281326294,0.1854540854692459,0.2206464260816574,0.42300865054130554
",",0.5201468467712402,0.4933079481124878,0.28560417890548706,-0.03465369716286659,0.22659391164779663,0.40610817074775696,0.2723195254802704,0.22707565128803253,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.35487717390060425,0.34873589873313904,0.26788443326950073,0.31091248989105225
with,0.4080928862094879,0.4223487675189972,0.3220449686050415,-0.09037184715270996,0.3525622487068176,0.35744401812553406,0.13722623884677887,0.13741706311702728,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.4739086329936981,0.2804456949234009,0.18925613164901733,0.2433311939239502
most,0.41416558623313904,0.47635307908058167,0.26422736048698425,-0.05183561146259308,0.311336874961853,0.6236066222190857,0.1350746601819992,0.1508904993534088,0.4178851246833801,0.47635307908058167,0.19138962030410767,0.17225387692451477,0.2896747589111328,0.33751797676086426,0.17681948840618134,0.2107497900724411
of,0.5696388483047485,0.733189046382904,0.2578314542770386,0.010344067588448524,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.2594377398490906,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.37755560874938965,0.31685134768486023,0.2878951132297516,0.1826142966747284
the,0.6662389636039734,1.0,0.3609684407711029,-0.015081177465617657,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.3875846862792969,0.3563927710056305,0.3376973867416382,0.22068053483963013
lost,0.3167656362056732,0.3376973867416382,0.15647779405117035,-0.01696111634373665,0.15881673991680145,0.2272789478302002,0.07841049879789352,0.1300925463438034,0.2878951132297516,0.3376973867416382,0.10585277527570724,0.22218307852745056,0.3702373504638672,0.25195053219795227,0.9999998807907104,0.15261413156986237
forest,0.24136987328529358,0.24134553968906403,0.207904651761055,-0.11802282184362411,0.07947511225938797,0.19294719398021698,0.17481233179569244,0.2226104736328125,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.14042310416698456,0.16233566403388977,0.22218307852745056,0.1214437186717987
becoming,0.2425609976053238,0.333665668964386,0.20764873921871185,0.003836638992652297,0.19875051081180573,0.27432987093925476,0.06738396733999252,0.058472469449043274,0.3014795780181885,0.333665668964386,0.12040182948112488,0.1883077621459961,0.2761388421058655,0.3446895480155945,0.24398048222064972,0.17354105412960052
pasture,0.20502206683158875,0.22091218829154968,0.1555365025997162,-0.10763966292142868,0.12599454820156097,0.19131754338741302,0.20244541764259338,0.26100414991378784,0.20259782671928406,0.22091218829154968,0.19426777958869934,0.3639006018638611,0.17007826268672943,0.23417013883590698,0.19132384657859802,0.16604404151439667
for,0.4322226941585541,0.4739971458911896,0.29294124245643616,0.008091370575129986,0.3308170735836029,0.40972793102264404,0.1615643948316574,0.1671956181526184,0.4185989499092102,0.4739971458911896,0.165912926197052,0.20533806085586548,0.3270139992237091,0.39068686962127686,0.2845156490802765,0.264628142118454
cattle,0.24646858870983124,0.2538938522338867,0.2105655074119568,-0.1082700714468956,0.17744691669940948,0.24830389022827148,0.16126571595668793,0.2428225725889206,0.2318044900894165,0.2538938522338867,0.1982300877571106,0.2802133858203888,0.22653043270111084,0.24391412734985352,0.0806167721748352,0.17239461839199066
.,0.5591574311256409,0.5934505462646484,0.32538118958473206,-0.03837863355875015,0.3287222981452942,0.3974229395389557,0.2698345184326172,0.19596552848815918,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2418428510427475,0.37348684668540955,0.33645182847976685,0.2800092399120331,0.4130953550338745
