,how,much,was,the,apollo,project,estimated,to,have,cost,from,1959,to,1973,",",the,length,of,the,program,?
from,0.22939439117908478,0.24480824172496796,0.31171464920043945,0.40150508284568787,0.14872027933597565,0.17965814471244812,0.19972248375415802,0.4069952368736267,0.30702701210975647,0.12411961704492569,1.0,0.14937946200370789,0.4069952368736267,-0.11184956878423691,0.39760664105415344,0.40150508284568787,0.19659951329231262,0.4249346852302551,0.40150508284568787,0.20039871335029602,0.19969791173934937
1959,0.0073045725002884865,0.062387801706790924,0.050907593220472336,0.06652198731899261,0.030397910624742508,0.04953748732805252,0.09158390015363693,0.0955510213971138,0.04944103956222534,0.09979376941919327,0.14937946200370789,1.0000001192092896,0.0955510213971138,0.04835425317287445,-0.0018925991607829928,0.06652198731899261,0.021971167996525764,0.07401866465806961,0.06652198731899261,-0.0029606157913804054,0.07245876640081406
to,0.44169697165489197,0.40610215067863464,0.3636345863342285,0.535392165184021,0.23190522193908691,0.28750085830688477,0.2046545445919037,1.0,0.4544740617275238,0.2525014281272888,0.4069952368736267,0.0955510213971138,1.0,-0.2857922613620758,0.44245919585227966,0.535392165184021,0.19374629855155945,0.41548454761505127,0.535392165184021,0.23681028187274933,0.29463258385658264
1973,-0.20377923548221588,-0.32018014788627625,-0.1900326907634735,-0.22297891974449158,-0.2165769785642624,-0.17796573042869568,-0.21141384541988373,-0.2857922613620758,-0.2557165026664734,-0.18668289482593536,-0.11184956878423691,0.04835425317287445,-0.2857922613620758,1.0,-0.14860835671424866,-0.22297891974449158,-0.10486464202404022,-0.15240907669067383,-0.22297891974449158,-0.15534049272537231,-0.07644321769475937
as,0.33782753348350525,0.36514025926589966,0.3677520453929901,0.48381632566452026,0.15543952584266663,0.22332392632961273,0.18233482539653778,0.42092081904411316,0.37788212299346924,0.1677890419960022,0.3251767158508301,0.12259241193532944,0.42092081904411316,-0.16359762847423553,0.48816442489624023,0.48381632566452026,0.14453570544719696,0.3886612355709076,0.48381632566452026,0.19883424043655396,0.27043893933296204
$,0.18718640506267548,0.205519899725914,0.23838669061660767,0.23367542028427124,0.1772884577512741,0.18965274095535278,0.4080582559108734,0.22282108664512634,0.18432669341564178,0.5133980512619019,0.10954198986291885,0.029235858470201492,0.22282108664512634,-0.1950564980506897,0.21166811883449554,0.23367542028427124,0.21242232620716095,0.11268499493598938,0.23367542028427124,0.22262316942214966,0.2786129117012024
20.4,-0.03283686190843582,0.026217978447675705,-0.05498402193188667,0.00709940493106842,0.022351598367094994,-0.025992365553975105,0.11844386905431747,-0.054091982543468475,0.016632478684186935,-0.033529482781887054,0.054215118288993835,-0.01328225526958704,-0.054091982543468475,0.09135235100984573,0.07830193638801575,0.00709940493106842,-0.06305032968521118,0.03884374350309372,0.00709940493106842,-0.04383034631609917,0.059902507811784744
billion,0.2582297921180725,0.2614055871963501,0.18399004638195038,0.2162325382232666,0.1481369286775589,0.19453532993793488,0.54930579662323,0.2046312391757965,0.2750703990459442,0.4303811192512512,0.18705260753631592,0.08730234205722809,0.2046312391757965,-0.13826896250247955,0.19861456751823425,0.2162325382232666,0.15279752016067505,0.19335569441318512,0.2162325382232666,0.20538559556007385,0.25791820883750916
",",0.22659391164779663,0.36182254552841187,0.45456063747406006,0.4933079481124878,0.19808128476142883,0.24875426292419434,0.2654368579387665,0.44245919585227966,0.3541618287563324,0.20970560610294342,0.39760664105415344,-0.0018925991607829928,0.44245919585227966,-0.14860835671424866,1.0000001192092896,0.4933079481124878,0.2117512971162796,0.4946078956127167,0.4933079481124878,0.17760658264160156,0.31091248989105225
or,0.3378981947898865,0.313159704208374,0.2330796718597412,0.4174870550632477,0.13169844448566437,0.1628941148519516,0.1863892823457718,0.38921234011650085,0.46389055252075195,0.24070757627487183,0.31242018938064575,-0.02023671381175518,0.38921234011650085,-0.14881284534931183,0.3769497275352478,0.4174870550632477,0.20603947341442108,0.3792596757411957,0.4174870550632477,0.2547836899757385,0.32389625906944275
$,0.18718640506267548,0.205519899725914,0.23838669061660767,0.23367542028427124,0.1772884577512741,0.18965274095535278,0.4080582559108734,0.22282108664512634,0.18432669341564178,0.5133980512619019,0.10954198986291885,0.029235858470201492,0.22282108664512634,-0.1950564980506897,0.21166811883449554,0.23367542028427124,0.21242232620716095,0.11268499493598938,0.23367542028427124,0.22262316942214966,0.2786129117012024
109,-0.03525230661034584,-0.06756886839866638,0.05964163318276405,0.02574852481484413,0.08396989852190018,0.09466136991977692,0.059536099433898926,-0.06711985915899277,-0.18518075346946716,0.08233487606048584,0.041921839118003845,-0.011694307439029217,-0.06711985915899277,0.004078990779817104,0.1693473905324936,0.02574852481484413,-0.0075015355832874775,0.02406254969537258,0.02574852481484413,0.07207833230495453,0.12295328080654144
billion,0.2582297921180725,0.2614055871963501,0.18399004638195038,0.2162325382232666,0.1481369286775589,0.19453532993793488,0.54930579662323,0.2046312391757965,0.2750703990459442,0.4303811192512512,0.18705260753631592,0.08730234205722809,0.2046312391757965,-0.13826896250247955,0.19861456751823425,0.2162325382232666,0.15279752016067505,0.19335569441318512,0.2162325382232666,0.20538559556007385,0.25791820883750916
in,0.2601168751716614,0.2725222110748291,0.45514053106307983,0.6662389636039734,0.1461767554283142,0.16277937591075897,0.2508986294269562,0.45010748505592346,0.36843645572662354,0.25200018286705017,0.4274188280105591,0.09894876182079315,0.45010748505592346,-0.18588787317276,0.5201468467712402,0.6662389636039734,0.1989525854587555,0.5696388483047485,0.6662389636039734,0.1994907110929489,0.20430970191955566
2010,0.17927342653274536,0.22107863426208496,0.23825319111347198,0.31722962856292725,0.05994512885808945,0.1267206221818924,0.1080913171172142,0.3413967490196228,0.31863707304000854,0.11057446897029877,0.21823202073574066,-0.0044879913330078125,0.3413967490196228,-0.1028122529387474,0.24006164073944092,0.31722962856292725,-0.02558327093720436,0.26419875025749207,0.31722962856292725,0.10997771471738815,0.21232788264751434
dollars,0.23213273286819458,0.24132972955703735,0.20212356746196747,0.2665082812309265,0.16635870933532715,0.16587910056114197,0.4022914469242096,0.23776228725910187,0.25993818044662476,0.5099049806594849,0.08682284504175186,0.11021629720926285,0.23776228725910187,-0.2052358090877533,0.22633887827396393,0.2665082812309265,0.17172862589359283,0.1848512589931488,0.2665082812309265,0.1769075095653534,0.21298730373382568
.,0.3287222981452942,0.3374604284763336,0.40146201848983765,0.5934505462646484,0.22384987771511078,0.23938670754432678,0.23778799176216125,0.4645031690597534,0.41614407300949097,0.26134178042411804,0.41536515951156616,0.063237264752388,0.4645031690597534,-0.19761697947978973,0.6812511086463928,0.5934505462646484,0.2983158230781555,0.5352458953857422,0.5934505462646484,0.18964338302612305,0.4130953550338745
