,what,did,luther,write,as,an,outline,of,the,new,faith,?
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.29025161266326904,0.39550232887268066,0.44552403688430786,0.22886987030506134,0.5052502155303955,0.5829201340675354,0.3214259147644043,0.23009571433067322,0.23916715383529663
new,0.2130378633737564,0.227974995970726,0.14555130898952484,0.20642755925655365,0.24585270881652832,0.19160676002502441,0.12999561429023743,0.343457967042923,0.3845241069793701,0.9999999403953552,0.2027430385351181,0.14782847464084625
form,0.15868011116981506,0.18086659908294678,0.03321759030222893,0.23026087880134583,0.24710296094417572,0.1558980643749237,0.21557003259658813,0.29600051045417786,0.29286009073257446,0.2105056643486023,0.11419647932052612,0.1463010311126709
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.3886612355709076,0.32280945777893066,0.29094240069389343,1.0,0.733189046382904,0.343457967042923,0.20991961658000946,0.1826142966747284
worship,0.2504543364048004,0.2547917664051056,0.24786995351314545,0.21225956082344055,0.21786636114120483,0.13681058585643768,0.08516506105661392,0.2610277831554413,0.2739982008934021,0.18809077143669128,0.4517187774181366,0.17813213169574738
service,0.16857224702835083,0.14130860567092896,0.2012641727924347,0.10244259238243103,0.21829554438591003,0.2286244034767151,0.14260810613632202,0.18425606191158295,0.22661015391349792,0.21442657709121704,0.20875051617622375,0.1676298975944519
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.48816442489624023,0.3581022024154663,0.22565853595733643,0.4946078956127167,0.4933079481124878,0.36073189973831177,0.3190833032131195,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2489921897649765,0.49487000703811646,0.2838519215583801,0.23946349322795868,0.5116966962814331,0.5171257257461548,0.31402453780174255,0.2653059959411621,0.20544172823429108
wrote,0.2664989233016968,0.3485160768032074,0.24184277653694153,0.6017370820045471,0.19762034714221954,0.1916314959526062,0.2674062252044678,0.30241408944129944,0.2426944375038147,0.16065242886543274,0.1750338077545166,0.19322504103183746
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.29025161266326904,0.39550232887268066,0.44552403688430786,0.22886987030506134,0.5052502155303955,0.5829201340675354,0.3214259147644043,0.23009571433067322,0.23916715383529663
clear,0.4239453375339508,0.27081912755966187,0.16892017424106598,0.24665507674217224,0.22141006588935852,0.20907902717590332,0.3064412474632263,0.25915294885635376,0.3209454417228699,0.1667550951242447,0.1908300220966339,0.2738020122051239
summary,0.3055417239665985,0.26932328939437866,0.15784487128257751,0.2673397660255432,0.200441375374794,0.2233847677707672,0.3027524948120117,0.14881475269794464,0.18884122371673584,0.13445527851581573,0.21989046037197113,0.35667136311531067
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.3886612355709076,0.32280945777893066,0.29094240069389343,1.0,0.733189046382904,0.343457967042923,0.20991961658000946,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.48381632566452026,0.4207492768764496,0.24338774383068085,0.733189046382904,1.0,0.3845241069793701,0.20665863156318665,0.22068053483963013
new,0.2130378633737564,0.227974995970726,0.14555130898952484,0.20642755925655365,0.24585270881652832,0.19160676002502441,0.12999561429023743,0.343457967042923,0.3845241069793701,0.9999999403953552,0.2027430385351181,0.14782847464084625
faith,0.3120079040527344,0.24413958191871643,0.2839079797267914,0.20041799545288086,0.25178882479667664,0.17861433327198029,0.09059491008520126,0.20991961658000946,0.20665863156318665,0.2027430385351181,1.0,0.2833177447319031
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.24632485210895538,0.3887844979763031,0.2605783939361572,0.19080577790737152,0.5696388483047485,0.6662389636039734,0.3758552670478821,0.16146141290664673,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.23380951583385468,0.48381632566452026,0.4207492768764496,0.24338774383068085,0.733189046382904,1.0,0.3845241069793701,0.20665863156318665,0.22068053483963013
form,0.15868011116981506,0.18086659908294678,0.03321759030222893,0.23026087880134583,0.24710296094417572,0.1558980643749237,0.21557003259658813,0.29600051045417786,0.29286009073257446,0.2105056643486023,0.11419647932052612,0.1463010311126709
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2147456258535385,0.3886612355709076,0.32280945777893066,0.29094240069389343,1.0,0.733189046382904,0.343457967042923,0.20991961658000946,0.1826142966747284
two,0.23363454639911652,0.2755576968193054,0.18037931621074677,0.21635955572128296,0.3029302954673767,0.1867314726114273,0.1543344110250473,0.37726253271102905,0.43858039379119873,0.2712784707546234,0.1602986454963684,0.19645625352859497
catechisms,0.29004666209220886,0.20005305111408234,0.32172587513923645,0.22039559483528137,0.2703220546245575,0.16130898892879486,0.25606057047843933,0.3139289915561676,0.2702268362045288,0.21630452573299408,0.3860132396221161,0.28553035855293274
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.2647448778152466,0.515582263469696,0.3581749200820923,0.2987724840641022,0.5352458953857422,0.5934505462646484,0.35031336545944214,0.2496335357427597,0.4130953550338745
