,who,was,the,chairman,and,ceo,of,disney,in,2002,?
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.18142066895961761,0.4862271547317505,0.17228172719478607,0.35032153129577637,0.13315561413764954,0.3087427020072937,-0.02163376472890377,0.40561532974243164
toon,0.20072932541370392,0.18884794414043427,0.22836589813232422,0.14107878506183624,0.19766883552074432,0.20364652574062347,0.1628846526145935,0.4921344518661499,0.14200182259082794,0.03542180359363556,0.18240219354629517
&,0.09244576841592789,0.12134000658988953,0.14992168545722961,0.2237018644809723,0.34093084931373596,0.22707925736904144,0.19900451600551605,0.1277310997247696,0.1358654648065567,0.06901837140321732,0.12596383690834045
playhouse,0.23863615095615387,0.2949616014957428,0.2841516137123108,0.2431258261203766,0.22888709604740143,0.25708717107772827,0.2448626011610031,0.4903806447982788,0.27134984731674194,0.01330520212650299,0.22765079140663147
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.19114039838314056,0.4961937665939331,0.1802002638578415,0.3680361211299896,0.14130505919456482,0.3326910734176636,-0.010885889641940594,0.42300865054130554
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.22044430673122406,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.2132069319486618,0.5201468467712402,-0.08979252725839615,0.31091248989105225
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.16381487250328064,0.16453155875205994,0.17861904203891754,0.14607268571853638,0.37895750999450684,0.1697147786617279,-0.03166643902659416,0.19065172970294952
daytime,0.1785261332988739,0.17143331468105316,0.2526528239250183,0.08125878870487213,0.30179908871650696,0.08278196305036545,0.1889222264289856,0.26308634877204895,0.2666790783405304,0.022497771307826042,0.17830818891525269
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.10921347886323929,0.5477725267410278,0.1505270153284073,0.41827285289764404,0.2006005197763443,0.4080928862094879,-0.060713861137628555,0.2433311939239502
soapnet,0.2553471624851227,0.2923741936683655,0.3095392882823944,0.2265470325946808,0.3215070962905884,0.30350813269615173,0.2701597511768341,0.35190635919570923,0.3363618850708008,-0.13058286905288696,0.28723546862602234
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.2024257630109787,1.0,0.21528133749961853,0.5116966962814331,0.23352548480033875,0.4954058527946472,-0.025821788236498833,0.20544172823429108
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.16381487250328064,0.16453155875205994,0.17861904203891754,0.14607268571853638,0.37895750999450684,0.1697147786617279,-0.03166643902659416,0.19065172970294952
prime,0.16031751036643982,0.21048103272914886,0.19960100948810577,0.29026809334754944,0.21528048813343048,0.24129952490329742,0.23935265839099884,0.14411982893943787,0.18097394704818726,-0.09063418954610825,0.11276303976774216
time,0.36634087562561035,0.3641340136528015,0.43061500787734985,0.12412262707948685,0.3025408685207367,0.09886876493692398,0.35127586126327515,0.21233013272285461,0.3431483507156372,-0.01839001663029194,0.27391523122787476
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.10921347886323929,0.5477725267410278,0.1505270153284073,0.41827285289764404,0.2006005197763443,0.4080928862094879,-0.060713861137628555,0.2433311939239502
abc,0.14673753082752228,0.21565799415111542,0.2068762183189392,0.16381487250328064,0.16453155875205994,0.17861904203891754,0.14607268571853638,0.37895750999450684,0.1697147786617279,-0.03166643902659416,0.19065172970294952
family,0.23428858816623688,0.21917963027954102,0.2394849956035614,0.14667996764183044,0.23506124317646027,0.14540916681289673,0.1893671154975891,0.21339072287082672,0.2165997177362442,-0.031349558383226395,0.15222905576229095
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.1698046624660492,0.588965117931366,0.17370131611824036,0.5352458953857422,0.23698924481868744,0.5591574311256409,-0.10442857444286346,0.4130953550338745
