,what,is,a,typical,configuration
label,0.1364249736070633,0.18535912036895752,0.22153732180595398,0.15596319735050201,0.1828588843345642
switching,0.24737738072872162,0.22204309701919556,0.31424853205680847,0.20741869509220123,0.390048086643219
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.16092805564403534,0.21199625730514526
mpls,0.18313035368919373,0.21374563872814178,0.20021384954452515,0.23086921870708466,0.4519360363483429
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.18832460045814514,0.2105797976255417
at,0.2838611304759979,0.25906258821487427,0.3095070421695709,0.1389501541852951,0.1858178824186325
layer,0.20606225728988647,0.27099713683128357,0.2366863191127777,0.21685990691184998,0.32082274556159973
two,0.23363454639911652,0.2315155267715454,0.3289857804775238,0.2095918208360672,0.23899288475513458
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2668197751045227,0.26042038202285767
,what,is,a,typical,configuration
a,0.3320399522781372,0.658733606338501,1.0,0.4022108316421509,0.3190711438655853
typical,0.2897430658340454,0.28977829217910767,0.4022108316421509,1.0,0.3152447044849396
configuration,0.258445680141449,0.23210495710372925,0.3190711438655853,0.3152447044849396,1.0
is,0.28837618231773376,1.0,0.658733606338501,0.28977829217910767,0.23210495710372925
to,0.455847829580307,0.42745086550712585,0.45503583550453186,0.22595685720443726,0.28325846791267395
run,0.2294815480709076,0.20717166364192963,0.2607046067714691,0.12153776735067368,0.28685462474823
ip,0.31860238313674927,0.21174383163452148,0.21357449889183044,0.10420597344636917,0.3478362560272217
over,0.28007611632347107,0.2159561663866043,0.32199642062187195,0.2336958348751068,0.23055115342140198
atm,0.3224411904811859,0.22115617990493774,0.21235114336013794,0.1805003583431244,0.2738931179046631
or,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.36180630326271057,0.33769574761390686
a,0.3320399522781372,0.658733606338501,1.0,0.4022108316421509,0.3190711438655853
version,0.20755547285079956,0.26673051714897156,0.27132871747016907,0.15698963403701782,0.30771511793136597
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.33413293957710266,0.2122134566307068
mpls,0.18313035368919373,0.21374563872814178,0.20021384954452515,0.23086921870708466,0.4519360363483429
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2668197751045227,0.26042038202285767
