,who,was,given,land,by,british,goovernment,for,development,of,ohio,country,?
of,0.2827862501144409,0.4069072902202606,0.39388060569763184,0.3057127296924591,0.3646814823150635,0.23701532185077667,0.3112153708934784,0.4185989499092102,0.28700894117355347,1.0,0.1960361748933792,0.28866857290267944,0.1826142966747284
developing,0.21385733783245087,0.20219255983829498,0.25387516617774963,0.15955320000648499,0.18034867942333221,0.1925417184829712,0.23308667540550232,0.32847198843955994,0.6712352633476257,0.27299609780311584,0.1517440229654312,0.21247602999210358,0.1301516592502594
trade,0.1943051517009735,0.19989590346813202,0.15771639347076416,0.1941966563463211,0.13884904980659485,0.15393289923667908,0.3331405818462372,0.2946145534515381,0.2643839418888092,0.2310105711221695,0.17192970216274261,0.2299901396036148,0.09336511790752411
and,0.41279885172843933,0.3740963041782379,0.30185943841934204,0.2874513864517212,0.4289871156215668,0.325880765914917,0.33159375190734863,0.5064792633056641,0.26069340109825134,0.5116966962814331,0.2680337131023407,0.30884742736816406,0.20544172823429108
settlements,0.15134257078170776,0.21207770705223083,0.12467943131923676,0.3144846558570862,0.14743714034557343,0.16136783361434937,0.2721743583679199,0.19061164557933807,0.21307112276554108,0.2813670039176941,0.10286673903465271,0.2819398045539856,0.1671062707901001
in,0.2792111933231354,0.45514053106307983,0.2528568208217621,0.22871792316436768,0.370934396982193,0.23084034025669098,0.3206756114959717,0.4322226941585541,0.2550492286682129,0.5696388483047485,0.2508675754070282,0.3040012717247009,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.37508252263069153,0.28587454557418823,0.4408751428127289,0.28973397612571716,0.33001306653022766,0.4739971458911896,0.3362044394016266,0.733189046382904,0.24653035402297974,0.30432501435279846,0.22068053483963013
ohio,0.13413026928901672,0.207236185669899,0.1413670778274536,0.18425393104553223,0.1997014433145523,0.2192528396844864,0.20233231782913208,0.19870628416538239,0.1861904114484787,0.1960361748933792,0.9999999403953552,0.1654648780822754,0.10064033418893814
country,0.22791717946529388,0.24557247757911682,0.1994149088859558,0.25981757044792175,0.24224938452243805,0.2571737766265869,0.3636583387851715,0.2644098401069641,0.1693711280822754,0.28866857290267944,0.1654648780822754,1.0000001192092896,0.12647280097007751
.,0.3541337847709656,0.40146201848983765,0.3169408142566681,0.259204238653183,0.3936232924461365,0.23159366846084595,0.2920076251029968,0.4726039469242096,0.2822875380516052,0.5352458953857422,0.2659587562084198,0.26130348443984985,0.4130953550338745
