,when,did,the,uk,formally,subscribe,to,the,agreement,on,social,policy,?
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2632971405982971,0.2899072468280792,0.2326897233724594,0.44245919585227966,0.4933079481124878,0.23435252904891968,0.49057599902153015,0.2674078345298767,0.2903050184249878,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
uk,0.13155107200145721,0.128135547041893,0.2143084555864334,1.0,0.1687716394662857,0.19344307482242584,0.18409153819084167,0.2143084555864334,0.16928067803382874,0.2875306308269501,0.17876560986042023,0.2248694896697998,0.20222434401512146
formally,0.33162298798561096,0.18397410213947296,0.3323594629764557,0.1687716394662857,1.0000001192092896,0.15555182099342346,0.2944337725639343,0.3323594629764557,0.3107761740684509,0.2602279484272003,0.11654854565858841,0.2841600179672241,0.1371411830186844
subscribed,0.1472686231136322,0.19017207622528076,0.24365055561065674,0.16219507157802582,0.15969328582286835,0.8899043798446655,0.1840217262506485,0.24365055561065674,0.17608092725276947,0.2303549349308014,0.21957919001579285,0.20718058943748474,0.2657614052295685
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.18409153819084167,0.2944337725639343,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
agreement,0.23616954684257507,0.2812501788139343,0.2490699142217636,0.16928067803382874,0.3107761740684509,0.17690885066986084,0.2757699489593506,0.2490699142217636,1.0,0.22078442573547363,0.219100221991539,0.3701281249523163,0.15830197930335999
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.2875306308269501,0.2602279484272003,0.24032661318778992,0.41031414270401,0.5107308030128479,0.22078442573547363,0.9999999403953552,0.24255602061748505,0.2777305543422699,0.2714994251728058
social,0.17212750017642975,0.1977856606245041,0.21797899901866913,0.17876560986042023,0.11654854565858841,0.23602092266082764,0.19684761762619019,0.21797899901866913,0.219100221991539,0.24255602061748505,1.0,0.2632748484611511,0.1615191102027893
policy,0.20549920201301575,0.2751549482345581,0.2358427494764328,0.2248694896697998,0.2841600179672241,0.2425319403409958,0.26804789900779724,0.2358427494764328,0.3701281249523163,0.2777305543422699,0.2632748484611511,0.9999998807907104,0.30462446808815
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2632971405982971,0.2899072468280792,0.2326897233724594,0.44245919585227966,0.4933079481124878,0.23435252904891968,0.49057599902153015,0.2674078345298767,0.2903050184249878,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.6521818041801453,0.1906050443649292,0.35663291811943054,0.20550726354122162,0.5345056653022766,0.6521818041801453,0.24597544968128204,0.4245251417160034,0.22390618920326233,0.22344686090946198,0.25814583897590637
allowed,0.36527392268180847,0.5197521448135376,0.2985120713710785,0.15578320622444153,0.3030780255794525,0.2553153336048126,0.42967355251312256,0.2985120713710785,0.2955351769924164,0.28039318323135376,0.17748841643333435,0.3219829797744751,0.2309964895248413
it,0.4775012135505676,0.2993364930152893,0.6251175999641418,0.21589650213718414,0.315066397190094,0.2207173854112625,0.513711154460907,0.6251175999641418,0.2705639600753784,0.4529881477355957,0.16038981080055237,0.2245468944311142,0.25732165575027466
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.18409153819084167,0.2944337725639343,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
be,0.4451393485069275,0.22657383978366852,0.4248143136501312,0.17617523670196533,0.3007763624191284,0.2871077358722687,0.4972836375236511,0.4248143136501312,0.19491496682167053,0.37900757789611816,0.1878766417503357,0.26498162746429443,0.3324260413646698
included,0.16109678149223328,0.32908451557159424,0.3825419843196869,0.21144509315490723,0.22656773030757904,0.17411527037620544,0.2322428971529007,0.3825419843196869,0.12264401465654373,0.3028073012828827,0.16811378300189972,0.13178439438343048,0.14385655522346497
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.170000359416008,0.21108776330947876,0.16143253445625305,0.4239959120750427,0.4223487675189972,0.29106786847114563,0.40749499201774597,0.20528239011764526,0.14287953078746796,0.2433311939239502
minor,0.16065940260887146,0.18436601758003235,0.2544519603252411,0.08358291536569595,0.12872913479804993,0.13423264026641846,0.16949769854545593,0.2544519603252411,0.14266513288021088,0.20898085832595825,0.12484483420848846,0.15622113645076752,0.21100293099880219
amendments,0.21971112489700317,0.2661469578742981,0.30301690101623535,0.18656066060066223,0.24320414662361145,0.2187429517507553,0.31400617957115173,0.30301690101623535,0.2925722301006317,0.25287505984306335,0.2011624127626419,0.3534298539161682,0.2547150254249573
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.1740327775478363,0.33290430903434753,0.2268805205821991,0.42092081904411316,0.48381632566452026,0.22867047786712646,0.36047765612602234,0.22664308547973633,0.2869105041027069,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
social,0.17212750017642975,0.1977856606245041,0.21797899901866913,0.17876560986042023,0.11654854565858841,0.23602092266082764,0.19684761762619019,0.21797899901866913,0.219100221991539,0.24255602061748505,1.0,0.2632748484611511,0.1615191102027893
chapter,0.22070160508155823,0.08613505959510803,0.29158273339271545,0.18704350292682648,0.19685153663158417,0.20285320281982422,0.17141442000865936,0.29158273339271545,0.11039580404758453,0.16726315021514893,0.09733142703771591,0.2070501446723938,0.20212359726428986
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.21513383090496063,0.3022876977920532,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
1997,-0.03653284162282944,0.106808140873909,0.017451778054237366,-0.08518481254577637,0.020397141575813293,0.06230452284216881,0.07039770483970642,0.017451778054237366,0.09533105045557022,-0.019976332783699036,0.010246951133012772,0.13106195628643036,0.03663474693894386
treaty,0.15431849658489227,0.19075942039489746,0.2690109610557556,0.12230867147445679,0.34381890296936035,0.07740612328052521,0.1986158937215805,0.2690109610557556,0.6315374374389648,0.19638824462890625,0.17468462884426117,0.33541345596313477,0.1174844279885292
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.21513383090496063,0.3022876977920532,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
amsterdam,0.14410123229026794,0.17414438724517822,0.18500292301177979,0.18225815892219543,0.09542559087276459,0.018944427371025085,0.20890367031097412,0.18500292301177979,0.16026240587234497,0.2285035252571106,0.1407994031906128,0.09796714037656784,0.1401052325963974
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.24075214564800262,0.2350444495677948,0.25023356080055237,0.4645031690597534,0.5934505462646484,0.20123955607414246,0.49257001280784607,0.2614770531654358,0.25152966380119324,0.4130953550338745
