,does,the,residential,architecture,of,the,tower,district,compare,or,contrast,with,other,part,of,fresno,?
urban,0.11276297271251678,0.1482323557138443,0.3042309284210205,0.27876943349838257,0.26017457246780396,0.1482323557138443,0.11892614513635635,0.31707102060317993,0.09019076079130173,0.0863860547542572,0.11491002142429352,0.10393380373716354,0.1442408412694931,0.22145430743694305,0.26017457246780396,0.17331816256046295,0.13119809329509735
sprawl,0.17866836488246918,0.28254589438438416,0.2757645845413208,0.2738000452518463,0.285928875207901,0.28254589438438416,0.2131458967924118,0.15855589509010315,0.16239279508590698,0.26750412583351135,0.23282787203788757,0.19365309178829193,0.2750329375267029,0.22263802587985992,0.285928875207901,0.13099081814289093,0.12222740054130554
in,0.214483380317688,0.6662389636039734,0.29686787724494934,0.2624244689941406,0.5696388483047485,0.6662389636039734,0.22630389034748077,0.30883273482322693,0.1632516235113144,0.3586423695087433,0.2357589453458786,0.4080928862094879,0.39989137649536133,0.4499994218349457,0.5696388483047485,0.26126348972320557,0.20430970191955566
north,0.11500263214111328,0.36298373341560364,0.23561321198940277,0.2001844048500061,0.3604778051376343,0.36298373341560364,0.20501230657100677,0.30482080578804016,0.10570622235536575,0.11615113914012909,0.15177780389785767,0.185934916138649,0.21928533911705017,0.35967114567756653,0.3604778051376343,0.2349468171596527,0.11829731613397598
and,0.3461615741252899,0.5171257257461548,0.3452662229537964,0.2369556725025177,0.5116966962814331,0.5171257257461548,0.23948386311531067,0.23884956538677216,0.3096909821033478,0.4713204801082611,0.2737886309623718,0.5477725267410278,0.5504306554794312,0.35301485657691956,0.5116966962814331,0.21513071656227112,0.20544172823429108
east,0.1668700873851776,0.3383176326751709,0.23524020612239838,0.22094540297985077,0.314786434173584,0.3383176326751709,0.1962638646364212,0.3533936142921448,0.056565772742033005,0.09083429723978043,0.19682179391384125,0.18583141267299652,0.20145228505134583,0.3460236191749573,0.314786434173584,0.21448473632335663,0.10070597380399704
areas,0.19766740500926971,0.3311663568019867,0.3528323173522949,0.19685666263103485,0.2803763747215271,0.3311663568019867,0.1542947143316269,0.3567548990249634,0.10162950307130814,0.3565015196800232,0.23434410989284515,0.2644236087799072,0.3227008879184723,0.3895777761936188,0.2803763747215271,0.1518738716840744,0.1273590475320816
of,0.3119818866252899,0.733189046382904,0.2898116707801819,0.2756515443325043,1.0,0.733189046382904,0.2271278351545334,0.2673880457878113,0.27714359760284424,0.3792596757411957,0.3046875298023224,0.41827285289764404,0.38583824038505554,0.452393114566803,1.0,0.1875009983778,0.1826142966747284
fresno,0.08895698189735413,0.22571885585784912,0.23178152740001678,0.10864338278770447,0.1875009983778,0.22571885585784912,0.13243645429611206,0.16571244597434998,0.1399390548467636,0.16191594302654266,0.08811485767364502,0.20853616297245026,0.14004750549793243,0.19812233746051788,0.1875009983778,1.0000001192092896,0.13224096596240997
.,0.3022993505001068,0.5934505462646484,0.2399243861436844,0.21623484790325165,0.5352458953857422,0.5934505462646484,0.21111081540584564,0.23195737600326538,0.24470208585262299,0.36683785915374756,0.21616345643997192,0.4446153938770294,0.41511186957359314,0.32817673683166504,0.5352458953857422,0.2480216920375824,0.4130953550338745
