,what,type,of,status,did,the,umc,vote,to,seek,in,the,national,association,of,evangelicals,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23601171374320984,0.34736719727516174,1.0,0.21262750029563904,0.22779929637908936,0.535392165184021,0.24523614346981049,0.6662389636039734,1.0,0.32739606499671936,0.26550325751304626,0.733189046382904,0.25254562497138977,0.22068053483963013
national,0.16882304847240448,0.14095038175582886,0.3314673602581024,0.10458609461784363,0.17743784189224243,0.32739606499671936,0.22609052062034607,0.1958119422197342,0.21067756414413452,0.14826470613479614,0.28915393352508545,0.32739606499671936,1.0000001192092896,0.4218963384628296,0.3314673602581024,0.229412242770195,0.15643028914928436
association,0.13908448815345764,0.1908770501613617,0.2501356303691864,0.14473281800746918,0.13464757800102234,0.26550325751304626,0.22204548120498657,0.1499122679233551,0.19401024281978607,0.08017973601818085,0.23660005629062653,0.26550325751304626,0.4218963384628296,0.9999999403953552,0.2501356303691864,0.27153831720352173,0.1542656421661377
of,0.33290785551071167,0.18112817406654358,1.0,0.20139996707439423,0.2513895630836487,0.733189046382904,0.18128293752670288,0.19845709204673767,0.41548454761505127,0.2027195245027542,0.5696388483047485,0.733189046382904,0.3314673602581024,0.2501356303691864,1.0,0.2740250825881958,0.1826142966747284
evangelicals,0.19396011531352997,0.11510997265577316,0.2740250825881958,0.1480918526649475,0.15551459789276123,0.25254562497138977,0.32521653175354004,0.2027233988046646,0.26322007179260254,0.21270893514156342,0.2116623967885971,0.25254562497138977,0.229412242770195,0.27153831720352173,0.2740250825881958,1.0000001192092896,0.18620912730693817
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.24375928938388824,0.34479495882987976,0.5171257257461548,0.21982228755950928,0.1828758865594864,0.48971283435821533,0.2554384469985962,0.4954058527946472,0.5171257257461548,0.2608908712863922,0.22647784650325775,0.5116966962814331,0.20692415535449982,0.20544172823429108
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20590373873710632,0.2593238651752472,0.6662389636039734,0.15436193346977234,0.21458156406879425,0.45010748505592346,0.1813114583492279,1.0,0.6662389636039734,0.28915393352508545,0.23660005629062653,0.5696388483047485,0.2116623967885971,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23601171374320984,0.34736719727516174,1.0,0.21262750029563904,0.22779929637908936,0.535392165184021,0.24523614346981049,0.6662389636039734,1.0,0.32739606499671936,0.26550325751304626,0.733189046382904,0.25254562497138977,0.22068053483963013
world,0.21669597923755646,0.13339558243751526,0.2828933000564575,0.1545293778181076,0.1944720596075058,0.33604270219802856,0.16119052469730377,0.10545264184474945,0.26213452219963074,0.14660762250423431,0.3038199245929718,0.33604270219802856,0.2937057614326477,0.25226882100105286,0.2828933000564575,0.1924954205751419,0.17579582333564758
evangelical,0.20315878093242645,0.09318877756595612,0.2919469177722931,0.14543898403644562,0.13638198375701904,0.23743100464344025,0.31281307339668274,0.19163671135902405,0.24407906830310822,0.19845274090766907,0.21747030317783356,0.23743100464344025,0.2372872233390808,0.2697320580482483,0.2919469177722931,0.943939208984375,0.16597984731197357
fellowship,0.11262539774179459,0.05567939206957817,0.2288282811641693,0.14476528763771057,0.19090533256530762,0.23140870034694672,0.24936123192310333,0.18127673864364624,0.22518885135650635,0.24008768796920776,0.19467440247535706,0.23140870034694672,0.2076282501220703,0.25693434476852417,0.2288282811641693,0.3378538191318512,0.09517611563205719
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21120375394821167,0.35288307070732117,0.5934505462646484,0.23154163360595703,0.27672019600868225,0.4645031690597534,0.20647966861724854,0.5591574311256409,0.5934505462646484,0.29436907172203064,0.22905009984970093,0.5352458953857422,0.26789164543151855,0.4130953550338745
