,the,southern,part,of,the,amazon,forest,was,mainly,impacted,by,drought,in,what,year,?
",",0.4933079481124878,0.2795628309249878,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.45456063747406006,0.3616383671760559,0.27414676547050476,0.3680937886238098,0.2273346185684204,0.5201468467712402,0.3087472915649414,0.28560417890548706,0.31091248989105225
whereas,0.3696324825286865,0.1472347527742386,0.19175295531749725,0.34012725949287415,0.3696324825286865,0.16024775803089142,0.07535412907600403,0.14947260916233063,0.33751508593559265,0.16536040604114532,0.2193882316350937,0.11614959686994553,0.27898839116096497,0.32338035106658936,0.13450095057487488,0.1950923502445221
in,0.6662389636039734,0.3190481662750244,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.45514053106307983,0.353954017162323,0.21262972056865692,0.370934396982193,0.2705814242362976,1.0,0.30808621644973755,0.3359307050704956,0.20430970191955566
2005,0.037273142486810684,0.00549325393512845,-0.007976588793098927,0.017815761268138885,0.037273142486810684,0.022802023217082024,0.03908933326601982,0.11356307566165924,0.10871293395757675,-0.01246834360063076,0.07835020869970322,-0.00973189901560545,0.009931974112987518,0.0704459398984909,0.13351094722747803,0.10709824413061142
the,1.0,0.3282862603664398,0.527681291103363,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3790479004383087,0.2348020076751709,0.4408751428127289,0.33421388268470764,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
drought,0.33421388268470764,0.27174636721611023,0.2089911699295044,0.26836544275283813,0.33421388268470764,0.21362802386283875,0.33272063732147217,0.22419406473636627,0.17079247534275055,0.4033200442790985,0.17479196190834045,0.9999998807907104,0.2705814242362976,0.17344513535499573,0.2592630982398987,0.1524890512228012
was,0.48711544275283813,0.23717372119426727,0.3407018780708313,0.4069072902202606,0.48711544275283813,0.14616160094738007,0.144582599401474,1.0000001192092896,0.26961684226989746,0.27704545855522156,0.4752357602119446,0.22419406473636627,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.18412111699581146
focused,0.2969476580619812,0.11263883858919144,0.2700422704219818,0.29831600189208984,0.2969476580619812,0.13346101343631744,0.12335611879825592,0.26385003328323364,0.36793068051338196,0.3448117673397064,0.2418869286775589,0.15186333656311035,0.29637840390205383,0.2724583148956299,0.17192991077899933,0.1578395515680313
on,0.5107308030128479,0.19093644618988037,0.3598494827747345,0.3966929316520691,0.5107308030128479,0.27227091789245605,0.1691717803478241,0.3909217119216919,0.37579700350761414,0.285982608795166,0.33887791633605957,0.15102462470531464,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.2714994251728058
the,1.0,0.3282862603664398,0.527681291103363,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3790479004383087,0.2348020076751709,0.4408751428127289,0.33421388268470764,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
southwestern,0.3555835783481598,0.6674516797065735,0.45704472064971924,0.32736170291900635,0.3555835783481598,0.21698400378227234,0.2595931887626648,0.271494597196579,0.26484784483909607,0.2669467031955719,0.17093060910701752,0.2781747877597809,0.3583911061286926,0.22099892795085907,0.17503204941749573,0.173263818025589
part,0.527681291103363,0.37757623195648193,1.0,0.452393114566803,0.527681291103363,0.12817302346229553,0.1764606237411499,0.3407018780708313,0.34581562876701355,0.2032485157251358,0.28271573781967163,0.2089911699295044,0.4499994218349457,0.3476244807243347,0.20301291346549988,0.08557961881160736
.,0.5934505462646484,0.26629969477653503,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2418428510427475,0.40146201848983765,0.3128255009651184,0.24438737332820892,0.3936232924461365,0.26008325815200806,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.4130953550338745
