,which,nation,contains,the,majority,of,the,amazon,forest,?
%,0.19622854888439178,0.2503077983856201,0.14431168138980865,0.21490740776062012,0.4637562930583954,0.19953428208827972,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
and,0.506277859210968,0.2466844916343689,0.27121078968048096,0.5171257257461548,0.34497180581092834,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
with,0.46403205394744873,0.2163824439048767,0.2956719696521759,0.4223487675189972,0.25476717948913574,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.2433311939239502
minor,0.27323606610298157,0.06947669386863708,0.13287970423698425,0.2544519603252411,0.25398582220077515,0.2443368136882782,0.2544519603252411,0.10834337770938873,0.09994205832481384,0.21100293099880219
amounts,0.3927643299102783,0.13807038962841034,0.31622639298439026,0.2816965878009796,0.24935272336006165,0.25878721475601196,0.2816965878009796,0.18759728968143463,0.1385933756828308,0.1591416597366333
in,0.4840516746044159,0.24983231723308563,0.28116101026535034,0.6662389636039734,0.2563854157924652,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.20430970191955566
venezuela,0.19475913047790527,0.23547996580600739,0.0651012659072876,0.20467035472393036,0.1922406405210495,0.1829337179660797,0.20467035472393036,0.38529109954833984,0.16943389177322388,0.11648969352245331
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
ecuador,0.16927184164524078,0.2170363962650299,0.08396997302770615,0.19019654393196106,0.13500691950321198,0.2399405837059021,0.19019654393196106,0.3507927358150482,0.1786411702632904,0.17029023170471191
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
bolivia,0.17207500338554382,0.29861927032470703,0.09714628010988235,0.22342027723789215,0.18476302921772003,0.20929598808288574,0.22342027723789215,0.4229724109172821,0.2105894684791565,0.14049001038074493
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
guyana,0.16230179369449615,0.32121768593788147,0.13149034976959229,0.20829983055591583,0.1195293739438057,0.2027273327112198,0.20829983055591583,0.35141274333000183,0.15221185982227325,0.1367928385734558
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
suriname,0.1978583186864853,0.3227461874485016,0.04787232354283333,0.2599630653858185,0.1726907342672348,0.24821515381336212,0.2599630653858185,0.30136144161224365,0.21365886926651,0.132745161652565
and,0.506277859210968,0.2466844916343689,0.27121078968048096,0.5171257257461548,0.34497180581092834,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.20544172823429108
french,0.1928994208574295,0.17934583127498627,0.04891029745340347,0.2555147111415863,0.15064892172813416,0.19450366497039795,0.2555147111415863,0.12323832511901855,0.14003705978393555,0.1386883556842804
guiana,0.2082376331090927,0.2225596010684967,0.16529478132724762,0.2705197036266327,0.16311633586883545,0.20820291340351105,0.2705197036266327,0.367765873670578,0.15077444911003113,0.11800974607467651
.,0.45942068099975586,0.2852533757686615,0.22984972596168518,0.5934505462646484,0.30306822061538696,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2418428510427475,0.4130953550338745
