,what,effort,was,luther,not,particularly,in,favor,of,?
i,0.4411132335662842,0.3633204996585846,0.23566235601902008,0.232476145029068,0.4217516779899597,0.23823490738868713,0.22907796502113342,0.2833964228630066,0.25849398970603943,0.4695145785808563
am,0.25965139269828796,0.2045011669397354,0.2766091525554657,0.20299215614795685,0.3155074417591095,0.2285887897014618,0.16754312813282013,0.20809048414230347,0.1489860564470291,0.3437723219394684
quite,0.4139309525489807,0.22533349692821503,0.2305021435022354,0.10542736202478409,0.47586360573768616,0.47557559609413147,0.25610703229904175,0.25435870885849,0.2703956961631775,0.2597154676914215
cool,0.2674468457698822,0.18580855429172516,0.09837021678686142,0.10334612429141998,0.21055030822753906,0.18680864572525024,0.15865540504455566,0.15568657219409943,0.14940570294857025,0.23781441152095795
and,0.31309178471565247,0.25185704231262207,0.3740963041782379,0.20796556770801544,0.39099299907684326,0.38546788692474365,0.4954058527946472,0.2348119467496872,0.5116966962814331,0.20544172823429108
not,0.5449194312095642,0.3437078893184662,0.2888734042644501,0.21636232733726501,0.9999999403953552,0.37429380416870117,0.3403114080429077,0.3428305387496948,0.3307090103626251,0.41942933201789856
at,0.2838611304759979,0.21042627096176147,0.36707764863967896,0.13834704458713531,0.22025953233242035,0.19909445941448212,0.4374977946281433,0.12083326280117035,0.42558613419532776,0.21978627145290375
all,0.41981086134910583,0.23539045453071594,0.23179835081100464,0.1917443871498108,0.4974499046802521,0.3925709128379822,0.3335905969142914,0.27838069200515747,0.42798417806625366,0.29575422406196594
eager,0.3053281307220459,0.2908666133880615,0.21166177093982697,0.21600912511348724,0.3393735885620117,0.31391242146492004,0.2068295180797577,0.24330896139144897,0.10625801235437393,0.29807767271995544
about,0.47976887226104736,0.14145644009113312,0.2577359974384308,0.203048437833786,0.36646416783332825,0.3000490367412567,0.39797019958496094,0.20035144686698914,0.40939709544181824,0.302409827709198
it,0.45803478360176086,0.26101890206336975,0.4577186405658722,0.15365919470787048,0.4651523232460022,0.32053980231285095,0.5130809545516968,0.25909438729286194,0.38761502504348755,0.25732165575027466
because,0.46729007363319397,0.3017648458480835,0.3841400742530823,0.19194559752941132,0.6040527820587158,0.4249844253063202,0.37423941493034363,0.303196519613266,0.4075504541397095,0.2528740465641022
",",0.3087472915649414,0.21392761170864105,0.45456063747406006,0.23255878686904907,0.3769696354866028,0.3446059823036194,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.31091248989105225
roused,0.22992447018623352,0.17842814326286316,0.3036043643951416,0.17638671398162842,0.2700202465057373,0.31958913803100586,0.25092360377311707,0.190186008810997,0.34442973136901855,0.12720367312431335
by,0.2455483376979828,0.23263044655323029,0.4752357602119446,0.15382802486419678,0.291808545589447,0.2482723891735077,0.370934396982193,0.21256689727306366,0.3646814823150635,0.17966607213020325
a,0.3320399522781372,0.2670682966709137,0.4508470594882965,0.17967689037322998,0.3791346549987793,0.307696133852005,0.539380669593811,0.2670113742351532,0.5052502155303955,0.23916715383529663
saturnian,0.13116461038589478,0.11669371277093887,0.2612319588661194,0.14886091649532318,0.20640316605567932,0.17397864162921906,0.19411712884902954,0.16886524856090546,0.24075248837471008,0.18389728665351868
hunger,0.21371059119701385,0.227263942360878,0.11767523735761642,0.14528732001781464,0.1975388377904892,0.1852828562259674,0.24534976482391357,0.1595606803894043,0.15893447399139404,0.15174424648284912
",",0.3087472915649414,0.21392761170864105,0.45456063747406006,0.23255878686904907,0.3769696354866028,0.3446059823036194,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.31091248989105225
i,0.4411132335662842,0.3633204996585846,0.23566235601902008,0.232476145029068,0.4217516779899597,0.23823490738868713,0.22907796502113342,0.2833964228630066,0.25849398970603943,0.4695145785808563
would,0.45766422152519226,0.41621536016464233,0.41663143038749695,0.14161886274814606,0.5854519605636597,0.3060716986656189,0.30461156368255615,0.39481493830680847,0.3353942930698395,0.37178951501846313
rather,0.3923804461956024,0.32991692423820496,0.23478160798549652,0.19670958817005157,0.4821464419364929,0.43153268098831177,0.26646825671195984,0.3539482057094574,0.3045461177825928,0.3053998053073883
see,0.44941186904907227,0.23469358682632446,0.17335832118988037,0.1657041758298874,0.42693349719047546,0.34209245443344116,0.2973747253417969,0.17764025926589966,0.33962661027908325,0.42005208134651184
them,0.4994642734527588,0.35543006658554077,0.23709723353385925,0.1940135955810547,0.5272393822669983,0.3707391023635864,0.29119014739990234,0.2809978723526001,0.34503093361854553,0.35435691475868225
all,0.41981086134910583,0.23539045453071594,0.23179835081100464,0.1917443871498108,0.4974499046802521,0.3925709128379822,0.3335905969142914,0.27838069200515747,0.42798417806625366,0.29575422406196594
devoured,0.22354841232299805,0.19978971779346466,0.24332794547080994,0.16899333894252777,0.2893448770046234,0.37584224343299866,0.22304199635982513,0.2736448347568512,0.2666704058647156,0.12967351078987122
.,0.3567904531955719,0.24835355579853058,0.40146201848983765,0.24907569587230682,0.4824007451534271,0.31179964542388916,0.5591574311256409,0.28438901901245117,0.5352458953857422,0.4130953550338745
