,what,were,the,two,main,theories,of,immunity,at,the,end,of,the,19th,century,?
a,0.3320399522781372,0.17203083634376526,0.5829201340675354,0.3289857804775238,0.27217230200767517,0.19848357141017914,0.5052502155303955,0.196896031498909,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.5829201340675354,0.200595885515213,0.19417014718055725,0.23916715383529663
battle,0.17112864553928375,0.23233242332935333,0.2820790410041809,0.18063831329345703,0.12912386655807495,0.1416543573141098,0.2291749268770218,0.1808590292930603,0.23658646643161774,0.2820790410041809,0.23981717228889465,0.2291749268770218,0.2820790410041809,0.0823226347565651,0.18245306611061096,0.1680624783039093
between,0.2462156116962433,0.27047741413116455,0.39067012071609497,0.4709945023059845,0.24975059926509857,0.17010587453842163,0.3737983703613281,0.10500786453485489,0.3328663110733032,0.39067012071609497,0.26629728078842163,0.3737983703613281,0.39067012071609497,0.1498664915561676,0.18725091218948364,0.12887074053287506
``,0.008517155423760414,0.006090171169489622,0.029072100296616554,0.07021170109510422,0.009458402171730995,0.021910766139626503,0.06780257821083069,0.08583582937717438,-0.07642947137355804,0.029072100296616554,0.09823527187108994,0.06780257821083069,0.029072100296616554,-0.022670919075608253,0.02234543487429619,0.0685480609536171
cellular,0.17455364763736725,0.05744476616382599,0.20089124143123627,0.15389445424079895,0.1661667376756668,0.1932496726512909,0.19871774315834045,0.33158576488494873,0.17276531457901,0.20089124143123627,0.12758341431617737,0.19871774315834045,0.20089124143123627,0.12303779274225235,0.11511246114969254,0.16428864002227783
'',0.08143015950918198,0.007215402089059353,0.041273195296525955,-0.004284570459276438,-0.012597051449120045,0.06965082883834839,0.13035868108272552,-0.02627618797123432,0.04379578307271004,0.041273195296525955,-0.02458004280924797,0.13035868108272552,0.041273195296525955,0.032530684024095535,0.09057682752609253,0.018684765323996544
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.29831406474113464,0.2395821362733841,0.5116966962814331,0.19186724722385406,0.3571503460407257,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.5171257257461548,0.2922728657722473,0.2726690471172333,0.20544172823429108
``,0.008517155423760414,0.006090171169489622,0.029072100296616554,0.07021170109510422,0.009458402171730995,0.021910766139626503,0.06780257821083069,0.08583582937717438,-0.07642947137355804,0.029072100296616554,0.09823527187108994,0.06780257821083069,0.029072100296616554,-0.022670919075608253,0.02234543487429619,0.0685480609536171
humoral,0.33916720747947693,0.14255040884017944,0.2591458559036255,0.1745867282152176,0.20241820812225342,0.3624834418296814,0.2923624813556671,0.3712005317211151,0.07723364979028702,0.2591458559036255,0.16964632272720337,0.2923624813556671,0.2591458559036255,0.06555487215518951,0.2636970579624176,0.23676204681396484
'',0.08143015950918198,0.007215402089059353,0.041273195296525955,-0.004284570459276438,-0.012597051449120045,0.06965082883834839,0.13035868108272552,-0.02627618797123432,0.04379578307271004,0.041273195296525955,-0.02458004280924797,0.13035868108272552,0.041273195296525955,0.032530684024095535,0.09057682752609253,0.018684765323996544
theories,0.3363492488861084,0.23568083345890045,0.24012529850006104,0.23700068891048431,0.17819100618362427,1.0000001192092896,0.25074607133865356,0.20152300596237183,0.10392013192176819,0.24012529850006104,0.1290418803691864,0.25074607133865356,0.24012529850006104,0.14645005762577057,0.3019600808620453,0.21320602297782898
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.37726253271102905,0.3177044689655304,0.25074607133865356,1.0,0.17778201401233673,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
immunity,0.21864116191864014,0.19465433061122894,0.25992491841316223,0.2016933262348175,0.13622315227985382,0.20152300596237183,0.17778201401233673,1.0000001192092896,0.15061035752296448,0.25992491841316223,0.16075977683067322,0.17778201401233673,0.25992491841316223,0.16546481847763062,0.0900563970208168,0.16423189640045166
.,0.3567904531955719,0.3378238379955292,0.5934505462646484,0.3524959683418274,0.31122034788131714,0.18147483468055725,0.5352458953857422,0.20537415146827698,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.5934505462646484,0.18941882252693176,0.27413639426231384,0.4130953550338745
