,what,is,stress-management,training,considered,to,be,?
and,0.31309178471565247,0.3859752118587494,0.3368796408176422,0.264431893825531,0.3359341621398926,0.48971283435821533,0.41766801476478577,0.20544172823429108
offering,0.24005436897277832,0.16401077806949615,0.3327065408229828,0.2846602201461792,0.2117253988981247,0.3353215456008911,0.27035874128341675,0.15441901981830597
promotions,0.19845254719257355,0.14469417929649353,0.30377840995788574,0.2774271070957184,0.21794618666172028,0.24143245816230774,0.2082911729812622,0.23684287071228027
and,0.31309178471565247,0.3859752118587494,0.3368796408176422,0.264431893825531,0.3359341621398926,0.48971283435821533,0.41766801476478577,0.20544172823429108
bonuses,0.20245571434497833,0.1861029416322708,0.3014673888683319,0.2897493839263916,0.15086057782173157,0.3348471224308014,0.29079774022102356,0.2397540807723999
",",0.3087472915649414,0.4691906273365021,0.2820812463760376,0.23877868056297302,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.31091248989105225
may,0.25739946961402893,0.322792649269104,0.23419249057769775,0.1519010066986084,0.2943316698074341,0.391582727432251,0.45514434576034546,0.2768254578113556
be,0.3929833769798279,0.4819129705429077,0.28484174609184265,0.15071651339530945,0.41927069425582886,0.4972836375236511,1.0,0.3324260413646698
effective,0.23494793474674225,0.19124136865139008,0.3629634380340576,0.2870195806026459,0.28866609930992126,0.27306854724884033,0.35076794028282166,0.21825028955936432
in,0.30808621644973755,0.5394441485404968,0.31803855299949646,0.27909529209136963,0.28591203689575195,0.45010748505592346,0.3481820821762085,0.20430970191955566
helping,0.33323097229003906,0.1578391045331955,0.3606329560279846,0.35561126470565796,0.16025598347187042,0.37282997369766235,0.23317351937294006,0.28235307335853577
to,0.455847829580307,0.42745086550712585,0.3222659230232239,0.2564074397087097,0.2954166829586029,1.0,0.4972836375236511,0.29463258385658264
reduce,0.18258237838745117,0.17162854969501495,0.4135817289352417,0.24456971883773804,0.17918674647808075,0.35182690620422363,0.38083505630493164,0.1462220549583435
occupational,0.19267335534095764,0.1432134360074997,0.394754022359848,0.30617642402648926,0.23334051668643951,0.2024950236082077,0.20093098282814026,0.12401652336120605
stress,0.33004483580589294,0.17363451421260834,0.6179959177970886,0.2724684774875641,0.1822829395532608,0.2759045660495758,0.265773743391037,0.2845553457736969
among,0.21154822409152985,0.21956473588943481,0.25335103273391724,0.1651235967874527,0.4165143668651581,0.26594701409339905,0.21499858796596527,0.14343059062957764
teachers,0.2526462972164154,0.15701442956924438,0.32864370942115784,0.46216240525245667,0.1886288970708847,0.2668606638908386,0.20256873965263367,0.19522249698638916
.,0.3567904531955719,0.4569662809371948,0.2558281719684601,0.22760693728923798,0.29356086254119873,0.4645031690597534,0.4383580684661865,0.4130953550338745
