,what,percentage,of,total,financial,aid,for,undergraduates,from,harvard,was,in,the,form,of,grants,?
(,0.2411840260028839,0.15512096881866455,0.35032153129577637,0.2282908409833908,0.1480427086353302,0.09303869307041168,0.3357032239437103,0.14082933962345123,0.25806233286857605,0.2132066786289215,0.2980341613292694,0.3087427020072937,0.33289089798927307,0.1860738843679428,0.35032153129577637,0.18201982975006104,0.40561532974243164
8,-0.005443718284368515,-0.006811038590967655,0.03280399739742279,-0.02964676544070244,-0.02769136056303978,0.0035125508438795805,-0.08449628204107285,-0.00788212288171053,-0.039493054151535034,-0.051411695778369904,-0.07426877319812775,-0.05886392667889595,0.0063715726137161255,0.019403081387281418,0.03280399739742279,-0.016635797917842865,-0.04056251794099808
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.43912753462791443,0.13037382066249847,0.07137581706047058,0.16658860445022583,0.21630580723285675,0.21054168045520782,0.15436998009681702,0.11743833869695663,0.19465309381484985,0.21490740776062012,0.18311791121959686,0.19953428208827972,0.17748205363750458,0.21441808342933655
),0.26259949803352356,0.18347817659378052,0.3680361211299896,0.2389112114906311,0.1631971150636673,0.11073493212461472,0.3639558255672455,0.17146030068397522,0.2672361731529236,0.226204052567482,0.3267642855644226,0.3326910734176636,0.3456730246543884,0.20926380157470703,0.3680361211299896,0.15897609293460846,0.42300865054130554
and,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.2520328164100647,0.26681631803512573,0.2158033847808838,0.5064792633056641,0.28725674748420715,0.3601827025413513,0.2453373372554779,0.3740963041782379,0.4954058527946472,0.5171257257461548,0.30469027161598206,0.5116966962814331,0.2782057225704193,0.20544172823429108
work-study,0.31763818860054016,0.18394778668880463,0.27714240550994873,0.1556035280227661,0.2473968118429184,0.3070206642150879,0.30131813883781433,0.4428124725818634,0.2381017506122589,0.40599921345710754,0.2622556984424591,0.3227617144584656,0.25345972180366516,0.27897927165031433,0.27714240550994873,0.24791982769966125,0.26674535870552063
(,0.2411840260028839,0.15512096881866455,0.35032153129577637,0.2282908409833908,0.1480427086353302,0.09303869307041168,0.3357032239437103,0.14082933962345123,0.25806233286857605,0.2132066786289215,0.2980341613292694,0.3087427020072937,0.33289089798927307,0.1860738843679428,0.35032153129577637,0.18201982975006104,0.40561532974243164
4,-0.04324747622013092,-0.07841099053621292,0.17227263748645782,0.027560783550143242,0.09206420183181763,0.12410546094179153,0.03985929489135742,0.010845527984201908,0.057375580072402954,0.08270600438117981,0.23394860327243805,0.08310048282146454,0.15499350428581238,-0.024872714653611183,0.17227263748645782,0.12152742594480515,0.010515431873500347
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.43912753462791443,0.13037382066249847,0.07137581706047058,0.16658860445022583,0.21630580723285675,0.21054168045520782,0.15436998009681702,0.11743833869695663,0.19465309381484985,0.21490740776062012,0.18311791121959686,0.19953428208827972,0.17748205363750458,0.21441808342933655
),0.26259949803352356,0.18347817659378052,0.3680361211299896,0.2389112114906311,0.1631971150636673,0.11073493212461472,0.3639558255672455,0.17146030068397522,0.2672361731529236,0.226204052567482,0.3267642855644226,0.3326910734176636,0.3456730246543884,0.20926380157470703,0.3680361211299896,0.15897609293460846,0.42300865054130554
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.2295650690793991,0.22828321158885956,0.21699096262454987,0.4726039469242096,0.20834945142269135,0.41536515951156616,0.254516065120697,0.40146201848983765,0.5591574311256409,0.5934505462646484,0.28317511081695557,0.5352458953857422,0.2610261142253876,0.4130953550338745
