,which,articles,of,the,free,movement,of,workers,regulation,set,out,the,primary,provisions,on,equal,treatment,of,workers,?
set,0.3371303975582123,0.11927593499422073,0.20671486854553223,0.2927955985069275,0.16715526580810547,0.11183136701583862,0.20671486854553223,0.11013121157884598,0.23599199950695038,1.0000001192092896,0.16735710203647614,0.2927955985069275,0.12579722702503204,0.23751071095466614,0.23748746514320374,0.1788657307624817,0.1635793298482895,0.20671486854553223,0.11013121157884598,0.1698019951581955
out,0.37864550948143005,0.2417142540216446,0.34176841378211975,0.39404502511024475,0.27553415298461914,0.18235041201114655,0.34176841378211975,0.20360936224460602,0.2224472165107727,0.16735710203647614,1.0,0.39404502511024475,0.13441506028175354,0.22175785899162292,0.39060163497924805,0.20040838420391083,0.2370721995830536,0.34176841378211975,0.20360936224460602,0.22020699083805084
the,0.6521818041801453,0.29016247391700745,0.733189046382904,1.0,0.22231732308864594,0.339571475982666,0.733189046382904,0.23066683113574982,0.33589670062065125,0.2927955985069275,0.39404502511024475,1.0,0.25688621401786804,0.28538835048675537,0.5107308030128479,0.21154357492923737,0.2350214421749115,0.733189046382904,0.23066683113574982,0.22068053483963013
main,0.37042954564094543,0.2211681753396988,0.3177044689655304,0.38631999492645264,0.09416507929563522,0.07747376710176468,0.3177044689655304,0.14933666586875916,0.1801811158657074,0.18232545256614685,0.17142286896705627,0.38631999492645264,0.42449983954429626,0.14380274713039398,0.2898236811161041,0.11158537119626999,0.07701152563095093,0.3177044689655304,0.14933666586875916,0.1665669083595276
provisions,0.3190610408782959,0.2875698506832123,0.2910953760147095,0.28538835048675537,0.2658970355987549,0.20906727015972137,0.2910953760147095,0.2895319163799286,0.36248889565467834,0.23751071095466614,0.22175785899162292,0.28538835048675537,0.2683200240135193,1.0,0.2502935826778412,0.29270997643470764,0.26714909076690674,0.2910953760147095,0.2895319163799286,0.22902937233448029
on,0.4245251417160034,0.2665182054042816,0.3966929316520691,0.5107308030128479,0.20887258648872375,0.15348097681999207,0.3966929316520691,0.14091183245182037,0.21283218264579773,0.23748746514320374,0.39060163497924805,0.5107308030128479,0.2339327335357666,0.2502935826778412,0.9999999403953552,0.15367068350315094,0.21504230797290802,0.3966929316520691,0.14091183245182037,0.2714994251728058
equal,0.26968082785606384,0.23094360530376434,0.2787107825279236,0.21154357492923737,0.24779053032398224,0.197280153632164,0.2787107825279236,0.21996232867240906,0.26654672622680664,0.1788657307624817,0.20040838420391083,0.21154357492923737,0.16707052290439606,0.29270997643470764,0.15367068350315094,0.9999999403953552,0.20122480392456055,0.2787107825279236,0.21996232867240906,0.15421567857265472
treatment,0.26306241750717163,0.16800086200237274,0.2632577419281006,0.2350214421749115,0.15321248769760132,0.2313937544822693,0.2632577419281006,0.2870712876319885,0.3022177815437317,0.1635793298482895,0.2370721995830536,0.2350214421749115,0.18447068333625793,0.26714909076690674,0.21504230797290802,0.20122480392456055,0.9999999403953552,0.2632577419281006,0.2870712876319885,0.20314443111419678
of,0.5011631846427917,0.24931834638118744,1.0,0.733189046382904,0.2430545836687088,0.2662941515445709,1.0,0.20827822387218475,0.2660454213619232,0.20671486854553223,0.34176841378211975,0.733189046382904,0.23414276540279388,0.2910953760147095,0.3966929316520691,0.2787107825279236,0.2632577419281006,1.0,0.20827822387218475,0.1826142966747284
workers,0.23516897857189178,0.18608501553535461,0.20827822387218475,0.23066683113574982,0.17943835258483887,0.23221145570278168,0.20827822387218475,1.0000001192092896,0.2884540557861328,0.11013121157884598,0.20360936224460602,0.23066683113574982,0.11461364477872849,0.2895319163799286,0.14091183245182037,0.21996232867240906,0.2870712876319885,0.20827822387218475,1.0000001192092896,0.1706571877002716
.,0.45942068099975586,0.27623623609542847,0.5352458953857422,0.5934505462646484,0.238864928483963,0.22796523571014404,0.5352458953857422,0.17509925365447998,0.2651672661304474,0.2928885817527771,0.34234723448753357,0.5934505462646484,0.22422198951244354,0.21271444857120514,0.49257001280784607,0.25790271162986755,0.27064111828804016,0.5352458953857422,0.17509925365447998,0.4130953550338745
