,who,holds,the,record,for,largest,simulcast,of,a,tv,drama,?
like,0.34740978479385376,0.1869463324546814,0.32912567257881165,0.18989945948123932,0.35140180587768555,0.20158542692661285,0.228690966963768,0.3244853615760803,0.38655611872673035,0.17415276169776917,0.17281126976013184,0.3268813192844391
nothing,0.3588937819004059,0.16515551507472992,0.29561489820480347,0.17884711921215057,0.2799288034439087,0.10740449279546738,0.1621200293302536,0.17905022203922272,0.2923998534679413,0.1598755568265915,0.16832269728183746,0.4541490972042084
else,0.3293072283267975,0.19098371267318726,0.19370581209659576,0.17789693176746368,0.27475202083587646,0.1676974892616272,0.11826641857624054,0.1318979412317276,0.22029639780521393,0.16798217594623566,0.15021616220474243,0.47029805183410645
in,0.2792111933231354,0.2876984775066376,0.6662389636039734,0.23162534832954407,0.4322226941585541,0.3017216920852661,0.31364256143569946,0.5696388483047485,0.539380669593811,0.17989183962345123,0.24534137547016144,0.20430970191955566
the,0.3733934462070465,0.28190866112709045,1.0,0.23569516837596893,0.4739971458911896,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
known,0.24757125973701477,0.1645497828722,0.3624623417854309,0.22015023231506348,0.363901823759079,0.2938424348831177,0.19095198810100555,0.35814476013183594,0.30882248282432556,0.17180898785591125,0.1262563169002533,0.18314571678638458
television,0.2515988349914551,0.17705759406089783,0.24569597840309143,0.2682490050792694,0.27045196294784546,0.11797025054693222,0.43541622161865234,0.21995750069618225,0.22552843391895294,0.7039412260055542,0.4801269471645355,0.16825827956199646
universe,0.20283301174640656,0.15568776428699493,0.23688684403896332,0.0981195718050003,0.13599903881549835,0.08580508083105087,0.290713906288147,0.2241278737783432,0.16387277841567993,0.22734037041664124,0.18907344341278076,0.22314924001693726
.,0.3541337847709656,0.21555174887180328,0.5934505462646484,0.2186054140329361,0.4726039469242096,0.18871670961380005,0.31740766763687134,0.5352458953857422,0.50484299659729,0.27196308970451355,0.2663460075855255,0.4130953550338745
'',0.024401003494858742,0.0037251515313982964,0.041273195296525955,0.02386629767715931,-0.04479556903243065,0.010605577379465103,0.00825493410229683,0.13035868108272552,0.04890415817499161,0.037697382271289825,0.07456447929143906,0.018684765323996544
