,silicates,of,magnesium,and,iron,make,up,of,the,earth,'s,___
the,0.244277223944664,0.733189046382904,0.1818278282880783,0.5171257257461548,0.27578672766685486,0.3146495521068573,0.38423117995262146,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.18618085980415344
crust,0.5323274731636047,0.21774794161319733,0.44866156578063965,0.21109703183174133,0.3414384424686432,0.1901482194662094,0.21801185607910156,0.21774794161319733,0.22538691759109497,0.52252197265625,-0.01568504609167576,0.19916501641273499
",",0.23654009401798248,0.4946078956127167,0.19133992493152618,0.6633074283599854,0.23416942358016968,0.324553906917572,0.34193792939186096,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.24922403693199158
is,0.33365529775619507,0.4854315221309662,0.265357106924057,0.3859752118587494,0.22105827927589417,0.3331545889377594,0.2853454053401947,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.17666615545749664
largely,0.30604636669158936,0.3087159991264343,0.21117284893989563,0.2951068878173828,0.179979607462883,0.11731953173875809,0.15121595561504364,0.3087159991264343,0.34641584753990173,0.16671840846538544,0.09165722876787186,0.12406597286462784
composed,0.3408057689666748,0.29509663581848145,0.22598834335803986,0.25432297587394714,0.19524838030338287,0.2053450345993042,0.16384010016918182,0.29509663581848145,0.21816956996917725,0.17983998358249664,-0.00410611554980278,0.07968467473983765
of,0.316294401884079,1.0,0.18834753334522247,0.5116966962814331,0.263920396566391,0.2912110388278961,0.32945773005485535,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.17982326447963715
silicates,1.0,0.316294401884079,0.6064329743385315,0.28121429681777954,0.43527862429618835,0.32483866810798645,0.22492288053035736,0.316294401884079,0.244277223944664,0.3993373513221741,0.024947943165898323,0.18530353903770447
of,0.316294401884079,1.0,0.18834753334522247,0.5116966962814331,0.263920396566391,0.2912110388278961,0.32945773005485535,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.17982326447963715
magnesium,0.6064329743385315,0.18834753334522247,0.9999999403953552,0.2261894792318344,0.5004201531410217,0.3114851713180542,0.21572554111480713,0.18834753334522247,0.1818278282880783,0.361131876707077,-0.04188914969563484,0.1734565794467926
and,0.28121429681777954,0.5116966962814331,0.2261894792318344,1.0,0.2576066851615906,0.4160483181476593,0.4032393991947174,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.06895173341035843,0.27950772643089294
iron,0.43527862429618835,0.263920396566391,0.5004201531410217,0.2576066851615906,1.0,0.23723119497299194,0.1570558398962021,0.263920396566391,0.27578672766685486,0.25424718856811523,-0.0246629249304533,0.05414719879627228
.,0.21719957888126373,0.5352458953857422,0.23365241289138794,0.588965117931366,0.23086592555046082,0.3547073304653168,0.351434588432312,0.5352458953857422,0.5934505462646484,0.2542925775051117,-0.003708066651597619,0.30368533730506897
,silicates,of,magnesium,and,iron,make,up,of,the,earth,'s,___
the,0.244277223944664,0.733189046382904,0.1818278282880783,0.5171257257461548,0.27578672766685486,0.3146495521068573,0.38423117995262146,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.18618085980415344
rest,0.1683138906955719,0.33621829748153687,0.16350869834423065,0.34185317158699036,0.16822804510593414,0.2752209007740021,0.29303207993507385,0.33621829748153687,0.41330549120903015,0.17760814726352692,0.04253825545310974,0.15473052859306335
of,0.316294401884079,1.0,0.18834753334522247,0.5116966962814331,0.263920396566391,0.2912110388278961,0.32945773005485535,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.17982326447963715
the,0.244277223944664,0.733189046382904,0.1818278282880783,0.5171257257461548,0.27578672766685486,0.3146495521068573,0.38423117995262146,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.18618085980415344
earth,0.3993373513221741,0.2329314798116684,0.361131876707077,0.27524080872535706,0.25424718856811523,0.21773217618465424,0.26390334963798523,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.30411121249198914
's,0.024947943165898323,-0.03817026689648628,-0.04188914969563484,0.06895173341035843,-0.0246629249304533,0.09622383862733841,-0.08862818777561188,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,0.007411982864141464
crust,0.5323274731636047,0.21774794161319733,0.44866156578063965,0.21109703183174133,0.3414384424686432,0.1901482194662094,0.21801185607910156,0.21774794161319733,0.22538691759109497,0.52252197265625,-0.01568504609167576,0.19916501641273499
is,0.33365529775619507,0.4854315221309662,0.265357106924057,0.3859752118587494,0.22105827927589417,0.3331545889377594,0.2853454053401947,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.02396530658006668,0.17666615545749664
also,0.26789358258247375,0.4924938678741455,0.30252525210380554,0.5755972862243652,0.26369738578796387,0.45424434542655945,0.3094489872455597,0.4924938678741455,0.6021018624305725,0.21414029598236084,-0.0014726108638569713,0.17639033496379852
made,0.2851203978061676,0.33167365193367004,0.24887561798095703,0.34954607486724854,0.22955113649368286,0.613452136516571,0.2850165367126465,0.33167365193367004,0.3885267674922943,0.17133480310440063,0.08483956009149551,0.1513657420873642
of,0.316294401884079,1.0,0.18834753334522247,0.5116966962814331,0.263920396566391,0.2912110388278961,0.32945773005485535,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.17982326447963715
oxygen,0.4526268243789673,0.16848602890968323,0.5452249646186829,0.22261030972003937,0.41131383180618286,0.26924630999565125,0.28784632682800293,0.16848602890968323,0.20428593456745148,0.3065866231918335,-0.011648092418909073,0.15132299065589905
compounds,0.5627908706665039,0.232599675655365,0.5983932018280029,0.25433242321014404,0.35223889350891113,0.3973255455493927,0.1942186951637268,0.232599675655365,0.18294313549995422,0.28153911232948303,-0.04443596675992012,0.18977457284927368
",",0.23654009401798248,0.4946078956127167,0.19133992493152618,0.6633074283599854,0.23416942358016968,0.324553906917572,0.34193792939186096,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.24922403693199158
in,0.2454017996788025,0.5696388483047485,0.17277561128139496,0.4954058527946472,0.2270619124174118,0.268858402967453,0.3120773434638977,0.5696388483047485,0.6662389636039734,0.18566735088825226,-0.037580832839012146,0.09020598232746124
particular,0.3271891474723816,0.3490585684776306,0.25320011377334595,0.29526737332344055,0.15265898406505585,0.3597620129585266,0.18722175061702728,0.3490585684776306,0.4066357910633087,0.1404286026954651,0.004080382641404867,0.2744573950767517
various,0.28364771604537964,0.3196488320827484,0.22019743919372559,0.4264104664325714,0.18240317702293396,0.26844993233680725,0.26375067234039307,0.3196488320827484,0.3235042691230774,0.21216312050819397,0.0089445561170578,0.16065163910388947
complex,0.3597601652145386,0.24271073937416077,0.28278762102127075,0.2597591280937195,0.11426613479852676,0.23439843952655792,0.23810559511184692,0.24271073937416077,0.25326284766197205,0.14680883288383484,-0.03034111298620701,0.23014523088932037
silicates,1.0,0.316294401884079,0.6064329743385315,0.28121429681777954,0.43527862429618835,0.32483866810798645,0.22492288053035736,0.316294401884079,0.244277223944664,0.3993373513221741,0.024947943165898323,0.18530353903770447
(,0.16997294127941132,0.35032153129577637,0.1948312520980835,0.4862271547317505,0.14989586174488068,0.2345844954252243,0.2525939643383026,0.35032153129577637,0.33289089798927307,0.18478946387767792,0.0012731997994706035,0.30965110659599304
in,0.2454017996788025,0.5696388483047485,0.17277561128139496,0.4954058527946472,0.2270619124174118,0.268858402967453,0.3120773434638977,0.5696388483047485,0.6662389636039734,0.18566735088825226,-0.037580832839012146,0.09020598232746124
silicate,0.9080139994621277,0.24404722452163696,0.6283265948295593,0.2403716742992401,0.4354898929595947,0.3596552014350891,0.21756497025489807,0.24404722452163696,0.18780174851417542,0.4298654794692993,0.07279469817876816,0.18717171251773834
minerals,0.636326789855957,0.2877640724182129,0.5761682987213135,0.259337455034256,0.39750397205352783,0.30106180906295776,0.19887521862983704,0.2877640724182129,0.22513850033283234,0.3551257252693176,-0.008402695879340172,0.15648199617862701
),0.17982514202594757,0.3680361211299896,0.18687981367111206,0.4961937665939331,0.16016192734241486,0.2487562596797943,0.25800976157188416,0.3680361211299896,0.3456730246543884,0.18219341337680817,0.021107977256178856,0.30799856781959534
.,0.21719957888126373,0.5352458953857422,0.23365241289138794,0.588965117931366,0.23086592555046082,0.3547073304653168,0.351434588432312,0.5352458953857422,0.5934505462646484,0.2542925775051117,-0.003708066651597619,0.30368533730506897
