,who,oversees,a,pharmacy,technician,in,the,uk,?
is,0.24293622374534607,0.21372565627098083,0.658733606338501,0.16101746261119843,0.16837115585803986,0.5394441485404968,0.5823672413825989,0.17650434374809265,0.22961433231830597
supervised,0.2698127329349518,0.45873528718948364,0.19417418539524078,0.23972241580486298,0.33232301473617554,0.22600647807121277,0.20343755185604095,0.10922196507453918,0.15064728260040283
and,0.41279885172843933,0.3495406210422516,0.3739250600337982,0.21655313670635223,0.17816412448883057,0.4954058527946472,0.5171257257461548,0.2701246440410614,0.20544172823429108
managed,0.2613052427768707,0.31471848487854004,0.2628381848335266,0.09045558422803879,0.11824127286672592,0.28584665060043335,0.2725190818309784,0.0892438143491745,0.1315973401069641
by,0.39727845788002014,0.3019663393497467,0.32094135880470276,0.09795649349689484,0.18082530796527863,0.370934396982193,0.4408751428127289,0.1589900702238083,0.17966607213020325
other,0.3612329661846161,0.2558349072933197,0.2806335389614105,0.18628889322280884,0.13547684252262115,0.39989137649536133,0.44152235984802246,0.14097675681114197,0.24682199954986572
senior,0.31078362464904785,0.4031539261341095,0.18134067952632904,0.1725451946258545,0.21433299779891968,0.20644095540046692,0.24212658405303955,0.20070002973079681,0.104712575674057
pharmacy,0.21132494509220123,0.3011622130870819,0.21975059807300568,1.0,0.3012925684452057,0.22082467377185822,0.1938311904668808,0.17869573831558228,0.1355620175600052
technicians,0.2788885235786438,0.2861144542694092,0.23602671921253204,0.27077218890190125,0.6819771528244019,0.20121940970420837,0.21938872337341309,0.2622013986110687,0.16329023241996765
.,0.3541337847709656,0.26489776372909546,0.50484299659729,0.23916830122470856,0.1586877554655075,0.5591574311256409,0.5934505462646484,0.24075214564800262,0.4130953550338745
