,what,was,one,of,theories,as,to,what,caused,tesla,'s,father,'s,unspecified,illness,?
an,0.2821882665157318,0.3694365322589874,0.2829729914665222,0.32280945777893066,0.17326046526432037,0.37218472361564636,0.3138085603713989,0.2821882665157318,0.2219875156879425,0.13714656233787537,0.025255560874938965,0.14175958931446075,0.025255560874938965,0.1666872650384903,0.1574024111032486,0.19793890416622162
unspecified,0.2660098373889923,0.09414517134428024,0.23169173300266266,0.26354730129241943,0.2302751988172531,0.21757331490516663,0.25082337856292725,0.2660098373889923,0.21828293800354004,0.15113313496112823,-0.01767968386411667,0.17409349977970123,-0.01767968386411667,1.0,0.21774837374687195,0.21719498932361603
illness,0.16011852025985718,0.24997641146183014,0.10350071638822556,0.21579425036907196,0.22795772552490234,0.13813576102256775,0.2413502335548401,0.16011852025985718,0.3151129484176636,0.07226704061031342,0.014191416092216969,0.27129894495010376,0.014191416092216969,0.21774837374687195,1.0000001192092896,0.13208319246768951
(,0.2411840260028839,0.2980341613292694,0.2922096848487854,0.35032153129577637,0.13408048450946808,0.32029855251312256,0.30882009863853455,0.2411840260028839,0.21355032920837402,0.2156914919614792,0.0012731997994706035,0.18266165256500244,0.0012731997994706035,0.22176335752010345,0.14126735925674438,0.40561532974243164
although,0.24844598770141602,0.3711436688899994,0.2869947850704193,0.3024747669696808,0.1883167177438736,0.34522923827171326,0.4176313281059265,0.24844598770141602,0.21798069775104523,0.12368585914373398,0.06846998631954193,0.1940036565065384,0.06846998631954193,0.2082602083683014,0.23283502459526062,0.15541206300258636
some,0.4491020441055298,0.21528802812099457,0.4537518322467804,0.4300730526447296,0.3330647051334381,0.4293700158596039,0.4636894166469574,0.4491020441055298,0.2864207625389099,0.17697323858737946,0.056411296129226685,0.17392423748970032,0.056411296129226685,0.2734781503677368,0.18433499336242676,0.2562315762042999
sources,0.30212491750717163,0.1857762485742569,0.2726970911026001,0.20696839690208435,0.3091476857662201,0.24908886849880219,0.29232558608055115,0.30212491750717163,0.16812771558761597,0.09786935150623322,-0.006692466326057911,0.17687812447547913,-0.006692466326057911,0.22421272099018097,0.1383812427520752,0.2886999845504761
say,0.5386801958084106,0.24911612272262573,0.4013601243495941,0.30290520191192627,0.31098130345344543,0.3316376805305481,0.38071900606155396,0.5386801958084106,0.253295361995697,0.14495143294334412,0.02346254698932171,0.1876046061515808,0.02346254698932171,0.3041195571422577,0.18155895173549652,0.4357808530330658
that,0.6297725439071655,0.33670201897621155,0.5133185982704163,0.41498205065727234,0.39760348200798035,0.4735107421875,0.5436353087425232,0.6297725439071655,0.33201703429222107,0.22102725505828857,0.04397977516055107,0.2571857273578644,0.04397977516055107,0.29917269945144653,0.17403297126293182,0.32716336846351624
he,0.3114890456199646,0.5410010814666748,0.3856739401817322,0.38706058263778687,0.20773644745349884,0.33787044882774353,0.385390967130661,0.3114890456199646,0.15931689739227295,0.12373391538858414,0.024063590914011,0.4997532367706299,0.024063590914011,0.13483531773090363,0.3489187955856323,0.2089974731206894
died,0.11138711869716644,0.4570699632167816,0.1496027559041977,0.25637882947921753,0.1767759472131729,0.14962446689605713,0.15773509442806244,0.11138711869716644,0.3055371344089508,0.04018354043364525,-0.023391123861074448,0.38062989711761475,-0.023391123861074448,0.16621287167072296,0.5648521780967712,0.15254227817058563
of,0.33290785551071167,0.4069072902202606,0.4999135136604309,1.0,0.25074607133865356,0.3886612355709076,0.41548454761505127,0.33290785551071167,0.29665443301200867,0.18837453424930573,-0.03817026689648628,0.22142449021339417,-0.03817026689648628,0.26354730129241943,0.21579425036907196,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.4910551905632019,0.5052502155303955,0.19848357141017914,0.39550232887268066,0.45503583550453186,0.3320399522781372,0.22472180426120758,0.2211925983428955,0.04866964742541313,0.22525158524513245,0.04866964742541313,0.2248714417219162,0.21651792526245117,0.23916715383529663
stroke,0.14717313647270203,0.2503023147583008,0.16313841938972473,0.21416866779327393,0.13571125268936157,0.11815762519836426,0.16745387017726898,0.14717313647270203,0.3426368832588196,0.1622094213962555,-0.01522374153137207,0.26459550857543945,-0.01522374153137207,0.14002500474452972,0.47870686650276184,0.12954586744308472
),0.26259949803352356,0.3267642855644226,0.31658053398132324,0.3680361211299896,0.1377301663160324,0.32161882519721985,0.31236231327056885,0.26259949803352356,0.19493544101715088,0.22692398726940155,0.021107977256178856,0.19002266228199005,0.021107977256178856,0.22940635681152344,0.13761429488658905,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.4123194217681885,0.5352458953857422,0.18147483468055725,0.515582263469696,0.4645031690597534,0.3567904531955719,0.2413787543773651,0.17949827015399933,-0.003708066651597619,0.2509099841117859,-0.003708066651597619,0.2522742748260498,0.22641728818416595,0.4130953550338745
