,along,with,sport,and,art,",",what,is,a,type,of,talent,scholarship,?
financial,0.12432608008384705,0.2360578030347824,0.221957266330719,0.26681631803512573,0.19299118220806122,0.25465908646583557,0.1900392472743988,0.1937110424041748,0.2513774335384369,0.07538604736328125,0.30178552865982056,0.3305879235267639,0.35578301548957825,0.06444920599460602
need,0.16775766015052795,0.3471839725971222,0.21367104351520538,0.3223188817501068,0.12827949225902557,0.25983062386512756,0.39420950412750244,0.25332385301589966,0.30329999327659607,0.24363647401332855,0.24285943806171417,0.1401517540216446,0.14711517095565796,0.40413710474967957
",",0.29824912548065186,0.4120737314224243,0.1842397302389145,0.6633074283599854,0.2700960636138916,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2598915100097656,0.21552643179893494,0.31091248989105225
or,0.2587498426437378,0.38158315420150757,0.18765731155872345,0.4713204801082611,0.12384747713804245,0.3769497275352478,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.38183850049972534,0.3792596757411957,0.10348264873027802,0.15060953795909882,0.32389625906944275
tax,0.12307142466306686,0.20174698531627655,0.17647507786750793,0.2044418603181839,0.11357397586107254,0.140306293964386,0.21278929710388184,0.12364397197961807,0.23702840507030487,0.16146548092365265,0.2403477430343628,0.21550124883651733,0.25384247303009033,0.2097984105348587
credit,0.10862015932798386,0.19659779965877533,0.11207415908575058,0.22868889570236206,0.14279134571552277,0.2032226324081421,0.24852240085601807,0.07379506528377533,0.1721770018339157,0.12657733261585236,0.1627483367919922,0.27355268597602844,0.27917957305908203,0.13371090590953827
scholarships,0.09997523576021194,0.1490442007780075,0.3266054391860962,0.2725299000740051,0.2488100826740265,0.20460161566734314,0.19950060546398163,0.14139814674854279,0.20207588374614716,0.18605388700962067,0.24182681739330292,0.36628279089927673,0.9105838537216187,0.11105381697416306
that,0.2850594222545624,0.4154358208179474,0.2018578201532364,0.4731321930885315,0.22609536349773407,0.4137537479400635,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.25817251205444336,0.41498205065727234,0.2512586712837219,0.27358976006507874,0.32716336846351624
might,0.1521712988615036,0.28227806091308594,0.1254730075597763,0.31685465574264526,0.11542545258998871,0.2533247768878937,0.4838182032108307,0.37027186155319214,0.4210625886917114,0.2554471790790558,0.2900311052799225,0.1722978949546814,0.21845954656600952,0.41058459877967834
be,0.21169698238372803,0.36101722717285156,0.16578035056591034,0.41766801476478577,0.11737168580293655,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.39883795380592346,0.25716274976730347,0.33904364705085754,0.19431892037391663,0.18433281779289246,0.3324260413646698
available,0.10026761144399643,0.23752564191818237,0.2346675843000412,0.24201975762844086,0.13333743810653687,0.2614012062549591,0.22032985091209412,0.20822511613368988,0.19077399373054504,0.23188360035419464,0.2416580766439438,0.13370689749717712,0.16613569855690002,0.2501629889011383
.,0.27491724491119385,0.4446153938770294,0.19931355118751526,0.588965117931366,0.21795564889907837,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.50484299659729,0.23195341229438782,0.5352458953857422,0.21048672497272491,0.17720851302146912,0.4130953550338745
