,what,percentage,of,british,children,are,educated,at,gsce,level,in,fee-paying,schools,?
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.28973397612571716,0.15654058754444122,0.40399202704429626,0.17324267327785492,0.457212895154953,0.35923200845718384,0.31442487239837646,0.6662389636039734,0.2727442979812622,0.22905772924423218,0.22068053483963013
uk,0.17163191735744476,0.17578497529029846,0.21513383090496063,0.38841667771339417,0.16661712527275085,0.14764739573001862,0.1515045017004013,0.2534448504447937,0.2849762737751007,0.10299212485551834,0.2261405885219574,0.1534481793642044,0.21530239284038544,0.20222434401512146
are,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.12250547111034393,0.22232650220394135,1.0,0.1411253958940506,0.2074895054101944,0.2753342390060425,0.2331918329000473,0.3841303884983063,0.30180567502975464,0.30816179513931274,0.24591213464736938
doing,0.5205235481262207,0.3113658130168915,0.25269845128059387,0.1466289907693863,0.13774627447128296,0.2746124863624573,0.2250005155801773,0.2849787771701813,0.27473732829093933,0.2498512715101242,0.27240219712257385,0.5181027054786682,0.18771903216838837,0.4119948446750641
so,0.539469838142395,0.31648290157318115,0.3184450566768646,0.18135784566402435,0.20327194035053253,0.420413613319397,0.22294482588768005,0.2824224531650543,0.3173850178718567,0.23992829024791718,0.31275880336761475,0.40834227204322815,0.21603114902973175,0.43163934350013733
at,0.2838611304759979,0.18349309265613556,0.42558613419532776,0.21751968562602997,0.2094024121761322,0.2074895054101944,0.28241196274757385,1.0,0.23474456369876862,0.24496568739414215,0.4374977946281433,0.26050686836242676,0.21788150072097778,0.21978627145290375
fee-paying,0.3864109516143799,0.3330725431442261,0.24557237327098846,0.20247437059879303,0.20284010469913483,0.30180567502975464,0.3088517487049103,0.26050686836242676,0.2611824870109558,0.20304158329963684,0.24017971754074097,1.0,0.25693243741989136,0.2790212333202362
schools,0.1820785105228424,0.1464802473783493,0.265506386756897,0.1199653223156929,0.3170471489429474,0.30816179513931274,0.4708879292011261,0.21788150072097778,0.21127840876579285,0.22917918860912323,0.2632134258747101,0.25693243741989136,1.0,0.18349280953407288
at,0.2838611304759979,0.18349309265613556,0.42558613419532776,0.21751968562602997,0.2094024121761322,0.2074895054101944,0.28241196274757385,1.0,0.23474456369876862,0.24496568739414215,0.4374977946281433,0.26050686836242676,0.21788150072097778,0.21978627145290375
gsce,0.32753244042396545,0.30052369832992554,0.3012672960758209,0.15402403473854065,0.12174933403730392,0.2753342390060425,0.13190095126628876,0.23474456369876862,0.9999999403953552,0.2266249656677246,0.28211987018585205,0.2611824870109558,0.21127840876579285,0.3660135567188263
level,0.27376922965049744,0.281300812959671,0.23504668474197388,0.07195603102445602,0.1654973179101944,0.2331918329000473,0.17760129272937775,0.24496568739414215,0.2266249656677246,0.9999998807907104,0.279204785823822,0.20304158329963684,0.22917918860912323,0.20528386533260345
and,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.325880765914917,0.2624970078468323,0.48576638102531433,0.2593952417373657,0.3571503460407257,0.2744406759738922,0.29463574290275574,0.4954058527946472,0.31551119685173035,0.29319998621940613,0.20544172823429108
13,-0.0796622633934021,-0.01735183410346508,0.019282439723610878,-0.08281373977661133,0.053910087794065475,-0.0380205400288105,0.0022957429755479097,-0.0434831939637661,0.027477938681840897,-0.019936546683311462,0.02730540931224823,-0.08299296349287033,0.018976612016558647,-0.11384815722703934
per,0.21384303271770477,0.33415210247039795,0.17468707263469696,0.06905875355005264,0.09838064014911652,0.21594563126564026,0.05968761444091797,0.19678546488285065,0.2291419357061386,0.22996217012405396,0.1975519210100174,0.24916210770606995,0.13300858438014984,0.22323818504810333
cent,0.17630065977573395,0.3120506703853607,0.17454902827739716,0.10621654987335205,0.14278286695480347,0.205030158162117,0.12584030628204346,0.1505783200263977,0.2403091937303543,0.20294436812400818,0.17579324543476105,0.22364400327205658,0.18740835785865784,0.21050448715686798
at,0.2838611304759979,0.18349309265613556,0.42558613419532776,0.21751968562602997,0.2094024121761322,0.2074895054101944,0.28241196274757385,1.0,0.23474456369876862,0.24496568739414215,0.4374977946281433,0.26050686836242676,0.21788150072097778,0.21978627145290375
a-level,0.24031977355480194,0.24813631176948547,0.17308586835861206,0.0961480587720871,0.14287032186985016,0.17147107422351837,0.17449256777763367,0.1896611601114273,0.2883910834789276,0.8463600873947144,0.22379761934280396,0.11792367696762085,0.19443902373313904,0.24620802700519562
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.23159366846084595,0.26089367270469666,0.3452940285205841,0.25269240140914917,0.4549728035926819,0.3901711702346802,0.26056769490242004,0.5591574311256409,0.265247642993927,0.2752705216407776,0.4130953550338745
