,what,state,constitutional,amendments,make,reference,to,the,government,funding,religious,schools,?
or,0.33867141604423523,0.2591520845890045,0.2618081569671631,0.23933130502700806,0.41506800055503845,0.2433447688817978,0.38921234011650085,0.4174870550632477,0.2456667572259903,0.22443437576293945,0.2404305636882782,0.23524631559848785,0.32389625906944275
possibly,0.30713677406311035,0.16833150386810303,0.21296124160289764,0.24859599769115448,0.3070487678050995,0.2368527203798294,0.3809284269809723,0.3130749762058258,0.18309316039085388,0.1412220448255539,0.2391875833272934,0.15632764995098114,0.3334614038467407
forbidden,0.2433793544769287,0.23353005945682526,0.273112028837204,0.28441017866134644,0.23591043055057526,0.22063781321048737,0.2843497693538666,0.2504795491695404,0.23015126585960388,0.272660493850708,0.3513162136077881,0.22487185895442963,0.2192402482032776
",",0.3087472915649414,0.29481780529022217,0.26596060395240784,0.21350927650928497,0.324553906917572,0.24524281919002533,0.44245919585227966,0.4933079481124878,0.27344048023223877,0.23183828592300415,0.2753547728061676,0.2760516405105591,0.31091248989105225
according,0.2776208221912384,0.18561944365501404,0.2494959980249405,0.23914708197116852,0.25489145517349243,0.3011409640312195,0.28520727157592773,0.3202974498271942,0.2511996626853943,0.24470362067222595,0.21419638395309448,0.2182181030511856,0.21173474192619324
to,0.455847829580307,0.25557461380958557,0.2574991285800934,0.31400617957115173,0.497876912355423,0.25784367322921753,1.0,0.535392165184021,0.28343796730041504,0.3602164685726166,0.24161745607852936,0.2362271547317505,0.29463258385658264
the,0.42745697498321533,0.3097178041934967,0.2926941215991974,0.30301690101623535,0.3146495521068573,0.26254498958587646,0.535392165184021,1.0,0.31798112392425537,0.3006567358970642,0.22950971126556396,0.22905772924423218,0.22068053483963013
courts,0.22651629149913788,0.3032357394695282,0.5054125785827637,0.4307589530944824,0.24044649302959442,0.1736651211977005,0.2114926129579544,0.2453746348619461,0.41262519359588623,0.28013038635253906,0.28137069940567017,0.3717796504497528,0.17759139835834503
',0.3245812654495239,0.25363513827323914,0.11797762662172318,0.1216229796409607,0.2516511380672455,0.2933928370475769,0.34544456005096436,0.474788099527359,0.1762593388557434,0.12663331627845764,0.16208131611347198,0.18575283885002136,0.330942302942276
interpretation,0.37054285407066345,0.2493027001619339,0.39858460426330566,0.42656728625297546,0.17583532631397247,0.25605255365371704,0.2720033824443817,0.2766321003437042,0.2540024220943451,0.22570955753326416,0.3384384512901306,0.24146921932697296,0.2162649929523468
of,0.33290785551071167,0.34253445267677307,0.3563419580459595,0.22983944416046143,0.2912110388278961,0.21538788080215454,0.41548454761505127,0.733189046382904,0.3475167155265808,0.27515512704849243,0.2958606779575348,0.265506386756897,0.1826142966747284
the,0.42745697498321533,0.3097178041934967,0.2926941215991974,0.30301690101623535,0.3146495521068573,0.26254498958587646,0.535392165184021,1.0,0.31798112392425537,0.3006567358970642,0.22950971126556396,0.22905772924423218,0.22068053483963013
establishment,0.1702135056257248,0.2549355924129486,0.37940746545791626,0.35921600461006165,0.12016456574201584,0.15413376688957214,0.17847758531570435,0.344906210899353,0.35467851161956787,0.3361092805862427,0.2515700161457062,0.2776942253112793,0.1661023646593094
clause,0.31306445598602295,0.26511240005493164,0.4827488958835602,0.5394640564918518,0.2282639592885971,0.19539938867092133,0.28380995988845825,0.262990802526474,0.22388489544391632,0.26365864276885986,0.2147824466228485,0.2283705621957779,0.24973826110363007
of,0.33290785551071167,0.34253445267677307,0.3563419580459595,0.22983944416046143,0.2912110388278961,0.21538788080215454,0.41548454761505127,0.733189046382904,0.3475167155265808,0.27515512704849243,0.2958606779575348,0.265506386756897,0.1826142966747284
the,0.42745697498321533,0.3097178041934967,0.2926941215991974,0.30301690101623535,0.3146495521068573,0.26254498958587646,0.535392165184021,1.0,0.31798112392425537,0.3006567358970642,0.22950971126556396,0.22905772924423218,0.22068053483963013
first,0.28086137771606445,0.18532299995422363,0.24083329737186432,0.25629058480262756,0.24807552993297577,0.2230263352394104,0.3792489171028137,0.49448907375335693,0.20990468561649323,0.23557113111019135,0.1508103311061859,0.1705777496099472,0.18701928853988647
amendment,0.20758824050426483,0.3325086236000061,0.6188833117485046,0.9481536149978638,0.20586872100830078,0.17550645768642426,0.2683636546134949,0.276956170797348,0.36200934648513794,0.2550041079521179,0.2273373156785965,0.21923314034938812,0.24295969307422638
or,0.33867141604423523,0.2591520845890045,0.2618081569671631,0.23933130502700806,0.41506800055503845,0.2433447688817978,0.38921234011650085,0.4174870550632477,0.2456667572259903,0.22443437576293945,0.2404305636882782,0.23524631559848785,0.32389625906944275
individual,0.34021541476249695,0.23423083126544952,0.29534247517585754,0.3055064082145691,0.29596713185310364,0.23240965604782104,0.3278317153453827,0.3706541955471039,0.21475544571876526,0.3008078932762146,0.2591302990913391,0.16759173572063446,0.2058374285697937
state,0.24273863434791565,1.0,0.4148232042789459,0.31414303183555603,0.2164146602153778,0.16263873875141144,0.25557461380958557,0.3097178041934967,0.44211944937705994,0.2420961707830429,0.18839411437511444,0.2832874357700348,0.1160883978009224
blaine,0.1665533483028412,0.19796763360500336,0.19193260371685028,0.18606486916542053,0.12989680469036102,0.11100053787231445,0.12972714006900787,0.23407667875289917,0.21053391695022583,0.10562042146921158,0.09659936279058456,0.11013245582580566,0.19509877264499664
amendments,0.2351139485836029,0.31414303183555603,0.6165134906768799,1.0000001192092896,0.26681363582611084,0.20307165384292603,0.31400617957115173,0.30301690101623535,0.37581881880760193,0.29815515875816345,0.25252777338027954,0.28201285004615784,0.2547150254249573
.,0.3567904531955719,0.31380724906921387,0.22597159445285797,0.24173074960708618,0.3547073304653168,0.2742740213871002,0.4645031690597534,0.5934505462646484,0.2521961033344269,0.24722786247730255,0.23880675435066223,0.2752705216407776,0.4130953550338745
