,what,runs,from,the,riverside,to,higher,parts,of,the,city,center,?
still,0.4548931419849396,0.14501021802425385,0.23355193436145782,0.40142056345939636,0.2009388655424118,0.41205283999443054,0.24725142121315002,0.3164202570915222,0.3288819193840027,0.40142056345939636,0.1860724240541458,0.15986023843288422,0.3039587736129761
exist,0.3340267241001129,0.08759010583162308,0.17045801877975464,0.3024537265300751,0.10693510621786118,0.2506487965583801,0.21853423118591309,0.2512505054473877,0.28013259172439575,0.3024537265300751,0.09585995972156525,0.16938874125480652,0.28923845291137695
in,0.30808621644973755,0.2674408257007599,0.4274188280105591,0.6662389636039734,0.30268025398254395,0.45010748505592346,0.23285751044750214,0.3282690644264221,0.5696388483047485,0.6662389636039734,0.3911624252796173,0.27253323793411255,0.20430970191955566
abundance,0.21293245255947113,0.0941547229886055,0.14132437109947205,0.26983582973480225,0.18602775037288666,0.20945601165294647,0.24137628078460693,0.12783043086528778,0.23816923797130585,0.26983582973480225,0.1985253244638443,0.24083121120929718,0.15727262198925018
",",0.3087472915649414,0.22710935771465302,0.39760664105415344,0.4933079481124878,0.3184468746185303,0.44245919585227966,0.251458078622818,0.2964099943637848,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.1905742734670639,0.31091248989105225
particularly,0.33027681708335876,0.15919160842895508,0.25527527928352356,0.32132959365844727,0.19454516470432281,0.33588847517967224,0.1899002343416214,0.3428158760070801,0.30258041620254517,0.32132959365844727,0.12138029932975769,0.1275811642408371,0.2644225060939789
around,0.27475327253341675,0.18632863461971283,0.3577364683151245,0.40085816383361816,0.2151922732591629,0.3591267168521881,0.23923946917057037,0.30734533071517944,0.3296394646167755,0.40085816383361816,0.2674295902252197,0.2747567594051361,0.14729668200016022
the,0.42745697498321533,0.30832576751708984,0.40150508284568787,1.0,0.27102717757225037,0.535392165184021,0.3292480409145355,0.4042440354824066,0.733189046382904,1.0,0.35769423842430115,0.29064592719078064,0.22068053483963013
riverside,0.1112799271941185,0.2262163758277893,0.21097274124622345,0.27102717757225037,1.0000001192092896,0.17074929177761078,0.21263031661510468,0.1685444414615631,0.2871353030204773,0.27102717757225037,0.41287899017333984,0.2305404543876648,0.10042606294155121
.,0.3567904531955719,0.2379940003156662,0.41536515951156616,0.5934505462646484,0.3060722351074219,0.4645031690597534,0.2524722218513489,0.30755549669265747,0.5352458953857422,0.5934505462646484,0.29856356978416443,0.29649654030799866,0.4130953550338745
