,how,much,do,estimations,of,the,population,during,the,plague,vary,?
between,0.2747800648212433,0.2654217481613159,0.14014670252799988,0.25639551877975464,0.3737983703613281,0.39067012071609497,0.21691454946994781,0.36201924085617065,0.39067012071609497,0.13008351624011993,0.2630002796649933,0.12887074053287506
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
time,0.35346719622612,0.3794040381908417,0.27283716201782227,0.26447975635528564,0.35127586126327515,0.43061500787734985,0.19751183688640594,0.49996283650398254,0.43061500787734985,0.21858999133110046,0.18864059448242188,0.27391523122787476
of,0.2480744868516922,0.2671096920967102,0.26150479912757874,0.2751551866531372,1.0,0.733189046382904,0.3060894012451172,0.3869180977344513,0.733189046382904,0.27455615997314453,0.28326424956321716,0.1826142966747284
publication,0.2183396816253662,0.210160493850708,0.1553591638803482,0.26752930879592896,0.20938149094581604,0.24080322682857513,0.21049800515174866,0.2047702968120575,0.24080322682857513,0.20600348711013794,0.17481215298175812,0.2191428393125534
of,0.2480744868516922,0.2671096920967102,0.26150479912757874,0.2751551866531372,1.0,0.733189046382904,0.3060894012451172,0.3869180977344513,0.733189046382904,0.27455615997314453,0.28326424956321716,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
domesday,0.2216569185256958,0.2548404335975647,0.16689997911453247,0.25243738293647766,0.19003094732761383,0.3160732090473175,0.2900420129299164,0.21843703091144562,0.3160732090473175,0.3702983558177948,0.18353679776191711,0.2283812314271927
book,0.2598314583301544,0.21689710021018982,0.12677046656608582,0.17381814122200012,0.22602593898773193,0.2652374505996704,0.17112597823143005,0.17538011074066162,0.2652374505996704,0.22759290039539337,0.12464475631713867,0.20572158694267273
and,0.33647966384887695,0.38395699858665466,0.276123583316803,0.2346976399421692,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.36462149024009705,0.5171257257461548,0.2229994833469391,0.23900242149829865,0.20544172823429108
the,0.33890387415885925,0.35023224353790283,0.30239659547805786,0.2838801443576813,0.733189046382904,1.0,0.32044094800949097,0.4838213622570038,1.0,0.2537761330604553,0.26695486903190613,0.22068053483963013
year,0.19631797075271606,0.2093992531299591,0.17168156802654266,0.20645660161972046,0.2578314542770386,0.3609684407711029,0.2023945301771164,0.3447895348072052,0.3609684407711029,0.17085100710391998,0.16860687732696533,0.18315006792545319
1377,0.1252414733171463,0.11061783134937286,-0.00555450189858675,0.2140791267156601,0.05192788690328598,0.0835283100605011,0.0767926424741745,0.09637343138456345,0.0835283100605011,-0.011016927659511566,0.06412993371486664,-0.05054156109690666
.,0.3287222981452942,0.3374604284763336,0.3613996207714081,0.2567000985145569,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.3485563397407532,0.5934505462646484,0.2547653317451477,0.2004905343055725,0.4130953550338745
