,the,complexity,of,problems,often,depends,on,what,?
x,0.20980626344680786,0.18263253569602966,0.1708947718143463,0.17143216729164124,0.14175716042518616,0.18677569925785065,0.1793646216392517,0.13783220946788788,0.23304535448551178
allows,0.2995605766773224,0.3196639120578766,0.2623075544834137,0.2089167833328247,0.3078133165836334,0.3921886086463928,0.2543024718761444,0.1957017332315445,0.16094227135181427
us,0.25727739930152893,0.20129163563251495,0.23568789660930634,0.14903272688388824,0.1412932276725769,0.1580958366394043,0.2646999955177307,0.32081687450408936,0.2742428481578827
to,0.535392165184021,0.28336837887763977,0.41548454761505127,0.28989166021347046,0.4351843297481537,0.2660207748413086,0.41031414270401,0.455847829580307,0.29463258385658264
solve,0.16557666659355164,0.4029405415058136,0.15426263213157654,0.5084568858146667,0.2574108839035034,0.15485753118991852,0.16527216136455536,0.3072938323020935,0.27457404136657715
any,0.4525727927684784,0.3716617226600647,0.3769088089466095,0.3620428442955017,0.4079791009426117,0.38756096363067627,0.2894362509250641,0.43670421838760376,0.4113408327102661
problem,0.24928659200668335,0.5039530992507935,0.20464475452899933,0.7913808822631836,0.31103453040122986,0.21428444981575012,0.19349780678749084,0.42183366417884827,0.3762950301170349
in,0.6662389636039734,0.20012179017066956,0.5696388483047485,0.21061907708644867,0.3380797803401947,0.23358918726444244,0.46853652596473694,0.30808621644973755,0.20430970191955566
c.,-0.23451577126979828,0.08239809423685074,-0.18015630543231964,0.22782200574874878,0.13418398797512054,0.0820428729057312,-0.11945566534996033,0.03813721984624863,0.019047532230615616
of,0.733189046382904,0.23338180780410767,1.0,0.2450421154499054,0.3351972997188568,0.3327617049217224,0.3966929316520691,0.33290785551071167,0.1826142966747284
course,0.32268625497817993,0.32811999320983887,0.2579863667488098,0.25002366304397583,0.2248925417661667,0.27703478932380676,0.2990906238555908,0.3412042260169983,0.28826573491096497
",",0.4933079481124878,0.27822354435920715,0.4946078956127167,0.2596952021121979,0.24139221012592316,0.19178293645381927,0.49057599902153015,0.3087472915649414,0.31091248989105225
the,1.0,0.21171598136425018,0.733189046382904,0.2659202516078949,0.38004449009895325,0.3308880031108856,0.5107308030128479,0.42745697498321533,0.22068053483963013
notion,0.23529204726219177,0.4513155519962311,0.23985852301120758,0.33377504348754883,0.25002264976501465,0.2908630669116974,0.1223670169711113,0.3655226528644562,0.20487375557422638
of,0.733189046382904,0.23338180780410767,1.0,0.2450421154499054,0.3351972997188568,0.3327617049217224,0.3966929316520691,0.33290785551071167,0.1826142966747284
hard,0.25233224034309387,0.3717961609363556,0.21288733184337616,0.2970162034034729,0.40447643399238586,0.21973630785942078,0.28973761200904846,0.3417404592037201,0.1823338270187378
problems,0.2659202516078949,0.45911696553230286,0.2450421154499054,1.0,0.3157464265823364,0.17329442501068115,0.22423362731933594,0.3306994140148163,0.2638136148452759
depends,0.3308880031108856,0.3187755346298218,0.3327617049217224,0.17329442501068115,0.3774051070213318,1.0000001192092896,0.31481608748435974,0.3503915071487427,0.18496274948120117
on,0.5107308030128479,0.22000707685947418,0.3966929316520691,0.22423362731933594,0.24822035431861877,0.31481608748435974,0.9999999403953552,0.34226128458976746,0.2714994251728058
the,1.0,0.21171598136425018,0.733189046382904,0.2659202516078949,0.38004449009895325,0.3308880031108856,0.5107308030128479,0.42745697498321533,0.22068053483963013
type,0.21819381415843964,0.20110034942626953,0.18112817406654358,0.20817537605762482,0.29205119609832764,0.3637768030166626,0.2118636518716812,0.2722663879394531,0.17536182701587677
of,0.733189046382904,0.23338180780410767,1.0,0.2450421154499054,0.3351972997188568,0.3327617049217224,0.3966929316520691,0.33290785551071167,0.1826142966747284
reduction,0.27052462100982666,0.4099479913711548,0.2803387939929962,0.33580684661865234,0.31738319993019104,0.3426758944988251,0.16262708604335785,0.19884426891803741,0.1612403839826584
being,0.419739305973053,0.25915804505348206,0.34885138273239136,0.27170485258102417,0.46722131967544556,0.31191498041152954,0.3119087219238281,0.3760843276977539,0.26743772625923157
used,0.3718377649784088,0.2618294954299927,0.3075267970561981,0.25633504986763,0.521835446357727,0.3328683078289032,0.24785758554935455,0.27546408772468567,0.22430120408535004
.,0.5934505462646484,0.21340465545654297,0.5352458953857422,0.2602308988571167,0.30710849165916443,0.2254645675420761,0.49257001280784607,0.3567904531955719,0.4130953550338745
