,who,is,an,example,of,a,sedentary,people,who,were,not,favored,by,the,laws,of,the,mongol,empire,?
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.25159507989883423,0.3251037895679474,0.2827862501144409,0.34038281440734863,0.3307090103626251,0.3049958646297455,0.3646814823150635,0.733189046382904,0.2539142072200775,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.23078998923301697,0.36838498711586,0.3733934462070465,0.3906462490558624,0.4310511648654938,0.2811082899570465,0.4408751428127289,1.0,0.2587076723575592,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
lifting,0.2008594572544098,0.23919978737831116,0.17208750545978546,0.2575736939907074,0.23233890533447266,0.33803388476371765,0.18188005685806274,0.15115082263946533,0.2008594572544098,0.17631369829177856,0.2985769212245941,0.3059212863445282,0.16110730171203613,0.2662302851676941,0.18037040531635284,0.23233890533447266,0.2662302851676941,0.1540253907442093,0.12306380271911621,0.2032245248556137
of,0.2827862501144409,0.4854315221309662,0.32280945777893066,0.3570667505264282,1.0,0.5052502155303955,0.25159507989883423,0.3251037895679474,0.2827862501144409,0.34038281440734863,0.3307090103626251,0.3049958646297455,0.3646814823150635,0.733189046382904,0.2539142072200775,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
discriminatory,0.231380894780159,0.16903772950172424,0.18586361408233643,0.2730478346347809,0.206759512424469,0.20905573666095734,0.30951496958732605,0.28873658180236816,0.231380894780159,0.21916812658309937,0.3357711732387543,0.28791189193725586,0.18251167237758636,0.18592378497123718,0.4694361984729767,0.206759512424469,0.18592378497123718,0.14971904456615448,0.18095113337039948,0.24102234840393066
policies,0.2789143919944763,0.1406831294298172,0.1679324358701706,0.1993878334760666,0.210641011595726,0.1655852198600769,0.2707076370716095,0.2581660747528076,0.2789143919944763,0.18145796656608582,0.3750874996185303,0.2801772654056549,0.12518560886383057,0.22566401958465576,0.40124741196632385,0.210641011595726,0.22566401958465576,0.2201426774263382,0.22081412374973297,0.2969106435775757
towards,0.1973830610513687,0.22460906207561493,0.15423202514648438,0.1756584346294403,0.26409703493118286,0.2078181505203247,0.16182182729244232,0.15763285756111145,0.1973830610513687,0.20320193469524384,0.24678757786750793,0.3143985867500305,0.23220811784267426,0.31815874576568604,0.14654523134231567,0.26409703493118286,0.31815874576568604,0.13902950286865234,0.13424454629421234,0.13023285567760468
sedentary,0.2522711455821991,0.1392917037010193,0.16598430275917053,0.21950644254684448,0.25159507989883423,0.205925852060318,1.0,0.25221091508865356,0.2522711455821991,0.2857685089111328,0.2978159189224243,0.31241193413734436,0.21621838212013245,0.23078998923301697,0.2740793228149414,0.25159507989883423,0.23078998923301697,0.18641549348831177,0.18540365993976593,0.17684514820575714
peoples,0.3008027672767639,0.21010412275791168,0.13471722602844238,0.20916962623596191,0.2785113751888275,0.1869891732931137,0.25068196654319763,0.5597565174102783,0.3008027672767639,0.3020060658454895,0.21893131732940674,0.21731342375278473,0.20198558270931244,0.3388310670852661,0.25390365719795227,0.2785113751888275,0.3388310670852661,0.33674073219299316,0.33332541584968567,0.2085462063550949
such,0.2594927251338959,0.23545363545417786,0.2025681436061859,0.4555383324623108,0.3209529519081116,0.2706976532936096,0.2567906975746155,0.2260056734085083,0.2594927251338959,0.2970055043697357,0.4058493673801422,0.27325400710105896,0.2736194431781769,0.3575236201286316,0.23474448919296265,0.3209529519081116,0.3575236201286316,0.13928619027137756,0.16838842630386353,0.17851735651493073
as,0.3923053741455078,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.39550232887268066,0.17877013981342316,0.15704652667045593,0.3923053741455078,0.3025437891483307,0.5105602741241455,0.34710466861724854,0.3815547823905945,0.48381632566452026,0.21991311013698578,0.3886612355709076,0.48381632566452026,0.17740172147750854,0.21108263731002808,0.27043893933296204
the,0.3733934462070465,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.23078998923301697,0.36838498711586,0.3733934462070465,0.3906462490558624,0.4310511648654938,0.2811082899570465,0.4408751428127289,1.0,0.2587076723575592,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
chinese,0.2538459002971649,0.1841094046831131,0.1873110979795456,0.18968741595745087,0.24275560677051544,0.23124997317790985,0.14874131977558136,0.22201411426067352,0.2538459002971649,0.22925853729248047,0.22863712906837463,0.17986230552196503,0.17456965148448944,0.2785343527793884,0.13553784787654877,0.24275560677051544,0.2785343527793884,0.3877440094947815,0.19877436757087708,0.20843194425106049
.,0.3541337847709656,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.17103952169418335,0.33118996024131775,0.3541337847709656,0.3378238379955292,0.4824007451534271,0.22638072073459625,0.3936232924461365,0.5934505462646484,0.2222834676504135,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
