,deacons,serve,a,term,of,how,many,years,as,provisional,deacons,?
.,0.2274814397096634,0.26939791440963745,0.50484299659729,0.18456575274467468,0.5352458953857422,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.515582263469696,0.1821993887424469,0.2274814397096634,0.4130953550338745
,deacons,serve,a,term,of,how,many,years,as,provisional,deacons,?
deacons,0.9999999403953552,0.20758472383022308,0.19436484575271606,0.15357665717601776,0.2586137056350708,0.1894558221101761,0.22367848455905914,0.2376583218574524,0.2576013207435608,0.1977984458208084,0.9999999403953552,0.1353975385427475
assist,0.2824859917163849,0.29022306203842163,0.22511160373687744,0.13025330007076263,0.2264028638601303,0.17765846848487854,0.1653408408164978,0.17866641283035278,0.3043099045753479,0.20142832398414612,0.2824859917163849,0.1584155559539795
elders,0.36311930418014526,0.1888883262872696,0.15844552218914032,0.15025226771831512,0.19022433459758759,0.1754378080368042,0.18192335963249207,0.234828382730484,0.14939628541469574,0.176375612616539,0.36311930418014526,0.11241849511861801
in,0.19536463916301727,0.20702329277992249,0.539380669593811,0.27866655588150024,0.5696388483047485,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.3887844979763031,0.21454453468322754,0.19536463916301727,0.20430970191955566
the,0.28766658902168274,0.2749462425708771,0.5829201340675354,0.2740369141101837,0.733189046382904,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.48381632566452026,0.28786423802375793,0.28766658902168274,0.22068053483963013
sacraments,0.5029195547103882,0.25414860248565674,0.1798344850540161,0.18443109095096588,0.24057957530021667,0.262310653924942,0.32132473587989807,0.18706157803535461,0.21203775703907013,0.130256786942482,0.5029195547103882,0.1550581455230713
of,0.2586137056350708,0.2656401991844177,0.5052502155303955,0.26047757267951965,1.0,0.2480744868516922,0.37253960967063904,0.2904134690761566,0.3886612355709076,0.3027793765068054,0.2586137056350708,0.1826142966747284
holy,0.3083884119987488,0.12152115255594254,0.19890426099300385,0.11828935146331787,0.32529065012931824,0.17901557683944702,0.1807916760444641,0.11786302179098129,0.18535472452640533,0.1272953599691391,0.3083884119987488,0.18148104846477509
communion,0.41857218742370605,0.22980156540870667,0.24468812346458435,0.20873737335205078,0.31488117575645447,0.16875924170017242,0.28002026677131653,0.2007618248462677,0.2247954159975052,0.1981847882270813,0.41857218742370605,0.17005951702594757
and,0.2748076021671295,0.27672067284584045,0.3739250600337982,0.22272127866744995,0.5116966962814331,0.33647966384887695,0.5296266674995422,0.300204873085022,0.49487000703811646,0.22851575911045074,0.2748076021671295,0.20544172823429108
baptism,0.34633126854896545,0.1753053516149521,0.14281411468982697,0.10125669836997986,0.25157880783081055,0.1347232162952423,0.15777525305747986,0.13926909863948822,0.18410710990428925,0.11500505357980728,0.34633126854896545,0.18744641542434692
",",0.2645339369773865,0.2385157197713852,0.427140474319458,0.21599270403385162,0.4946078956127167,0.22659391164779663,0.40610817074775696,0.2589467465877533,0.48816442489624023,0.2561506927013397,0.2645339369773865,0.31091248989105225
and,0.2748076021671295,0.27672067284584045,0.3739250600337982,0.22272127866744995,0.5116966962814331,0.33647966384887695,0.5296266674995422,0.300204873085022,0.49487000703811646,0.22851575911045074,0.2748076021671295,0.20544172823429108
may,0.18937894701957703,0.17943406105041504,0.29255667328834534,0.21869896352291107,0.26447007060050964,0.22490409016609192,0.29758191108703613,0.258325457572937,0.32133710384368896,0.20931248366832733,0.18937894701957703,0.2768254578113556
be,0.22861561179161072,0.343167245388031,0.39883795380592346,0.2703228294849396,0.33904364705085754,0.4158933162689209,0.3961109519004822,0.2547864317893982,0.5230465531349182,0.21517571806907654,0.22861561179161072,0.3324260413646698
granted,0.19139422476291656,0.20208998024463654,0.22482141852378845,0.16365623474121094,0.32803481817245483,0.15185412764549255,0.19634053111076355,0.1895492970943451,0.2162829488515854,0.26065295934677124,0.19139422476291656,0.22870221734046936
sacramental,0.4220755696296692,0.26047635078430176,0.23346418142318726,0.23921902477741241,0.32077181339263916,0.2315388023853302,0.25472456216812134,0.14271180331707,0.22347213327884674,0.23808172345161438,0.4220755696296692,0.18376803398132324
authority,0.25642129778862,0.279209166765213,0.21713398396968842,0.18354471027851105,0.28063252568244934,0.1743316799402237,0.2267596572637558,0.11141900718212128,0.25263646245002747,0.276376873254776,0.25642129778862,0.18404170870780945
if,0.15129350125789642,0.2821962833404541,0.41272827982902527,0.20444554090499878,0.2557544410228729,0.4917012155056,0.2803558111190796,0.2103022336959839,0.3354816734790802,0.16577842831611633,0.15129350125789642,0.4441644251346588
they,0.35086071491241455,0.2692376971244812,0.3528250455856323,0.2276555597782135,0.3426007330417633,0.43247655034065247,0.5400822758674622,0.27811309695243835,0.3294360637664795,0.17746703326702118,0.35086071491241455,0.2753053903579712
are,0.29669779539108276,0.28864505887031555,0.265255331993103,0.1909082531929016,0.39081433415412903,0.311818927526474,0.5655534863471985,0.17491404712200165,0.3826591968536377,0.13694347441196442,0.29669779539108276,0.24591213464736938
appointed,0.33201563358306885,0.3813607394695282,0.18327824771404266,0.2411527782678604,0.3280673027038574,0.10984533280134201,0.10446471720933914,0.248477041721344,0.2932926416397095,0.34087374806404114,0.33201563358306885,0.13895352184772491
as,0.2576013207435608,0.3768509030342102,0.39550232887268066,0.3224089443683624,0.3886612355709076,0.33782753348350525,0.4070141911506653,0.234328031539917,1.0,0.21580633521080017,0.2576013207435608,0.27043893933296204
the,0.28766658902168274,0.2749462425708771,0.5829201340675354,0.2740369141101837,0.733189046382904,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.48381632566452026,0.28786423802375793,0.28766658902168274,0.22068053483963013
pastor,0.3771989941596985,0.2532406449317932,0.1934782862663269,0.15233971178531647,0.173655703663826,0.06708782911300659,0.1391574740409851,0.17824609577655792,0.22199061512947083,0.15968577563762665,0.3771989941596985,0.1683567762374878
in,0.19536463916301727,0.20702329277992249,0.539380669593811,0.27866655588150024,0.5696388483047485,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.3887844979763031,0.21454453468322754,0.19536463916301727,0.20430970191955566
a,0.19436484575271606,0.22927480936050415,1.0,0.3080509603023529,0.5052502155303955,0.29312583804130554,0.2872205972671509,0.23773819208145142,0.39550232887268066,0.2264648973941803,0.19436484575271606,0.23916715383529663
local,0.1740892231464386,0.17824366688728333,0.2435571700334549,0.08231751620769501,0.20668989419937134,0.1895620971918106,0.24487940967082977,0.1401423066854477,0.21087346971035004,0.24274709820747375,0.1740892231464386,0.15022775530815125
church,0.42201054096221924,0.1487906128168106,0.19588641822338104,0.13217052817344666,0.3079429268836975,0.10719848424196243,0.20546764135360718,0.19397257268428802,0.211966410279274,0.2001134604215622,0.42201054096221924,0.18081501126289368
.,0.2274814397096634,0.26939791440963745,0.50484299659729,0.18456575274467468,0.5352458953857422,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.515582263469696,0.1821993887424469,0.2274814397096634,0.4130953550338745
