,what,happened,to,his,ribs,in,the,accident,?
(,0.2411840260028839,0.21456249058246613,0.30882009863853455,0.16098198294639587,0.08079832047224045,0.3087427020072937,0.33289089798927307,0.09467023611068726,0.40561532974243164
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.4394008219242096,0.23325857520103455,0.6662389636039734,1.0,0.18348170816898346,0.22068053483963013
full,0.20298334956169128,0.1564684957265854,0.2671089768409729,0.2767820954322815,0.11587216705083847,0.20023053884506226,0.2988807260990143,0.12062130123376846,0.168479785323143
extent,0.369102418422699,0.17669658362865448,0.26711156964302063,0.20793306827545166,0.10678141564130783,0.1923665851354599,0.2727625370025635,0.08552682399749756,0.1940663903951645
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.38364991545677185,0.1764022409915924,0.5696388483047485,0.733189046382904,0.1727704554796219,0.1826142966747284
his,0.26976513862609863,0.21838653087615967,0.3715193271636963,0.9999998807907104,0.18729837238788605,0.3598145842552185,0.4394008219242096,0.2630104422569275,0.18075084686279297
injuries,0.17736762762069702,0.29654166102409363,0.23464561998844147,0.3185986876487732,0.24520815908908844,0.2401004433631897,0.20518366992473602,0.550218939781189,0.14870837330818176
will,0.3510494530200958,0.2596869468688965,0.5091033577919006,0.18230228126049042,0.12034064531326294,0.2580665349960327,0.3635469079017639,0.16559144854545593,0.35046905279159546
never,0.42662814259529114,0.36614036560058594,0.386821448802948,0.3670501708984375,0.13850454986095428,0.3081892728805542,0.31617826223373413,0.21560312807559967,0.24137508869171143
be,0.3929833769798279,0.259830504655838,0.4972836375236511,0.21738691627979279,0.12465128302574158,0.3481820821762085,0.4248143136501312,0.17710791528224945,0.3324260413646698
known,0.20381177961826324,0.2055271416902542,0.14337651431560516,0.29665085673332214,0.14016814529895782,0.32641831040382385,0.3624623417854309,0.08512433618307114,0.18314571678638458
;,0.10986888408660889,0.034108877182006836,0.0979827418923378,0.07100893557071686,0.03973595052957535,0.092739537358284,0.09152708947658539,-0.03674071654677391,0.10349778085947037
tesla,0.23221199214458466,0.11394373327493668,0.17548894882202148,0.1580733060836792,0.09673763811588287,0.17097744345664978,0.1324402391910553,0.1518668681383133,0.10250775516033173
refused,0.19773393869400024,0.19951608777046204,0.41818010807037354,0.39846259355545044,0.09519554674625397,0.2417421191930771,0.2606237530708313,0.13972243666648865,0.14580921828746796
to,0.455847829580307,0.2299996316432953,1.0,0.3715193271636963,0.10475406050682068,0.45010748505592346,0.535392165184021,0.16931231319904327,0.29463258385658264
consult,0.3086705505847931,0.15442197024822235,0.3136545419692993,0.20755018293857574,0.005295084323734045,0.18348655104637146,0.18182523548603058,0.16747629642486572,0.290117084980011
a,0.3320399522781372,0.2774496078491211,0.45503583550453186,0.3497250974178314,0.16998443007469177,0.539380669593811,0.5829201340675354,0.20516344904899597,0.23916715383529663
doctor—an,0.19706447422504425,0.1772046983242035,0.21236343681812286,0.2788022756576538,0.13702455163002014,0.2309989035129547,0.2132158726453781,0.25856688618659973,0.18673060834407806
almost,0.2467888444662094,0.24934816360473633,0.2893180847167969,0.23047927021980286,0.13075374066829681,0.3422279357910156,0.3341992199420929,0.13886219263076782,0.1372147500514984
lifelong,0.16416697204113007,0.12003467231988907,0.21574552357196808,0.39395126700401306,0.06761721521615982,0.22579267621040344,0.20506247878074646,0.17563548684120178,0.18965497612953186
custom,0.2649167776107788,0.14216972887516022,0.2791418433189392,0.16014625132083893,0.1799682378768921,0.24152323603630066,0.20443080365657806,0.12123028934001923,0.26820895075798035
),0.26259949803352356,0.22501929104328156,0.31236231327056885,0.18606403470039368,0.08741887658834457,0.3326910734176636,0.3456730246543884,0.11269913613796234,0.42300865054130554
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.3119256794452667,0.1689053475856781,0.5591574311256409,0.5934505462646484,0.22204282879829407,0.4130953550338745
