,what,is,the,state,average,growth,rate,?
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.1913590282201767,0.3856343626976013,0.25614961981773376,0.330258846282959,0.21441808342933655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.33316072821617126,0.23465414345264435,0.2819603681564331,0.24951417744159698,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3097178041934967,0.27058175206184387,0.2912366986274719,0.24881242215633392,0.22068053483963013
2000s,0.1495852917432785,-0.10831674188375473,-0.21699295938014984,-0.20244050025939941,-0.10674354434013367,-0.22589996457099915,-0.12854142487049103,0.2498977780342102
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.26851922273635864,0.1320570707321167,0.2124733328819275,0.17456910014152527,0.27043893933296204
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.3314559757709503,0.13245558738708496,0.0639709085226059,0.17139843106269836,0.1409905105829239
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.038451772183179855,0.08544468134641647,-0.008487226441502571,0.06070024520158768,-0.023395681753754616
growth,0.1739405393600464,0.2256266176700592,0.2912366986274719,0.2411895990371704,0.3035612404346466,1.0000001192092896,0.46715715527534485,0.07547862827777863
became,0.1434093862771988,0.34253424406051636,0.36325156688690186,0.18349844217300415,0.11770259588956833,0.14328482747077942,0.1342300921678543,0.11374033987522125
concentrated,0.20476274192333221,0.25344735383987427,0.2688957750797272,0.20342133939266205,0.19983144104480743,0.21199266612529755,0.2422875165939331,0.11501483619213104
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.33316072821617126,0.23465414345264435,0.2819603681564331,0.24951417744159698,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3097178041934967,0.27058175206184387,0.2912366986274719,0.24881242215633392,0.22068053483963013
northern,0.19332477450370789,0.25616052746772766,0.3422943353652954,0.29877153038978577,0.1531764715909958,0.1379423290491104,0.09031018614768982,0.13149388134479523
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.26967647671699524,0.2071751356124878,0.2588670253753662,0.1872912049293518,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.34253445267677307,0.23717734217643738,0.2679378092288971,0.24132871627807617,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3097178041934967,0.27058175206184387,0.2912366986274719,0.24881242215633392,0.22068053483963013
state,0.24273863434791565,0.2627358138561249,0.3097178041934967,1.0,0.1257922500371933,0.2411895990371704,0.19758838415145874,0.1160883978009224
due,0.15204688906669617,0.24065633118152618,0.22577603161334991,0.16669750213623047,0.17913152277469635,0.21227633953094482,0.25498726963996887,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.25557461380958557,0.2572915256023407,0.2701800763607025,0.28584644198417664,0.29463258385658264
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.25097307562828064,0.23812800645828247,0.21544985473155975,0.24373900890350342,0.23916715383529663
stronger,0.26740801334381104,0.21575826406478882,0.24540938436985016,0.18605461716651917,0.2317012995481491,0.2276039719581604,0.20627601444721222,0.12132075428962708
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.29481780529022217,0.23098047077655792,0.2218456119298935,0.18156792223453522,0.31091248989105225
tech-oriented,0.2799350917339325,0.2934803366661072,0.3148881793022156,0.19700880348682404,0.20172539353370667,0.28425583243370056,0.2424052208662033,0.19130341708660126
economy,0.21764783561229706,0.2698528468608856,0.24644890427589417,0.3191017508506775,0.22457392513751984,0.48972833156585693,0.287566214799881,0.11486924439668655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.33316072821617126,0.23465414345264435,0.2819603681564331,0.24951417744159698,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3097178041934967,0.27058175206184387,0.2912366986274719,0.24881242215633392,0.22068053483963013
bay,0.20251236855983734,0.1959105283021927,0.2441686987876892,0.1385376900434494,0.17050324380397797,0.08785054087638855,0.07287726551294327,0.10773546993732452
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.26342105865478516,0.27569663524627686,0.23818586766719818,0.20612642168998718,0.12640461325645447
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2653750479221344,0.2138829380273819,0.2731747627258301,0.17405889928340912,0.20544172823429108
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.2181641161441803,0.27438971400260925,0.1870514452457428,0.16143523156642914,0.19793890416622162
emerging,0.12901315093040466,0.12494268268346786,0.24733592569828033,0.20308981835842133,0.08243605494499207,0.3324033319950104,0.16443060338497162,0.08310811966657639
greater,0.1946859508752823,0.21338969469070435,0.2814446687698364,0.1943977028131485,0.2459440529346466,0.23203812539577484,0.23803025484085083,0.09723397344350815
sacramento,0.200006902217865,0.2197120487689972,0.28898197412490845,0.27558180689811707,0.1387273520231247,0.0727333202958107,0.11474018543958664,0.16130711138248444
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,0.29261645674705505,0.23243151605129242,0.24799306690692902,0.17679987847805023,0.13441751897335052
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31380724906921387,0.2717139422893524,0.2825547754764557,0.2418757975101471,0.4130953550338745
