,what,is,most,of,the,cleared,land,in,the,amazon,region,used,for,?
to,0.455847829580307,0.42745086550712585,0.321603000164032,0.41548454761505127,0.535392165184021,0.27099746465682983,0.2885280251502991,0.45010748505592346,0.535392165184021,0.17033490538597107,0.24118299782276154,0.40058770775794983,0.4451248347759247,0.29463258385658264
"587,000",-0.010578875429928303,0.050404585897922516,0.003543585306033492,0.1440596729516983,0.1024371013045311,0.0006416822434403002,0.001324034994468093,0.13388024270534515,0.1024371013045311,-0.04962719604372978,-0.05298638343811035,-0.10504169762134552,0.12108973413705826,0.0661781057715416
square,0.12660330533981323,0.2405121773481369,0.1350746601819992,0.2585134208202362,0.2809545397758484,0.1535155326128006,0.24449965357780457,0.2193731665611267,0.2809545397758484,0.20306317508220673,0.1688937395811081,0.16018883883953094,0.1615643948316574,0.1201515942811966
kilometres,0.17518062889575958,0.2581603229045868,0.1508904993534088,0.2594377398490906,0.26219841837882996,0.22254802286624908,0.3212915062904358,0.2448771744966507,0.26219841837882996,0.16782523691654205,0.35845282673835754,0.14429190754890442,0.1671956181526184,0.09185487031936646
(,0.2411840260028839,0.35393038392066956,0.20654040575027466,0.35032153129577637,0.33289089798927307,0.1761607527732849,0.15432493388652802,0.3087427020072937,0.33289089798927307,0.11605185270309448,0.1544569879770279,0.19005385041236877,0.3357032239437103,0.40561532974243164
"160,000",0.03173910453915596,0.028729664161801338,-0.08189190924167633,0.1211383044719696,0.07878559827804565,-0.10414012521505356,-0.0851605236530304,0.06644000113010406,0.07878559827804565,-0.08916248381137848,0.08982145041227341,-0.14087463915348053,0.015701288357377052,0.11273056268692017
to,0.455847829580307,0.42745086550712585,0.321603000164032,0.41548454761505127,0.535392165184021,0.27099746465682983,0.2885280251502991,0.45010748505592346,0.535392165184021,0.17033490538597107,0.24118299782276154,0.40058770775794983,0.4451248347759247,0.29463258385658264
"227,000",-0.004814630839973688,-0.11252495646476746,0.008002112619578838,0.04848218336701393,0.07443602383136749,-0.06439803540706635,-0.04821773245930672,0.06442517787218094,0.07443602383136749,-0.05766226723790169,-0.1806262731552124,-0.06754849851131439,0.14282482862472534,0.04768327251076698
sq,0.17365999519824982,0.23199144005775452,0.14069485664367676,0.21430401504039764,0.18837253749370575,0.22673214972019196,0.3237040042877197,0.12230025231838226,0.18837253749370575,0.19130827486515045,0.26546844840049744,0.11986176669597626,0.10678915679454803,0.18786261975765228
mi,0.14169800281524658,0.17681920528411865,0.144019216299057,0.13784633576869965,0.12998802959918976,0.14853380620479584,0.22375547885894775,0.09127891063690186,0.12998802959918976,0.2200741320848465,0.18604359030723572,0.10632604360580444,0.1811426728963852,0.10264865309000015
),0.26259949803352356,0.37732169032096863,0.23620007932186127,0.3680361211299896,0.3456730246543884,0.15251244604587555,0.1601184755563736,0.3326910734176636,0.3456730246543884,0.131951242685318,0.1620774269104004,0.1905621439218521,0.3639558255672455,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.2776278555393219,0.22220008075237274,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.2119160145521164,0.3120402991771698,0.4464869201183319,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.336320698261261,0.41827285289764404,0.4223487675189972,0.2378000169992447,0.16657854616641998,0.4080928862094879,0.4223487675189972,0.21287250518798828,0.16874971985816956,0.3047430217266083,0.39140474796295166,0.2433311939239502
most,0.3219912350177765,0.41165053844451904,1.0,0.4178851246833801,0.47635307908058167,0.1799943447113037,0.21697302162647247,0.41416558623313904,0.47635307908058167,0.19138962030410767,0.19658514857292175,0.306323766708374,0.3906237483024597,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.4178851246833801,1.0,0.733189046382904,0.18411119282245636,0.3057127296924591,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2852717339992523,0.3075267970561981,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.47635307908058167,0.733189046382904,1.0,0.2800750434398651,0.28587454557418823,0.6662389636039734,1.0,0.260541707277298,0.35020557045936584,0.3718377649784088,0.4739971458911896,0.22068053483963013
lost,0.198215052485466,0.18998044729232788,0.17681948840618134,0.2878951132297516,0.3376973867416382,0.2791016399860382,0.2538301944732666,0.3167656362056732,0.3376973867416382,0.10585277527570724,0.10811768472194672,0.14100907742977142,0.2845156490802765,0.15261413156986237
forest,0.15328429639339447,0.209678515791893,0.17225387692451477,0.2309139519929886,0.24134553968906403,0.282772958278656,0.3276755213737488,0.24136987328529358,0.24134553968906403,0.26471444964408875,0.16004255414009094,0.12550048530101776,0.20533806085586548,0.1214437186717987
becoming,0.2530137896537781,0.3209705054759979,0.3497517704963684,0.3014795780181885,0.333665668964386,0.22204352915287018,0.1749836504459381,0.2425609976053238,0.333665668964386,0.12040182948112488,0.09240033477544785,0.13947182893753052,0.3125690221786499,0.17354105412960052
pasture,0.16170696914196014,0.2384689599275589,0.16521801054477692,0.20259782671928406,0.22091218829154968,0.2480427324771881,0.35359448194503784,0.20502206683158875,0.22091218829154968,0.19426777958869934,0.26560527086257935,0.24958354234695435,0.22770892083644867,0.16604404151439667
for,0.3017193675041199,0.43268078565597534,0.3906237483024597,0.4185989499092102,0.4739971458911896,0.2647368311882019,0.19845563173294067,0.4322226941585541,0.4739971458911896,0.165912926197052,0.17531010508537292,0.4236139953136444,0.9999999403953552,0.264628142118454
cattle,0.1848948746919632,0.19627758860588074,0.2149812877178192,0.2318044900894165,0.2538938522338867,0.2144269496202469,0.2783610224723816,0.24646858870983124,0.2538938522338867,0.1982300877571106,0.26420217752456665,0.20853213965892792,0.2563750445842743,0.17239461839199066
.,0.3567904531955719,0.4569662809371948,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.2556489109992981,0.259204238653183,0.5591574311256409,0.5934505462646484,0.262887567281723,0.2506107687950134,0.33111312985420227,0.4726039469242096,0.4130953550338745
