,what,is,the,main,component,of,the,aboral,organ,?
cilia,0.17923450469970703,0.18093560636043549,0.18933437764644623,0.10479985177516937,0.23176249861717224,0.18652039766311646,0.18933437764644623,0.23073051869869232,0.3109699487686157,0.15204964578151703
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.1739291101694107,0.4946078956127167,0.4933079481124878,0.2603401839733124,0.19589580595493317,0.31091248989105225
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.2583436071872711,0.24410781264305115,0.4222904443740845,0.489897221326828,0.20815175771713257,0.22608797252178192,0.18963319063186646
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.009458402171730995,0.17128683626651764,0.06780257821083069,0.029072100296616554,0.06095317751169205,0.07508662343025208,0.0685480609536171
balancers,0.2457921802997589,0.2534331679344177,0.3227747976779938,0.22435098886489868,0.3343752324581146,0.26591840386390686,0.3227747976779938,0.21090172231197357,0.2838173806667328,0.21077437698841095
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.012597051449120045,0.027899982407689095,0.13035868108272552,0.041273195296525955,-0.053270239382982254,-0.08271981030702591,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2989408075809479,0.1739291101694107,0.4946078956127167,0.4933079481124878,0.2603401839733124,0.19589580595493317,0.31091248989105225
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3140498101711273,0.2516532242298126,0.41498205065727234,0.5473989248275757,0.2784402370452881,0.1874328851699829,0.32716336846351624
sense,0.3673125207424164,0.24388249218463898,0.23180550336837769,0.19819913804531097,0.25257182121276855,0.19666431844234467,0.23180550336837769,0.22927330434322357,0.2241021692752838,0.25268280506134033
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.272861510515213,0.3114250600337982,0.48690423369407654,0.559237003326416,0.13150325417518616,0.11465282738208771,0.15103481709957123
orientation,0.235154390335083,0.20858392119407654,0.24898602068424225,0.1660037487745285,0.269915372133255,0.24640251696109772,0.24898602068424225,0.32270389795303345,0.1363038569688797,0.13603468239307404
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.31122034788131714,0.22988206148147583,0.5352458953857422,0.5934505462646484,0.26526206731796265,0.22930841147899628,0.4130953550338745
