,who,assisted,wesley,with,ordaining,whatcoat,and,vasey,as,presbyters,?
his,0.44966956973075867,0.3053980767726898,0.2921638488769531,0.33836179971694946,0.26733165979385376,0.22791260480880737,0.4234102666378021,0.2910764217376709,0.3146366477012634,0.2249937802553177,0.18075084686279297
lay,0.12008519470691681,0.17049448192119598,0.11660580337047577,0.1646386981010437,0.221492201089859,0.2427327185869217,0.244028240442276,0.16497758030891418,0.1565297544002533,0.24407914280891418,0.19041578471660614
preachers,0.3504033088684082,0.17338234186172485,0.3359251320362091,0.14139150083065033,0.3650972247123718,0.2847978174686432,0.2792433202266693,0.19131973385810852,0.23403526842594147,0.49062231183052063,0.18691442906856537
as,0.3923053741455078,0.246934711933136,0.1965806782245636,0.40387406945228577,0.265869677066803,0.30310893058776855,0.49487000703811646,0.21292708814144135,1.0,0.16884495317935944,0.27043893933296204
presbyters,0.2337675839662552,0.1687314659357071,0.3526515066623688,0.17926271259784698,0.3921598792076111,0.2892203629016876,0.2564232647418976,0.24060221016407013,0.16884495317935944,1.0,0.1415187120437622
",",0.3365725874900818,0.23627705872058868,0.262672483921051,0.4120737314224243,0.30721810460090637,0.3005044162273407,0.6633074283599854,0.2996789216995239,0.48816442489624023,0.2976883053779602,0.31091248989105225
thomas,0.26103657484054565,0.16775965690612793,0.3525221645832062,0.1763175129890442,0.26214373111724854,0.21395550668239594,0.20946627855300903,0.33870574831962585,0.19479404389858246,0.28161007165908813,0.16133050620555878
vasey,0.2984195053577423,0.17264188826084137,0.3064998388290405,0.19675526022911072,0.2354404628276825,0.360152930021286,0.29190778732299805,1.0000001192092896,0.21292708814144135,0.24060221016407013,0.16413545608520508
and,0.41279885172843933,0.2880154848098755,0.19792525470256805,0.5477725267410278,0.25835147500038147,0.34639111161231995,1.0,0.29190778732299805,0.49487000703811646,0.2564232647418976,0.20544172823429108
richard,0.27835920453071594,0.17457535862922668,0.330524206161499,0.16466177999973297,0.19266729056835175,0.2088489532470703,0.22443673014640808,0.2745543420314789,0.17324641346931458,0.15710468590259552,0.15003317594528198
whatcoat,0.22501780092716217,0.11045937985181808,0.22789813578128815,0.29988738894462585,0.2646063566207886,1.0,0.34639111161231995,0.360152930021286,0.30310893058776855,0.2892203629016876,0.34705108404159546
.,0.3541337847709656,0.21472959220409393,0.20399101078510284,0.4446153938770294,0.2609230577945709,0.35405153036117554,0.588965117931366,0.2908462882041931,0.515582263469696,0.30234473943710327,0.4130953550338745
