,what,is,the,largest,independent,library,outside,of,london,?
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.20572862029075623,0.18188947439193726,0.16312859952449799,0.3680361211299896,0.1605358123779297,0.42300865054130554
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.19700974225997925,0.16916222870349884,0.2823421061038971,0.4854315221309662,0.15162920951843262,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2927691638469696,0.19920319318771362,0.3879719078540802,0.733189046382904,0.27034124732017517,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.1782517433166504,0.21099962294101715,0.2960847020149231,0.36650770902633667,0.11043716222047806,0.12401245534420013
independent,0.28752967715263367,0.19700974225997925,0.2927691638469696,0.1782517433166504,1.0000001192092896,0.1488533914089203,0.2290651947259903,0.30508819222450256,0.21807454526424408,0.11902587860822678
library,0.19149379432201385,0.16916222870349884,0.19920319318771362,0.21099962294101715,0.1488533914089203,0.9999999403953552,0.20533454418182373,0.21889357268810272,0.15845856070518494,0.18938742578029633
outside,0.3224688768386841,0.2823421061038971,0.3879719078540802,0.2960847020149231,0.2290651947259903,0.20533454418182373,0.9999999403953552,0.2973117530345917,0.19049979746341705,0.14839068055152893
london,0.15188734233379364,0.15162920951843262,0.27034124732017517,0.11043716222047806,0.21807454526424408,0.15845856070518494,0.19049979746341705,0.2159106284379959,1.0,0.11278104782104492
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.24115799367427826,0.16805633902549744,0.2726076543331146,0.4946078956127167,0.2571207880973816,0.31091248989105225
housing,0.14871764183044434,0.19461371004581451,0.24837790429592133,0.19719888269901276,0.1707691252231598,0.1864316612482071,0.25897863507270813,0.2954002916812897,0.23610341548919678,0.11872038245201111
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.20770767331123352,0.2363891750574112,0.0785970613360405,0.25506624579429626,0.30478984117507935,0.1312274932861328,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.2178453952074051,0.17305275797843933,0.10215247422456741,0.28615060448646545,0.33036211133003235,0.1713373363018036,0.24917294085025787
"150,000",0.13411518931388855,0.06832264363765717,0.0617680624127388,-0.12348000705242157,-0.011873070150613785,-0.024064451456069946,0.04207605868577957,0.11727281659841537,-0.0346539169549942,-0.019906021654605865
books,0.2542080581188202,0.1739800125360489,0.23187310993671417,0.157505601644516,0.12533123791217804,0.3576837480068207,0.1521179974079132,0.18863578140735626,0.24717247486114502,0.1897611767053604
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.24531036615371704,0.23675528168678284,0.28971612453460693,0.5352458953857422,0.26322779059410095,0.4130953550338745
