,when,is,the,last,time,a,fumble,return,touchdown,happened,in,a,super,bowl,?
bowl,0.20523639023303986,0.14233897626399994,0.21576224267482758,0.20327796041965485,0.20419740676879883,0.19533146917819977,0.40204131603240967,0.14629174768924713,0.4045678675174713,0.19787606596946716,0.17236235737800598,0.19533146917819977,0.4848237931728363,1.0,0.21118052303791046
xxviii,0.20285217463970184,0.132719948887825,0.2853619158267975,0.27369925379753113,0.2553189992904663,0.14986461400985718,0.4173598289489746,0.2938193380832672,0.3328799307346344,0.19775782525539398,0.2312009483575821,0.14986461400985718,0.43183600902557373,0.4878696799278259,0.14487794041633606
at,0.38876327872276306,0.25906258821487427,0.457212895154953,0.2946198880672455,0.3956010341644287,0.3095070421695709,0.23378729820251465,0.15280912816524506,0.19840820133686066,0.31994152069091797,0.4374977946281433,0.3095070421695709,0.11449114978313446,0.2709662914276123,0.21978627145290375
the,0.5091903209686279,0.5823672413825989,1.0,0.3698786795139313,0.43061500787734985,0.5829201340675354,0.16197896003723145,0.2543797492980957,0.1805710643529892,0.3589572608470917,0.6662389636039734,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
end,0.3228412866592407,0.2179071456193924,0.39658910036087036,0.413840651512146,0.2940249741077423,0.28924596309661865,0.24012798070907593,0.3622279167175293,0.31434693932533264,0.29869338870048523,0.28539085388183594,0.28924596309661865,0.11666745692491531,0.15939030051231384,0.12543344497680664
of,0.3757161796092987,0.4854315221309662,0.733189046382904,0.3052992522716522,0.35127586126327515,0.5052502155303955,0.1608104109764099,0.20821265876293182,0.15340197086334229,0.30501094460487366,0.5696388483047485,0.5052502155303955,0.14718765020370483,0.2243070751428604,0.1826142966747284
the,0.5091903209686279,0.5823672413825989,1.0,0.3698786795139313,0.43061500787734985,0.5829201340675354,0.16197896003723145,0.2543797492980957,0.1805710643529892,0.3589572608470917,0.6662389636039734,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
1993,0.006377574522048235,-0.09241963177919388,-0.03424737602472305,-0.007771575357764959,0.06346742808818817,-0.03540339320898056,-0.033471766859292984,0.02345622517168522,-0.07597822695970535,0.10864205658435822,-0.049935609102249146,-0.03540339320898056,-0.11357519030570984,-0.053141262382268906,0.14008748531341553
season,0.1977832019329071,0.1786249428987503,0.2507155239582062,0.24131526052951813,0.26950058341026306,0.1855505406856537,0.3371469974517822,0.21203108131885529,0.38812217116355896,0.15824049711227417,0.2184021919965744,0.1855505406856537,0.2755677402019501,0.3117852509021759,0.16793298721313477
.,0.475719153881073,0.4569662809371948,0.5934505462646484,0.3548945486545563,0.371569961309433,0.50484299659729,0.23846884071826935,0.25014954805374146,0.17317867279052734,0.29012542963027954,0.5591574311256409,0.50484299659729,0.2757420241832733,0.21516893804073334,0.4130953550338745
