,what,was,president,kennedy,put,off,by,regarding,the,space,program,?
the,0.42745697498321533,0.48711544275283813,0.24330610036849976,0.20303435623645782,0.34150463342666626,0.2773582935333252,0.4408751428127289,0.29280903935432434,1.0,0.24495907127857208,0.22986935079097748,0.22068053483963013
massive,0.2346794754266739,0.20117735862731934,0.10855063050985336,0.06572340428829193,0.1746363490819931,0.17132346332073212,0.21267324686050415,0.18556086719036102,0.29983171820640564,0.20790353417396545,0.09647128731012344,0.17558397352695465
financial,0.1900392472743988,0.24977709352970123,0.2787187099456787,0.17644783854484558,0.12018292397260666,0.11630234867334366,0.19205018877983093,0.29106834530830383,0.29952070116996765,0.09249523282051086,0.22441500425338745,0.06444920599460602
commitment,0.344460129737854,0.22305507957935333,0.1957634836435318,0.2546476423740387,0.19396337866783142,0.12686876952648163,0.1759721338748932,0.3680199086666107,0.23078779876232147,0.16004593670368195,0.3154168725013733,0.238871768116951
required,0.2506856620311737,0.14378079771995544,0.17975305020809174,0.18526849150657654,0.3149557113647461,0.21736301481723785,0.21564500033855438,0.35365644097328186,0.27848219871520996,0.23494939506053925,0.19560885429382324,0.24962718784809113
by,0.2455483376979828,0.4752357602119446,0.18304786086082458,0.13557405769824982,0.2461918741464615,0.28998351097106934,1.0000001192092896,0.22009238600730896,0.4408751428127289,0.16067887842655182,0.19954828917980194,0.17966607213020325
a,0.3320399522781372,0.4508470594882965,0.16959697008132935,0.16651007533073425,0.35192930698394775,0.2788178026676178,0.32094135880470276,0.22400012612342834,0.5829201340675354,0.20296213030815125,0.2779408395290375,0.23916715383529663
manned,0.16094419360160828,0.24339483678340912,0.16245493292808533,0.24147231876850128,0.2303246706724167,0.22494924068450928,0.245781809091568,0.2592703402042389,0.2392944097518921,0.4009856879711151,0.34068769216537476,0.17514055967330933
moon,0.15898863971233368,0.18183675408363342,0.18108463287353516,0.14791446924209595,0.15676133334636688,0.18399959802627563,0.2189643681049347,0.1439441442489624,0.23613092303276062,0.312654048204422,0.20258519053459167,0.1442703753709793
landing,0.17083740234375,0.21103228628635406,0.13694821298122406,0.2381223738193512,0.16280725598335266,0.3378182649612427,0.17878741025924683,0.05379912257194519,0.24055521190166473,0.21530812978744507,0.2073235958814621,0.11133739352226257
.,0.3567904531955719,0.40146201848983765,0.26255303621292114,0.3016270697116852,0.32595527172088623,0.2869674861431122,0.3936232924461365,0.27343305945396423,0.5934505462646484,0.2385488897562027,0.18964338302612305,0.4130953550338745
