,what,was,the,source,of,the,rhine,in,the,last,ice,age,?
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.035320915281772614,0.054534342139959335,0.09152708947658539,0.029798196628689766,0.092739537358284,0.09152708947658539,0.06822862476110458,0.0024501329753547907,0.017948059365153313,0.10349778085947037
although,0.24844598770141602,0.3711436688899994,0.3265823423862457,0.2192024290561676,0.3024747669696808,0.3265823423862457,0.14405955374240875,0.28763338923454285,0.3265823423862457,0.18739870190620422,0.15561984479427338,0.16131897270679474,0.15541206300258636
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2657822072505951,0.4946078956127167,0.4933079481124878,0.167837992310524,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.23877936601638794,0.2693369388580322,0.31091248989105225
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.25184157490730286,0.48690423369407654,0.559237003326416,0.17144687473773956,0.3793783485889435,0.559237003326416,0.12596635520458221,0.10998256504535675,0.11611614376306534,0.15103481709957123
source,0.2553733289241791,0.14040647447109222,0.30258262157440186,0.9999998807907104,0.18598204851150513,0.30258262157440186,0.20831243693828583,0.24019475281238556,0.30258262157440186,0.15421198308467865,0.07096697390079498,0.09823834896087646,0.2462312877178192
must,0.30362528562545776,0.20152942836284637,0.2713140547275543,0.243325337767601,0.24322323501110077,0.2713140547275543,0.18621118366718292,0.18276341259479523,0.2713140547275543,0.23198525607585907,0.12861381471157074,0.17656798660755157,0.23707495629787445
still,0.4548931419849396,0.3328092098236084,0.40142056345939636,0.18621090054512024,0.3288819193840027,0.40142056345939636,0.17525321245193481,0.3424699008464813,0.40142056345939636,0.3604687452316284,0.17191626131534576,0.19663920998573303,0.3039587736129761
have,0.39808809757232666,0.2863433063030243,0.40389683842658997,0.23898272216320038,0.3802283704280853,0.40389683842658997,0.10870055109262466,0.36843645572662354,0.40389683842658997,0.27193668484687805,0.18945515155792236,0.1837892234325409,0.32991164922714233
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.1925371289253235,0.31685134768486023,0.3563927710056305,0.17140072584152222,0.3515113592147827,0.3563927710056305,0.27087530493736267,0.14618909358978271,0.17820365726947784,0.24354910850524902
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.18778453767299652,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.539380669593811,0.5829201340675354,0.2864423990249634,0.198673278093338,0.19297243654727936,0.23916715383529663
glacier,0.16163218021392822,0.07667768746614456,0.22671125829219818,0.1489499807357788,0.1567523330450058,0.22671125829219818,0.2332436442375183,0.16514810919761658,0.22671125829219818,0.22203604876995087,0.42915263772010803,0.20865945518016815,0.0979667603969574
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2883438467979431,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.5591574311256409,0.5934505462646484,0.3548945486545563,0.22156640887260437,0.2498820275068283,0.4130953550338745
