,what,was,the,genghis,khan,'s,characteristic,approach,to,religious,diversity,?
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.19348309934139252,0.16486726701259613,0.3715193271636963,0.2274952232837677,0.10834643989801407,0.18075084686279297
rule,0.30539435148239136,0.19895824790000916,0.29894936084747314,0.3116089701652527,0.2500741481781006,0.04595634341239929,0.11709649860858917,0.14360849559307098,0.2587790787220001,0.17683184146881104,0.10948005318641663,0.1955260932445526
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.263354629278183,0.3155236542224884,0.44245919585227966,0.2753547728061676,0.2263139933347702,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.15926383435726166,0.16375517845153809,0.3636345863342285,0.20851445198059082,0.09741681814193726,0.18412111699581146
tolerant,0.297921746969223,0.13773734867572784,0.24514147639274597,0.188398540019989,0.1946398913860321,-0.03445782884955406,0.3346690535545349,0.26270994544029236,0.21584677696228027,0.3179936110973358,0.30459848046302795,0.247783824801445
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.2943860590457916,0.20773443579673767,0.41548454761505127,0.2958606779575348,0.30036839842796326,0.1826142966747284
religions,0.32619357109069824,0.13323351740837097,0.2735731303691864,0.2833164930343628,0.16747073829174042,0.047728314995765686,0.29038769006729126,0.23117345571517944,0.2896021902561188,0.7148280143737793,0.2542908489704132,0.2751845121383667
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.26551535725593567,0.22885166108608246,0.06895173341035843,0.3171210289001465,0.2348477989435196,0.48971283435821533,0.30280056595802307,0.2822173237800598,0.20544172823429108
explained,0.4148936867713928,0.3052760064601898,0.2738569974899292,0.1382879912853241,0.07217510044574738,-0.05783653259277344,0.3325727581977844,0.2636873424053192,0.2741650342941284,0.21923783421516418,0.17968198657035828,0.31240519881248474
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.19348309934139252,0.16486726701259613,0.3715193271636963,0.2274952232837677,0.10834643989801407,0.18075084686279297
policies,0.37312451004981995,0.1756630539894104,0.22566401958465576,0.17602330446243286,0.18586765229701996,-0.0030640345066785812,0.2527925670146942,0.2735391855239868,0.31011244654655457,0.28815585374832153,0.24561858177185059,0.2969106435775757
clearly,0.5452611446380615,0.241038516163826,0.37195420265197754,0.22590163350105286,0.13913442194461823,-0.015116186812520027,0.41745176911354065,0.2879883646965027,0.3923592269420624,0.2669652998447418,0.3025765120983124,0.40760257840156555
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.26635119318962097,0.33169451355934143,1.0,0.24161745607852936,0.23632267117500305,0.29463258385658264
all,0.41981086134910583,0.23179835081100464,0.4860881567001343,0.198136106133461,0.17470678687095642,0.03181743621826172,0.3090073764324188,0.21760383248329163,0.42520734667778015,0.20434121787548065,0.2652972340583801,0.29575422406196594
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.19348309934139252,0.16486726701259613,0.3715193271636963,0.2274952232837677,0.10834643989801407,0.18075084686279297
soldiers,0.21669568121433258,0.29651278257369995,0.3038179576396942,0.2938748896121979,0.1459471732378006,0.03944314271211624,0.103426992893219,0.10946596413850784,0.2914033532142639,0.21079121530056,0.07708140462636948,0.1779262125492096
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.2017466127872467,0.21207883954048157,0.4645031690597534,0.23880675435066223,0.21884874999523163,0.4130953550338745
