,where,can,a,tribute,to,the,fall,of,warsaw,be,found,?
and,0.43859338760375977,0.3675691485404968,0.3739250600337982,0.12866657972335815,0.48971283435821533,0.5171257257461548,0.25737735629081726,0.5116966962814331,0.2083624005317688,0.41766801476478577,0.27978911995887756,0.20544172823429108
in,0.5344807505607605,0.26527702808380127,0.539380669593811,0.19132359325885773,0.45010748505592346,0.6662389636039734,0.22958555817604065,0.5696388483047485,0.22642600536346436,0.3481820821762085,0.39141854643821716,0.20430970191955566
the,0.5003893971443176,0.312528520822525,0.5829201340675354,0.22281517088413239,0.535392165184021,1.0,0.3639753758907318,0.733189046382904,0.23137180507183075,0.4248143136501312,0.3452354073524475,0.22068053483963013
katyń,0.17380255460739136,0.2522643506526947,0.22549869120121002,0.13014650344848633,0.21585984528064728,0.2231675386428833,0.22277328372001648,0.11714579910039902,0.23441334068775177,0.2383114993572235,0.12528261542320251,0.15530657768249512
museum,0.17054861783981323,0.09301101416349411,0.14725451171398163,0.19037692248821259,0.1640389859676361,0.24861779808998108,0.1365918666124344,0.23314370214939117,0.24001078307628632,0.1328076720237732,0.1381998509168625,0.14128351211547852
which,0.5477990508079529,0.41132649779319763,0.56894451379776,0.19766153395175934,0.5345056653022766,0.6521818041801453,0.25509533286094666,0.5011631846427917,0.16906329989433289,0.476310670375824,0.25134438276290894,0.25814583897590637
preserves,0.1845744401216507,0.17877207696437836,0.15651756525039673,0.19207388162612915,0.24310317635536194,0.2656673491001129,0.06731298565864563,0.23311538994312286,0.11144519597291946,0.22831323742866516,0.24392788112163544,0.09447159618139267
the,0.5003893971443176,0.312528520822525,0.5829201340675354,0.22281517088413239,0.535392165184021,1.0,0.3639753758907318,0.733189046382904,0.23137180507183075,0.4248143136501312,0.3452354073524475,0.22068053483963013
memory,0.15430447459220886,0.20877830684185028,0.20081622898578644,0.13542696833610535,0.19370511174201965,0.1785092055797577,0.08941838890314102,0.17919406294822693,0.13041932880878448,0.18615126609802246,0.154402494430542,0.1397676020860672
of,0.38066378235816956,0.2603091299533844,0.5052502155303955,0.19614990055561066,0.41548454761505127,0.733189046382904,0.2854328155517578,1.0,0.19253842532634735,0.33904364705085754,0.2982911467552185,0.1826142966747284
the,0.5003893971443176,0.312528520822525,0.5829201340675354,0.22281517088413239,0.535392165184021,1.0,0.3639753758907318,0.733189046382904,0.23137180507183075,0.4248143136501312,0.3452354073524475,0.22068053483963013
crime,0.1859813630580902,0.18435531854629517,0.22928372025489807,0.16514289379119873,0.20496699213981628,0.2052120864391327,0.2007981687784195,0.21116793155670166,0.09509386122226715,0.1888611763715744,0.19615523517131805,0.2067868858575821
.,0.41390106081962585,0.35783761739730835,0.50484299659729,0.19426825642585754,0.4645031690597534,0.5934505462646484,0.2718521058559418,0.5352458953857422,0.26825499534606934,0.4383580684661865,0.3618174195289612,0.4130953550338745
