,who,was,the,speaker,of,the,tribal,council,?
officials,0.2880614995956421,0.34914183616638184,0.36026763916015625,0.222580224275589,0.2648431658744812,0.36026763916015625,0.19699810445308685,0.3559472858905792,0.1505519449710846
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.18961742520332336,0.4249346852302551,0.40150508284568787,0.11355443298816681,0.16122816503047943,0.19969791173934937
some,0.3978389501571655,0.21528802812099457,0.4566698372364044,0.1780756264925003,0.4300730526447296,0.4566698372364044,0.17931415140628815,0.16173064708709717,0.2562315762042999
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2137414962053299,1.0,0.733189046382904,0.23765619099140167,0.2972237169742584,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.24416065216064453,0.733189046382904,1.0,0.259813129901886,0.2829204201698303,0.22068053483963013
other,0.3612329661846161,0.14651623368263245,0.44152235984802246,0.1604013293981552,0.38583824038505554,0.44152235984802246,0.2135685682296753,0.1907373070716858,0.24682199954986572
american,0.3093835413455963,0.31632548570632935,0.24562937021255493,0.2266196459531784,0.22180068492889404,0.24562937021255493,0.18048831820487976,0.08958390355110168,0.18877598643302917
colonies,0.20463168621063232,0.21739500761032104,0.30451729893684387,0.11337921768426895,0.2890703082084656,0.30451729893684387,0.21600329875946045,0.19092996418476105,0.07886616140604019
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.25551629066467285,0.5352458953857422,0.5934505462646484,0.14948855340480804,0.2314436286687851,0.4130953550338745
,who,was,the,speaker,of,the,tribal,council,?
mohawk,0.25025475025177,0.1875251680612564,0.2528330683708191,0.21627190709114075,0.16796714067459106,0.2528330683708191,0.24603420495986938,0.14096426963806152,0.09463662654161453
chief,0.2604494094848633,0.2651097774505615,0.2586921751499176,0.26738759875297546,0.26361605525016785,0.2586921751499176,0.2687605917453766,0.20206335186958313,0.09466830641031265
hendrick,0.26170745491981506,0.23885577917099,0.24970827996730804,0.20061048865318298,0.20059876143932343,0.24970827996730804,0.11568427830934525,0.12822219729423523,0.12327530235052109
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21239762008190155,0.23820561170578003,0.31091248989105225
speaker,0.2956448793411255,0.21640466153621674,0.24416065216064453,0.9999999403953552,0.2137414962053299,0.24416065216064453,0.20344267785549164,0.21360456943511963,0.1758522391319275
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2137414962053299,1.0,0.733189046382904,0.23765619099140167,0.2972237169742584,0.1826142966747284
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.12297140806913376,0.4329940676689148,0.516537070274353,0.2749602198600769,0.14841683208942413,0.1898253709077835
tribal,0.2445630580186844,0.20444342494010925,0.259813129901886,0.20344267785549164,0.23765619099140167,0.259813129901886,0.9999999403953552,0.39148879051208496,0.0904514268040657
council,0.19620807468891144,0.23921515047550201,0.2829204201698303,0.21360456943511963,0.2972237169742584,0.2829204201698303,0.39148879051208496,1.0,0.1160062924027443
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21239762008190155,0.23820561170578003,0.31091248989105225
insisted,0.3234142065048218,0.3803028464317322,0.22402240335941315,0.19728893041610718,0.2745477259159088,0.22402240335941315,0.18668745458126068,0.12927748262882233,0.20097918808460236
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.1891353279352188,0.41498205065727234,0.5473989248275757,0.18325629830360413,0.18148750066757202,0.32716336846351624
the,0.3733934462070465,0.48711544275283813,1.0,0.24416065216064453,0.733189046382904,1.0,0.259813129901886,0.2829204201698303,0.22068053483963013
british,0.2666113078594208,0.31934812664985657,0.28973397612571716,0.19388650357723236,0.23701532185077667,0.28973397612571716,0.243631973862648,0.21199683845043182,0.09711728990077972
abide,0.3464324176311493,0.16969627141952515,0.21797075867652893,0.2539611756801605,0.20139248669147491,0.21797075867652893,0.16519726812839508,0.22173123061656952,0.3861471116542816
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.1427905559539795,0.3646814823150635,0.4408751428127289,0.2204819768667221,0.18552932143211365,0.17966607213020325
their,0.3767721951007843,0.2396296262741089,0.516537070274353,0.12297140806913376,0.4329940676689148,0.516537070274353,0.2749602198600769,0.14841683208942413,0.1898253709077835
obligations,0.20676028728485107,0.16149203479290009,0.25601303577423096,0.13231611251831055,0.22609607875347137,0.25601303577423096,0.17026062309741974,0.25199300050735474,0.221116840839386
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22946549952030182,0.5116966962814331,0.5171257257461548,0.2447868138551712,0.25117602944374084,0.20544172823429108
block,0.18402698636054993,0.1182115375995636,0.20056472718715668,0.16046199202537537,0.1477721929550171,0.20056472718715668,0.14807657897472382,0.19174253940582275,0.27211859822273254
french,0.2756427824497223,0.2523815333843231,0.2555147111415863,0.14386425912380219,0.19450366497039795,0.2555147111415863,0.0907566249370575,0.12933385372161865,0.1386883556842804
expansion,0.09368777275085449,0.16902519762516022,0.31353142857551575,0.11916466057300568,0.24185356497764587,0.31353142857551575,0.1504819691181183,0.14819684624671936,0.18286365270614624
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.25551629066467285,0.5352458953857422,0.5934505462646484,0.14948855340480804,0.2314436286687851,0.4130953550338745
