,the,v,&,a,has,the,world,'s,most,comprehensive,collection,of,sculptures,from,which,period,?
comprehensive,0.24314838647842407,0.13318033516407013,0.17649617791175842,0.2721365988254547,0.22486884891986847,0.24314838647842407,0.24362170696258545,0.003690342651680112,0.23976604640483856,1.0000001192092896,0.29934996366500854,0.2892167866230011,0.19884607195854187,0.10524483770132065,0.24031797051429749,0.11395391821861267,0.28184229135513306
holding,0.31092849373817444,0.09361518919467926,0.17856751382350922,0.3320668041706085,0.26292428374290466,0.31092849373817444,0.19827772676944733,0.05465402081608772,0.21665610373020172,0.10786719620227814,0.22315402328968048,0.25994744896888733,0.28427430987358093,0.20812533795833588,0.33221250772476196,0.09956032782793045,0.17956523597240448
of,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.3909035325050354,0.733189046382904,0.2828933000564575,-0.03817026689648628,0.4178851246833801,0.2892167866230011,0.2915455996990204,1.0,0.2783608138561249,0.4249346852302551,0.5011631846427917,0.2698146104812622,0.1826142966747284
post-classical,0.22715076804161072,0.11419157683849335,0.1308680921792984,0.2571289837360382,0.17683416604995728,0.22715076804161072,0.23173750936985016,0.06414777040481567,0.2474197894334793,0.29250368475914,0.30178460478782654,0.2837629020214081,0.37581518292427063,0.1987002193927765,0.26852136850357056,0.3497323989868164,0.27501094341278076
european,0.3423081040382385,0.16175833344459534,0.15071523189544678,0.2254103124141693,0.1917828619480133,0.3423081040382385,0.3524537980556488,0.08902547508478165,0.21084468066692352,0.15787099301815033,0.10411082953214645,0.2507138252258301,0.14049769937992096,0.2091801017522812,0.2234036773443222,0.17045241594314575,0.14560863375663757
sculpture,0.23690329492092133,0.10977459698915482,0.07646507024765015,0.19645118713378906,0.1540418565273285,0.23690329492092133,0.12298917770385742,0.08444227278232574,0.20820656418800354,0.18289080262184143,0.3205874264240265,0.2746802270412445,0.935681939125061,0.18837447464466095,0.2241707295179367,0.2683025896549225,0.1571214497089386
in,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.4173259735107422,0.6662389636039734,0.3038199245929718,-0.037580832839012146,0.41416558623313904,0.21318574249744415,0.23004686832427979,0.5696388483047485,0.2280999720096588,0.4274188280105591,0.4840516746044159,0.23051127791404724,0.20430970191955566
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,1.0,0.33604270219802856,-0.01540423184633255,0.47635307908058167,0.24314838647842407,0.25281965732574463,0.733189046382904,0.2478773295879364,0.40150508284568787,0.6521818041801453,0.3125074505805969,0.22068053483963013
world,0.33604270219802856,0.06254376471042633,0.15911176800727844,0.22239887714385986,0.21706144511699677,0.33604270219802856,1.0000001192092896,0.11877062171697617,0.33157554268836975,0.24362170696258545,0.1882934868335724,0.2828933000564575,0.14899364113807678,0.22603429853916168,0.29213306307792664,0.19790580868721008,0.17579582333564758
.,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.4105546176433563,0.5934505462646484,0.3177160322666168,-0.003708066651597619,0.35404038429260254,0.22201144695281982,0.2516246736049652,0.5352458953857422,0.24223986268043518,0.41536515951156616,0.45942068099975586,0.2575049102306366,0.4130953550338745
