,what,public,entity,of,learning,is,often,target,of,civil,disobedience,?
non-governmental,0.22915460169315338,0.4151158034801483,0.2995045781135559,0.35376518964767456,0.228067085146904,0.21368014812469482,0.25222688913345337,0.15110664069652557,0.35376518964767456,0.35446062684059143,0.4362923204898834,0.2302026003599167
agencies,0.2035544514656067,0.359627366065979,0.27633917331695557,0.22542637586593628,0.2210429608821869,0.1606675088405609,0.2628852128982544,0.21636681258678436,0.22542637586593628,0.24945448338985443,0.24546565115451813,0.1637895703315735
such,0.23989605903625488,0.21115711331367493,0.20067882537841797,0.3209529519081116,0.22664718329906464,0.23545363545417786,0.4611203372478485,0.1977919191122055,0.3209529519081116,0.09689128398895264,0.20085255801677704,0.17851735651493073
as,0.31749409437179565,0.2423635572195053,0.26742884516716003,0.3886612355709076,0.22636070847511292,0.43216490745544434,0.405699223279953,0.24524831771850586,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
trade,0.1555381417274475,0.19600893557071686,0.17206397652626038,0.2310105711221695,0.2410375475883484,0.17870411276817322,0.22153116762638092,0.12669473886489868,0.2310105711221695,0.21266672015190125,0.21154998242855072,0.09336511790752411
unions,0.19864864647388458,0.2253931164741516,0.24849320948123932,0.2497035413980484,0.2290675938129425,0.1290096491575241,0.28819194436073303,0.1444340944290161,0.2497035413980484,0.3838612735271454,0.4490469694137573,0.1424994021654129
",",0.3087472915649414,0.2588968276977539,0.19129666686058044,0.4946078956127167,0.22680731117725372,0.4691906273365021,0.24139221012592316,0.19288919866085052,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
banks,0.11580011993646622,0.21098314225673676,0.14816752076148987,0.21528330445289612,0.019599642604589462,0.18453240394592285,0.1491280347108841,0.10082769393920898,0.21528330445289612,0.16948948800563812,0.1402074098587036,0.11048095673322678
",",0.3087472915649414,0.2588968276977539,0.19129666686058044,0.4946078956127167,0.22680731117725372,0.4691906273365021,0.24139221012592316,0.19288919866085052,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
and,0.31309178471565247,0.3227643668651581,0.20907706022262573,0.5116966962814331,0.2687397301197052,0.3859752118587494,0.42465832829475403,0.2067750096321106,0.5116966962814331,0.25259146094322205,0.3041999638080597,0.20544172823429108
private,0.16778090596199036,0.5126727223396301,0.26600924134254456,0.18706899881362915,0.2167409062385559,0.1420905888080597,0.22649462521076202,0.13076996803283691,0.18706899881362915,0.2123924046754837,0.25349682569503784,0.14389030635356903
universities,0.1630716770887375,0.3672715425491333,0.1873658448457718,0.29948264360427856,0.3136531710624695,0.2421088069677353,0.21251307427883148,0.11490623652935028,0.29948264360427856,0.21765971183776855,0.21679674088954926,0.16836881637573242
can,0.34502777457237244,0.18920445442199707,0.23023709654808044,0.2603091299533844,0.26453647017478943,0.44256699085235596,0.5252479314804077,0.2602491080760956,0.2603091299533844,0.12476041913032532,0.15718160569667816,0.3226337134838104
be,0.3929833769798279,0.22898490726947784,0.2448408603668213,0.33904364705085754,0.21383655071258545,0.4819129705429077,0.463177889585495,0.2615101933479309,0.33904364705085754,0.18061059713363647,0.2944406270980835,0.3324260413646698
justified,0.3712652921676636,0.16695977747440338,0.24626117944717407,0.21700510382652283,0.1834532618522644,0.16052663326263428,0.14900588989257812,0.20928743481636047,0.21700510382652283,0.1624336540699005,0.30395132303237915,0.38761505484580994
if,0.5277165174484253,0.1735907644033432,0.38960444927215576,0.2557544410228729,0.2209966778755188,0.30927813053131104,0.383415162563324,0.3392523229122162,0.2557544410228729,0.12512178719043732,0.20446431636810303,0.4441644251346588
it,0.45803478360176086,0.2047269344329834,0.2522418200969696,0.38761502504348755,0.21570803225040436,0.6328473687171936,0.3385609984397888,0.25045228004455566,0.38761502504348755,0.17707513272762299,0.2648297846317291,0.25732165575027466
reflects,0.2569086253643036,0.11107172816991806,0.22884275019168854,0.29528287053108215,0.22335787117481232,0.2728630006313324,0.22382916510105133,0.164847731590271,0.29528287053108215,0.08639799058437347,0.20951804518699646,0.13998140394687653
``,0.008517155423760414,-0.011037950403988361,0.16402003169059753,0.06780257821083069,0.015908466652035713,0.058766357600688934,0.06302177906036377,0.08777360618114471,0.06780257821083069,0.06784805655479431,0.06214885041117668,0.0685480609536171
a,0.3320399522781372,0.19607044756412506,0.2841722071170807,0.5052502155303955,0.23662391304969788,0.658733606338501,0.3930865228176117,0.1994335651397705,0.5052502155303955,0.21693918108940125,0.25352153182029724,0.23916715383529663
larger,0.23663538694381714,0.1391536295413971,0.18999172747135162,0.32469573616981506,0.19775499403476715,0.24218857288360596,0.34622660279273987,0.29752033948898315,0.32469573616981506,0.11561470478773117,0.11257342249155045,0.1602165699005127
challenge,0.2741846442222595,0.1366143524646759,0.15383268892765045,0.1816699355840683,0.20949332416057587,0.20774854719638824,0.1792462021112442,0.212799534201622,0.1816699355840683,0.19776199758052826,0.27969086170196533,0.2207598239183426
to,0.455847829580307,0.2672370672225952,0.19512765109539032,0.41548454761505127,0.2609867453575134,0.42745086550712585,0.4351843297481537,0.275001585483551,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
the,0.42745697498321533,0.22857438027858734,0.2403784692287445,0.733189046382904,0.2504628002643585,0.5823672413825989,0.38004449009895325,0.25054478645324707,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
legal,0.26388198137283325,0.36814460158348083,0.303893119096756,0.2720220685005188,0.14897264540195465,0.20037926733493805,0.232216939330101,0.12728537619113922,0.2720220685005188,0.34212639927864075,0.37078002095222473,0.2143220454454422
system,0.23557309806346893,0.2795582115650177,0.18292634189128876,0.25597915053367615,0.196910098195076,0.2282046526670456,0.20662763714790344,0.1285725086927414,0.25597915053367615,0.12898217141628265,0.16900348663330078,0.15556083619594574
that,0.6297725439071655,0.2622828185558319,0.29692912101745605,0.41498205065727234,0.2574402689933777,0.3995479643344879,0.43873903155326843,0.21144841611385345,0.41498205065727234,0.16867391765117645,0.3551425039768219,0.32716336846351624
permits,0.25703537464141846,0.26489561796188354,0.2722839415073395,0.23530657589435577,0.22083164751529694,0.2122938334941864,0.31131288409233093,0.2342657446861267,0.23530657589435577,0.1106685921549797,0.3114771544933319,0.1309078186750412
those,0.44466671347618103,0.1694101244211197,0.21267347037792206,0.37935635447502136,0.2734755575656891,0.2352088838815689,0.45234590768814087,0.24391597509384155,0.37935635447502136,0.1422404944896698,0.2966557443141937,0.3328189253807068
decisions,0.3351972997188568,0.23798143863677979,0.31803154945373535,0.2881335914134979,0.29808899760246277,0.2378915399312973,0.2593715190887451,0.22516711056232452,0.2881335914134979,0.24488519132137299,0.3744994103908539,0.29068708419799805
to,0.455847829580307,0.2672370672225952,0.19512765109539032,0.41548454761505127,0.2609867453575134,0.42745086550712585,0.4351843297481537,0.275001585483551,0.41548454761505127,0.2019355595111847,0.30665844678878784,0.29463258385658264
be,0.3929833769798279,0.22898490726947784,0.2448408603668213,0.33904364705085754,0.21383655071258545,0.4819129705429077,0.463177889585495,0.2615101933479309,0.33904364705085754,0.18061059713363647,0.2944406270980835,0.3324260413646698
taken,0.26014965772628784,0.20353446900844574,0.12689130008220673,0.2889742851257324,0.14582858979701996,0.19185791909694672,0.2225959450006485,0.17178691923618317,0.2889742851257324,0.12793612480163574,0.20292720198631287,0.17662954330444336
'',0.08143015950918198,0.07067567110061646,-0.03951994702219963,0.13035868108272552,0.05786193534731865,0.0793738141655922,0.03212470933794975,-0.12053272128105164,0.13035868108272552,-0.062313709408044815,0.003403886454179883,0.018684765323996544
.,0.3567904531955719,0.21888655424118042,0.24862751364707947,0.5352458953857422,0.24872951209545135,0.4569662809371948,0.30710849165916443,0.24514639377593994,0.5352458953857422,0.2541380822658539,0.2603943943977356,0.4130953550338745
