,who,were,two,of,the,founders,of,the,united,methodist,church,?
over,0.316001296043396,0.30589473247528076,0.35418701171875,0.36136594414711,0.39856547117233276,0.13563454151153564,0.36136594414711,0.39856547117233276,0.25157564878463745,0.247173011302948,0.2156446874141693,0.25742942094802856
time,0.36634087562561035,0.3104150593280792,0.33960169553756714,0.35127586126327515,0.43061500787734985,0.18251679837703705,0.35127586126327515,0.43061500787734985,0.23353901505470276,0.19161073863506317,0.17123638093471527,0.27391523122787476
",",0.3365725874900818,0.36755475401878357,0.35859420895576477,0.4946078956127167,0.4933079481124878,0.25791284441947937,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.31091248989105225
these,0.34544891119003296,0.587685227394104,0.5489652752876282,0.42684608697891235,0.49086877703666687,0.14174199104309082,0.42684608697891235,0.49086877703666687,0.2425423115491867,0.13859285414218903,0.17131376266479492,0.2571668326854706
practices,0.3157578706741333,0.2807314693927765,0.1482744961977005,0.25354546308517456,0.24007414281368256,0.2936554551124573,0.25354546308517456,0.24007414281368256,0.18876075744628906,0.3636583089828491,0.27973902225494385,0.18974241614341736
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.5171257257461548,0.2665466368198395,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2376793771982193,0.1976170688867569,0.20544172823429108
beliefs,0.34122297167778015,0.314157634973526,0.2052973508834839,0.2516281008720398,0.2159741371870041,0.272512286901474,0.2516281008720398,0.2159741371870041,0.11190486699342728,0.42840805649757385,0.3714022934436798,0.254576712846756
can,0.2602734863758087,0.2566237151622772,0.282000333070755,0.2603091299533844,0.312528520822525,0.046212539076805115,0.2603091299533844,0.312528520822525,0.1659262627363205,0.11023267358541489,0.1339203417301178,0.3226337134838104
be,0.3371641933917999,0.4064064621925354,0.28515341877937317,0.33904364705085754,0.4248143136501312,0.09261061251163483,0.33904364705085754,0.4248143136501312,0.20382754504680634,0.11651849001646042,0.14655785262584686,0.3324260413646698
traced,0.23861363530158997,0.27926936745643616,0.2118166983127594,0.325751930475235,0.34548765420913696,0.2830238342285156,0.325751930475235,0.34548765420913696,0.1875973641872406,0.23092718422412872,0.17103548347949982,0.10152046382427216
to,0.42656609416007996,0.31913647055625916,0.3343428373336792,0.41548454761505127,0.535392165184021,0.19146451354026794,0.41548454761505127,0.535392165184021,0.2715383470058441,0.21503986418247223,0.24439501762390137,0.29463258385658264
the,0.3733934462070465,0.3906462490558624,0.43858039379119873,0.733189046382904,1.0,0.29900917410850525,0.733189046382904,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.22068053483963013
writings,0.25615644454956055,0.2879638373851776,0.1773819476366043,0.24593348801136017,0.21431727707386017,0.247640922665596,0.24593348801136017,0.21431727707386017,0.15485554933547974,0.3131897449493408,0.3023533523082733,0.1770159751176834
of,0.2827862501144409,0.34038281440734863,0.37726253271102905,1.0,0.733189046382904,0.24859850108623505,1.0,0.733189046382904,0.3187655806541443,0.28458893299102783,0.3079429268836975,0.1826142966747284
the,0.3733934462070465,0.3906462490558624,0.43858039379119873,0.733189046382904,1.0,0.29900917410850525,0.733189046382904,1.0,0.34367692470550537,0.21922016143798828,0.23846197128295898,0.22068053483963013
church,0.19418756663799286,0.21372953057289124,0.14373718202114105,0.3079429268836975,0.23846197128295898,0.19708433747291565,0.3079429268836975,0.23846197128295898,0.19284281134605408,0.6119816899299622,0.9999999403953552,0.18081501126289368
's,0.05599616840481758,0.007088581565767527,0.038143858313560486,-0.03817026689648628,-0.01540423184633255,-0.03205142915248871,-0.03817026689648628,-0.01540423184633255,-0.03853745758533478,-0.030392127111554146,0.023664841428399086,-0.023395681753754616
founders,0.3316371738910675,0.18104194104671478,0.12201985716819763,0.24859850108623505,0.29900917410850525,1.0,0.24859850108623505,0.29900917410850525,0.21974869072437286,0.324021577835083,0.19708433747291565,0.13401734828948975
",",0.3365725874900818,0.36755475401878357,0.35859420895576477,0.4946078956127167,0.4933079481124878,0.25791284441947937,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.31091248989105225
especially,0.3433115482330322,0.35192251205444336,0.2768738865852356,0.37220633029937744,0.39420849084854126,0.19492585957050323,0.37220633029937744,0.39420849084854126,0.20805244147777557,0.15049944818019867,0.1742585003376007,0.19751401245594025
john,0.30388808250427246,0.19632886350154877,0.18749317526817322,0.2407056987285614,0.2230520099401474,0.19321954250335693,0.2407056987285614,0.2230520099401474,0.30541884899139404,0.29304346442222595,0.21100085973739624,0.13162356615066528
wesley,0.2321225255727768,0.15968073904514313,0.17607976496219635,0.18802838027477264,0.1425647884607315,0.2548404932022095,0.18802838027477264,0.1425647884607315,0.25690677762031555,0.4355824887752533,0.30849578976631165,0.1662333607673645
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.5171257257461548,0.2665466368198395,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2376793771982193,0.1976170688867569,0.20544172823429108
charles,0.27103671431541443,0.1862054467201233,0.1526642143726349,0.22512592375278473,0.20777860283851624,0.21718910336494446,0.22512592375278473,0.20777860283851624,0.18829871714115143,0.26476791501045227,0.1568939983844757,0.17366734147071838
wesley,0.2321225255727768,0.15968073904514313,0.17607976496219635,0.18802838027477264,0.1425647884607315,0.2548404932022095,0.18802838027477264,0.1425647884607315,0.25690677762031555,0.4355824887752533,0.30849578976631165,0.1662333607673645
(,0.2443375140428543,0.14743882417678833,0.2169162482023239,0.35032153129577637,0.33289089798927307,0.1788378357887268,0.35032153129577637,0.33289089798927307,0.21098394691944122,0.1986307054758072,0.17581534385681152,0.40561532974243164
anglicans,0.2540205121040344,0.3112860321998596,0.19802986085414886,0.31178170442581177,0.25399383902549744,0.225341796875,0.31178170442581177,0.25399383902549744,0.22516264021396637,0.5558178424835205,0.6544865369796753,0.15126198530197144
),0.2457384318113327,0.1566188633441925,0.24161455035209656,0.3680361211299896,0.3456730246543884,0.20504198968410492,0.3680361211299896,0.3456730246543884,0.20623768866062164,0.2131137251853943,0.1983546018600464,0.42300865054130554
",",0.3365725874900818,0.36755475401878357,0.35859420895576477,0.4946078956127167,0.4933079481124878,0.25791284441947937,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.31091248989105225
but,0.4487357437610626,0.38291117548942566,0.39381086826324463,0.39942997694015503,0.4859698414802551,0.16315922141075134,0.39942997694015503,0.4859698414802551,0.2124049812555313,0.18792220950126648,0.19767498970031738,0.27921953797340393
also,0.47919341921806335,0.31877249479293823,0.4511464238166809,0.4924938678741455,0.6021018624305725,0.28494298458099365,0.4924938678741455,0.6021018624305725,0.30441129207611084,0.23843953013420105,0.21634946763515472,0.21848613023757935
philip,0.25307518243789673,0.1992754489183426,0.1774844229221344,0.24375313520431519,0.21499985456466675,0.1756868213415146,0.24375313520431519,0.21499985456466675,0.22727231681346893,0.24359296262264252,0.19674640893936157,0.11887923628091812
william,0.32068803906440735,0.18914814293384552,0.15547144412994385,0.20272590219974518,0.21537061035633087,0.23151439428329468,0.20272590219974518,0.21537061035633087,0.2399936467409134,0.2743416428565979,0.17914579808712006,0.14462219178676605
otterbein,0.24136580526828766,0.18633083999156952,0.18000952899456024,0.2834872603416443,0.2908806800842285,0.20626482367515564,0.2834872603416443,0.2908806800842285,0.19516271352767944,0.2618991434574127,0.17274121940135956,0.15544328093528748
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.5171257257461548,0.2665466368198395,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2376793771982193,0.1976170688867569,0.20544172823429108
martin,0.22000780701637268,0.15994206070899963,0.1358458250761032,0.13722093403339386,0.22029393911361694,0.170738086104393,0.13722093403339386,0.22029393911361694,0.2172350436449051,0.2620876729488373,0.27881959080696106,0.060103293508291245
boehm,0.24252797663211823,0.22289153933525085,0.26705434918403625,0.30423882603645325,0.252726286649704,0.2723495662212372,0.30423882603645325,0.252726286649704,0.12714257836341858,0.27187463641166687,0.27374812960624695,0.2010592669248581
(,0.2443375140428543,0.14743882417678833,0.2169162482023239,0.35032153129577637,0.33289089798927307,0.1788378357887268,0.35032153129577637,0.33289089798927307,0.21098394691944122,0.1986307054758072,0.17581534385681152,0.40561532974243164
united,0.21193812787532806,0.21928317844867706,0.23953400552272797,0.3187655806541443,0.34367692470550537,0.21974869072437286,0.3187655806541443,0.34367692470550537,1.0000001192092896,0.3283560872077942,0.19284281134605408,0.17266890406608582
brethren,0.31923049688339233,0.2340022772550583,0.1760295331478119,0.28087231516838074,0.265458881855011,0.3412870764732361,0.28087231516838074,0.265458881855011,0.19484542310237885,0.45681872963905334,0.49081337451934814,0.16745728254318237
),0.2457384318113327,0.1566188633441925,0.24161455035209656,0.3680361211299896,0.3456730246543884,0.20504198968410492,0.3680361211299896,0.3456730246543884,0.20623768866062164,0.2131137251853943,0.1983546018600464,0.42300865054130554
",",0.3365725874900818,0.36755475401878357,0.35859420895576477,0.4946078956127167,0.4933079481124878,0.25791284441947937,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.2960420250892639,0.2707274258136749,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.5171257257461548,0.2665466368198395,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2376793771982193,0.1976170688867569,0.20544172823429108
jacob,0.2594224810600281,0.11830297112464905,0.14103536307811737,0.2129739671945572,0.22024451196193695,0.11386675387620926,0.2129739671945572,0.22024451196193695,0.18033401668071747,0.2643668055534363,0.2349996566772461,0.11618305742740631
albright,0.29760241508483887,0.22448228299617767,0.24869917333126068,0.223062202334404,0.27721700072288513,0.2472681850194931,0.223062202334404,0.27721700072288513,0.3341991603374481,0.3647404909133911,0.2364036738872528,0.1998330056667328
(,0.2443375140428543,0.14743882417678833,0.2169162482023239,0.35032153129577637,0.33289089798927307,0.1788378357887268,0.35032153129577637,0.33289089798927307,0.21098394691944122,0.1986307054758072,0.17581534385681152,0.40561532974243164
evangelical,0.21145540475845337,0.18537278473377228,0.12406919151544571,0.2919469177722931,0.23743100464344025,0.2725203037261963,0.2919469177722931,0.23743100464344025,0.2384873330593109,0.6271317005157471,0.5761513113975525,0.16597984731197357
association,0.18668070435523987,0.17383795976638794,0.12483460456132889,0.2501356303691864,0.26550325751304626,0.3046856224536896,0.2501356303691864,0.26550325751304626,0.2708336412906647,0.2378402054309845,0.19289085268974304,0.1542656421661377
),0.2457384318113327,0.1566188633441925,0.24161455035209656,0.3680361211299896,0.3456730246543884,0.20504198968410492,0.3680361211299896,0.3456730246543884,0.20623768866062164,0.2131137251853943,0.1983546018600464,0.42300865054130554
.,0.3541337847709656,0.3378238379955292,0.3524959683418274,0.5352458953857422,0.5934505462646484,0.22788630425930023,0.5352458953857422,0.5934505462646484,0.3406063914299011,0.30669423937797546,0.28898224234580994,0.4130953550338745
