,besides,the,bondage,of,the,will,",",what,other,work,did,luther,view,as,a,book,of,his,?
",",0.340058833360672,0.4933079481124878,0.23749704658985138,0.4946078956127167,0.4933079481124878,0.29706671833992004,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.3283594250679016,0.3015086054801941,0.23255878686904907,0.216712087392807,0.48816442489624023,0.427140474319458,0.23644568026065826,0.4946078956127167,0.3378419280052185,0.31091248989105225
except,0.27227598428726196,0.31242886185646057,0.22639797627925873,0.2851351797580719,0.31242886185646057,0.29609161615371704,0.3071746826171875,0.2278055101633072,0.3293061852455139,0.16348513960838318,0.2574186623096466,0.12428950518369675,0.07298006117343903,0.2589585483074188,0.18728198111057281,0.1516258716583252,0.2851351797580719,0.1860184520483017,0.16405975818634033
perhaps,0.38038814067840576,0.35476016998291016,0.18959638476371765,0.3375486433506012,0.35476016998291016,0.3374546468257904,0.31868863105773926,0.45013323426246643,0.29737651348114014,0.34589749574661255,0.2904370427131653,0.14537151157855988,0.2973034977912903,0.3720308244228363,0.39144209027290344,0.2333901822566986,0.3375486433506012,0.3027971088886261,0.4211712181568146
the,0.367077499628067,1.0,0.1913725733757019,0.733189046382904,1.0,0.3635469079017639,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.2704800069332123,0.34736719727516174,0.1759674996137619,0.25610461831092834,0.48381632566452026,0.5829201340675354,0.2652374505996704,0.733189046382904,0.4394008219242096,0.22068053483963013
bondage,0.14159630239009857,0.1913725733757019,1.0,0.2042742222547531,0.1913725733757019,0.18090683221817017,0.23749704658985138,0.2260330468416214,0.23764976859092712,0.2935681641101837,0.2533521056175232,0.20901623368263245,0.14398193359375,0.22759978473186493,0.2716759741306305,0.2906801402568817,0.2042742222547531,0.2638302445411682,0.1839076280593872
of,0.3665722906589508,0.733189046382904,0.2042742222547531,1.0,0.733189046382904,0.2473582625389099,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23473061621189117,0.2513895630836487,0.1719115972518921,0.21446028351783752,0.3886612355709076,0.5052502155303955,0.22602593898773193,1.0,0.38364991545677185,0.1826142966747284
the,0.367077499628067,1.0,0.1913725733757019,0.733189046382904,1.0,0.3635469079017639,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.2704800069332123,0.34736719727516174,0.1759674996137619,0.25610461831092834,0.48381632566452026,0.5829201340675354,0.2652374505996704,0.733189046382904,0.4394008219242096,0.22068053483963013
will,0.27299419045448303,0.3635469079017639,0.18090683221817017,0.2473582625389099,0.3635469079017639,1.0,0.29706671833992004,0.3510494530200958,0.3551507890224457,0.2703714370727539,0.40638336539268494,0.12248248606920242,0.18123114109039307,0.3047071695327759,0.3401327431201935,0.18480820953845978,0.2473582625389099,0.18230228126049042,0.35046905279159546
and,0.3610946238040924,0.5171257257461548,0.2573475241661072,0.5116966962814331,0.5171257257461548,0.35983073711395264,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.37551814317703247,0.34479495882987976,0.20796556770801544,0.19056165218353271,0.49487000703811646,0.3739250600337982,0.28024056553840637,0.5116966962814331,0.4234102666378021,0.20544172823429108
the,0.367077499628067,1.0,0.1913725733757019,0.733189046382904,1.0,0.3635469079017639,0.4933079481124878,0.42745697498321533,0.44152235984802246,0.2704800069332123,0.34736719727516174,0.1759674996137619,0.25610461831092834,0.48381632566452026,0.5829201340675354,0.2652374505996704,0.733189046382904,0.4394008219242096,0.22068053483963013
catechism,0.17798656225204468,0.23989783227443695,0.27610164880752563,0.2834422290325165,0.23989783227443695,0.07307032495737076,0.24122951924800873,0.29557177424430847,0.18433009088039398,0.19849686324596405,0.16412173211574554,0.3202340006828308,0.2514410614967346,0.2166789472103119,0.1963084191083908,0.3329288363456726,0.2834422290325165,0.16066335141658783,0.25135189294815063
.,0.28636154532432556,0.5934505462646484,0.2477165013551712,0.5352458953857422,0.5934505462646484,0.33682769536972046,0.6812511086463928,0.3567904531955719,0.41511186957359314,0.33121398091316223,0.35288307070732117,0.24907569587230682,0.23733025789260864,0.515582263469696,0.50484299659729,0.21435262262821198,0.5352458953857422,0.3119256794452667,0.4130953550338745
'',0.04215095192193985,0.041273195296525955,0.06414560228586197,0.13035868108272552,0.041273195296525955,-0.00181001634337008,-0.037358131259679794,0.08143015950918198,0.021007593721151352,-0.0059536839835345745,0.01978493109345436,-0.04572787508368492,0.029715314507484436,0.006628023460507393,0.04890415817499161,0.0007793467375449836,0.13035868108272552,0.016508836299180984,0.018684765323996544
