,what,part,of,the,teaching,council,act,requires,registration,?
council,0.16933071613311768,0.22673627734184265,0.2972237169742584,0.2829204201698303,0.22161731123924255,1.0,0.21388602256774902,0.15706565976142883,0.24433425068855286,0.1160062924027443
act,0.2622668445110321,0.22309119999408722,0.2802577316761017,0.28682878613471985,0.19314156472682953,0.21388602256774902,1.0,0.27995237708091736,0.34403014183044434,0.1482519507408142
2001,-0.11417052894830704,-0.04330666363239288,-0.08535187691450119,-0.07246288657188416,-0.09146860241889954,-0.06973838061094284,-0.08944440633058548,-0.03595376014709473,-0.0891106128692627,-0.08740651607513428
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.2547089457511902,0.23820561170578003,0.1787904053926468,0.199883371591568,0.22639964520931244,0.31091248989105225
a,0.3320399522781372,0.3994528353214264,0.5052502155303955,0.5829201340675354,0.21643459796905518,0.16385574638843536,0.2060188204050064,0.322436660528183,0.3293933570384979,0.23916715383529663
person,0.41527870297431946,0.22811901569366455,0.27674683928489685,0.3487054407596588,0.25527477264404297,0.18611134588718414,0.2587434947490692,0.27883702516555786,0.2343783974647522,0.324093222618103
employed,0.15165269374847412,0.15324681997299194,0.22383978962898254,0.2112865000963211,0.26491251587867737,0.1602952480316162,0.1712375283241272,0.20759397745132446,0.21296556293964386,0.1261894851922989
in,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.2659059166908264,0.2689173221588135,0.22050046920776367,0.16126661002635956,0.2465285360813141,0.20430970191955566
any,0.43670421838760376,0.28223666548728943,0.3769088089466095,0.4525727927684784,0.23059195280075073,0.17267656326293945,0.2890753746032715,0.4542753994464874,0.4066382944583893,0.4113408327102661
capacity,0.16428391635417938,0.09381939470767975,0.21035969257354736,0.1849547177553177,0.12413039058446884,0.15678980946540833,0.14213187992572784,0.23603862524032593,0.17676416039466858,0.17383241653442383
in,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.2659059166908264,0.2689173221588135,0.22050046920776367,0.16126661002635956,0.2465285360813141,0.20430970191955566
a,0.3320399522781372,0.3994528353214264,0.5052502155303955,0.5829201340675354,0.21643459796905518,0.16385574638843536,0.2060188204050064,0.322436660528183,0.3293933570384979,0.23916715383529663
recognised,0.22302114963531494,0.22339826822280884,0.29297497868537903,0.2839850187301636,0.21129196882247925,0.19425587356090546,0.2397914081811905,0.2498880922794342,0.23183821141719818,0.1985509693622589
teaching,0.27416905760765076,0.1866762638092041,0.2911611497402191,0.2182690054178238,1.0000001192092896,0.22161731123924255,0.19314156472682953,0.24756506085395813,0.23356154561042786,0.20424684882164001
post,0.2384328991174698,0.1190645843744278,0.20282196998596191,0.26656362414360046,0.10416685044765472,0.18861708045005798,0.1986914426088333,0.14708979427814484,0.20717935264110565,0.23729883134365082
-,0.13380742073059082,0.19686685502529144,0.2919245660305023,0.3207225501537323,0.11944629997015,0.1367199718952179,0.09518595039844513,0.16456782817840576,0.19687362015247345,0.3336010277271271
who,0.40942975878715515,0.19576206803321838,0.2827862501144409,0.3733934462070465,0.2535073459148407,0.19620807468891144,0.2015037089586258,0.1012532189488411,0.23658575117588043,0.26220351457595825
is,0.28837618231773376,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.16213442385196686,0.2196589708328247,0.18206438422203064,0.3339230418205261,0.18513651192188263,0.22961433231830597
not,0.5449194312095642,0.2769853472709656,0.3307090103626251,0.4310511648654938,0.28950080275535583,0.16596728563308716,0.2604115903377533,0.40184903144836426,0.2501163184642792,0.41942933201789856
registered,0.18316222727298737,0.18298162519931793,0.17804858088493347,0.23383188247680664,0.18114711344242096,0.18228405714035034,0.23692305386066437,0.22267182171344757,0.6319898366928101,0.24155336618423462
with,0.2464839518070221,0.294111043214798,0.41827285289764404,0.4223487675189972,0.17801906168460846,0.10649243742227554,0.18591532111167908,0.29640448093414307,0.15833453834056854,0.2433311939239502
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2182690054178238,0.2829204201698303,0.28682878613471985,0.2693159878253937,0.2935751974582672,0.22068053483963013
teaching,0.27416905760765076,0.1866762638092041,0.2911611497402191,0.2182690054178238,1.0000001192092896,0.22161731123924255,0.19314156472682953,0.24756506085395813,0.23356154561042786,0.20424684882164001
council,0.16933071613311768,0.22673627734184265,0.2972237169742584,0.2829204201698303,0.22161731123924255,1.0,0.21388602256774902,0.15706565976142883,0.24433425068855286,0.1160062924027443
-,0.13380742073059082,0.19686685502529144,0.2919245660305023,0.3207225501537323,0.11944629997015,0.1367199718952179,0.09518595039844513,0.16456782817840576,0.19687362015247345,0.3336010277271271
may,0.25739946961402893,0.18155068159103394,0.26447007060050964,0.2694292366504669,0.176097571849823,0.08836175501346588,0.16605353355407715,0.17947183549404144,0.1988236904144287,0.2768254578113556
not,0.5449194312095642,0.2769853472709656,0.3307090103626251,0.4310511648654938,0.28950080275535583,0.16596728563308716,0.2604115903377533,0.40184903144836426,0.2501163184642792,0.41942933201789856
be,0.3929833769798279,0.24258971214294434,0.33904364705085754,0.4248143136501312,0.2096574753522873,0.1781650185585022,0.29223379492759705,0.34043407440185547,0.25392019748687744,0.3324260413646698
paid,0.254770964384079,0.13064199686050415,0.22769756615161896,0.22871042788028717,0.2062137871980667,0.18840095400810242,0.15563000738620758,0.16525478661060333,0.25598880648612976,0.20964482426643372
from,0.2737620174884796,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.20678803324699402,0.16122816503047943,0.15529605746269226,0.1418413668870926,0.20496681332588196,0.19969791173934937
oireachtas,0.2950538992881775,0.2472965270280838,0.3318467140197754,0.36323079466819763,0.243337020277977,0.45641952753067017,0.36145666241645813,0.27465084195137024,0.3597833812236786,0.18889372050762177
funds,0.15644897520542145,0.1714838296175003,0.24558281898498535,0.23871955275535583,0.3095417022705078,0.27734899520874023,0.2565767467021942,0.2694941461086273,0.36706700921058655,0.12731410562992096
.,0.3567904531955719,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.26479530334472656,0.2314436286687851,0.2025400698184967,0.22641335427761078,0.24190650880336761,0.4130953550338745
