,what,is,the,largest,stadium,in,australia,?
museums,0.18489275872707367,0.19032974541187286,0.2721219062805176,0.32291871309280396,0.29675623774528503,0.2833188474178314,0.20806419849395752,0.1374243199825287
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2056228220462799,0.5201468467712402,0.22314006090164185,0.31091248989105225
art,0.19292277097702026,0.17386884987354279,0.20297785103321075,0.14760227501392365,0.1285441815853119,0.2282189577817917,0.20577692985534668,0.138971745967865
galleries,0.17793069779872894,0.16632306575775146,0.27603694796562195,0.24718667566776276,0.1707482486963272,0.2712664008140564,0.313486784696579,0.1957392692565918
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.11777293682098389,0.4954058527946472,0.2804507613182068,0.20544172823429108
theatres,0.13976961374282837,0.190605029463768,0.2874569296836853,0.2550923228263855,0.24376487731933594,0.3121017515659332,0.20559653639793396,0.10397201776504517
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.11777293682098389,0.4954058527946472,0.2804507613182068,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.18311816453933716,0.5394441485404968,0.1734699010848999,0.22961433231830597
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2870445251464844,0.18786947429180145,0.5073733329772949,0.26121261715888977,0.21848613023757935
described,0.22590412199497223,0.2517563998699188,0.2878154516220093,0.14483295381069183,0.032999493181705475,0.28813880681991577,0.1615380048751831,0.1374269425868988
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1819920688867569,0.1262112706899643,0.3887844979763031,0.21074992418289185,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.06791853159666061,-0.05335662513971329,0.04765888676047325,-0.0577358677983284,0.0685480609536171
sporting,0.13019490242004395,0.19381001591682434,0.2211751937866211,0.19452521204948425,0.31712785363197327,0.24529825150966644,0.21076451241970062,0.14904242753982544
capital,0.17967931926250458,0.2849797308444977,0.3049491047859192,0.37960806488990784,0.3196227252483368,0.3233928978443146,0.14529405534267426,0.0907452180981636
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.17126937210559845,0.5696388483047485,0.2669609785079956,0.1826142966747284
australia,0.1913539320230484,0.1734699010848999,0.26828548312187195,0.23721256852149963,0.14926154911518097,0.2697675824165344,1.0,0.15702682733535767
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.010605577379465103,0.024044575169682503,0.07432962208986282,0.008269610814750195,0.018684765323996544
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.1958179920911789,0.5591574311256409,0.2899940609931946,0.4130953550338745
