,how,many,ministries,of,the,scottish,government,does,a,committee,typically,correspond,to,?
of,0.2480744868516922,0.37253960967063904,0.28758347034454346,1.0,0.733189046382904,0.1698460429906845,0.3475167155265808,0.3119818866252899,0.5052502155303955,0.2920650243759155,0.28964799642562866,0.3131212592124939,0.41548454761505127,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2521178126335144,0.733189046382904,1.0,0.21724988520145416,0.31798112392425537,0.35928019881248474,0.5829201340675354,0.24322165548801422,0.33345210552215576,0.3562204837799072,0.535392165184021,0.22068053483963013
departments,0.20130792260169983,0.2318371832370758,0.4570772051811218,0.319271445274353,0.322636216878891,0.12316881865262985,0.37997356057167053,0.10541842877864838,0.12903155386447906,0.3266986310482025,0.20201683044433594,0.2383895069360733,0.21612223982810974,0.11303292214870453
(,0.1676948219537735,0.1455259770154953,0.1969609558582306,0.35032153129577637,0.33289089798927307,0.1946880966424942,0.14655277132987976,0.2728188931941986,0.3206180930137634,0.16935284435749054,0.11914245039224625,0.26838839054107666,0.30882009863853455,0.40561532974243164
or,0.3378981947898865,0.36905089020729065,0.21311135590076447,0.3792596757411957,0.4174870550632477,0.18833233416080475,0.2456667572259903,0.4248845875263214,0.48853766918182373,0.219742551445961,0.558444619178772,0.34399932622909546,0.38921234011650085,0.32389625906944275
ministries,0.1438082456588745,0.21360433101654053,1.0000001192092896,0.28758347034454346,0.2521178126335144,0.20466384291648865,0.5181805491447449,0.22502385079860687,0.1885065883398056,0.3319837152957916,0.11459874361753464,0.12597312033176422,0.22605584561824799,0.15872813761234283
),0.17939934134483337,0.16602720320224762,0.18815165758132935,0.3680361211299896,0.3456730246543884,0.17440292239189148,0.15263929963111877,0.2575884759426117,0.3640355169773102,0.16436767578125,0.14504045248031616,0.23749148845672607,0.31236231327056885,0.42300865054130554
of,0.2480744868516922,0.37253960967063904,0.28758347034454346,1.0,0.733189046382904,0.1698460429906845,0.3475167155265808,0.3119818866252899,0.5052502155303955,0.2920650243759155,0.28964799642562866,0.3131212592124939,0.41548454761505127,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2521178126335144,0.733189046382904,1.0,0.21724988520145416,0.31798112392425537,0.35928019881248474,0.5829201340675354,0.24322165548801422,0.33345210552215576,0.3562204837799072,0.535392165184021,0.22068053483963013
scottish,0.10600311309099197,0.12051273137331009,0.20466384291648865,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.17260609567165375,0.13870032131671906,0.18544672429561615,0.17743992805480957,0.14309445023536682,0.1606239229440689,0.1268421709537506,0.06442669779062271
government,0.21719732880592346,0.27652618288993835,0.5181805491447449,0.3475167155265808,0.31798112392425537,0.17260609567165375,1.0000001192092896,0.19420266151428223,0.25158295035362244,0.3908291459083557,0.13976189494132996,0.15056036412715912,0.28343796730041504,0.18851417303085327
.,0.3287222981452942,0.3974229395389557,0.25748494267463684,0.5352458953857422,0.5934505462646484,0.20125295221805573,0.2521961033344269,0.3022993505001068,0.50484299659729,0.18011361360549927,0.25537845492362976,0.23305746912956238,0.4645031690597534,0.4130953550338745
