,who,is,known,as,the,first,keeper,of,fine,art,collection,at,the,v,&,a,?
much,0.2998695373535156,0.3156087100505829,0.2587057054042816,0.36514025926589966,0.35023224353790283,0.21792817115783691,0.125752791762352,0.2671096920967102,0.26485928893089294,0.22760595381259918,0.2052551805973053,0.23158283531665802,0.35023224353790283,0.1297939568758011,0.07631460577249527,0.2958075702190399,0.23442231118679047
emphasised,0.18541066348552704,0.1996648609638214,0.2489902824163437,0.30446144938468933,0.2592534124851227,0.20484060049057007,0.14197659492492676,0.32784363627433777,0.23324449360370636,0.25766462087631226,0.236867755651474,0.21538200974464417,0.2592534124851227,0.08395566046237946,0.19933104515075684,0.2606741189956665,0.2444843202829361
as,0.3923053741455078,0.43216490745544434,0.4815765619277954,1.0,0.48381632566452026,0.33842000365257263,0.23128803074359894,0.3886612355709076,0.27508237957954407,0.19598303735256195,0.23568034172058105,0.28092536330223083,0.48381632566452026,0.10349564254283905,0.22134603559970856,0.39550232887268066,0.27043893933296204
opposed,0.28829503059387207,0.18266244232654572,0.2595432996749878,0.31252068281173706,0.24302934110164642,0.20592594146728516,0.09212110936641693,0.25387564301490784,0.20269908010959625,0.15055352449417114,0.15922555327415466,0.14661119878292084,0.24302934110164642,0.13271178305149078,0.0019617187790572643,0.229469895362854,0.23428945243358612
to,0.42656609416007996,0.42745086550712585,0.14337651431560516,0.42092081904411316,0.535392165184021,0.3792489171028137,0.2145770639181137,0.41548454761505127,0.2511158287525177,0.22068513929843903,0.15417452156543732,0.36524343490600586,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.29463258385658264
that,0.45444270968437195,0.3995479643344879,0.20813259482383728,0.4735107421875,0.5473989248275757,0.3482176661491394,0.22163699567317963,0.41498205065727234,0.29851478338241577,0.22609536349773407,0.22439968585968018,0.3183255195617676,0.5473989248275757,0.14623945951461792,0.13811425864696503,0.47537946701049805,0.32716336846351624
of,0.2827862501144409,0.4854315221309662,0.35814476013183594,0.3886612355709076,0.733189046382904,0.3536086082458496,0.18689848482608795,1.0,0.2549513578414917,0.22648051381111145,0.2915455996990204,0.42558613419532776,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
``,0.02397952415049076,0.058766357600688934,0.00922766886651516,0.03910288214683533,0.029072100296616554,0.006519378628581762,-0.043303608894348145,0.06780257821083069,0.016552353277802467,-0.0327768474817276,-0.11072426289319992,-0.07642947137355804,0.029072100296616554,0.01636357791721821,-0.14380550384521484,0.07272057235240936,0.0685480609536171
high,0.14553065598011017,0.2383800595998764,0.15818224847316742,0.23253053426742554,0.28034812211990356,0.15943139791488647,0.08040601015090942,0.2803038954734802,0.23964880406856537,0.18495027720928192,0.1463097631931305,0.2874184250831604,0.28034812211990356,0.11527007818222046,0.18047258257865906,0.22865821421146393,0.11137914657592773
art,0.14986436069011688,0.17386884987354279,0.15160098671913147,0.19598303735256195,0.20297785103321075,0.185503751039505,0.15420597791671753,0.22648051381111145,0.3060799539089203,1.0,0.3446033000946045,0.17421728372573853,0.20297785103321075,0.12526747584342957,0.1891014128923416,0.1329297125339508,0.138971745967865
'',0.024401003494858742,0.0793738141655922,0.06905213743448257,0.006628023460507393,0.041273195296525955,-0.03874251991510391,0.026396330446004868,0.13035868108272552,0.10963663458824158,0.09271647781133652,0.0360775850713253,0.04379578307271004,0.041273195296525955,0.03103136084973812,-0.007392024155706167,0.04890415817499161,0.018684765323996544
at,0.22096660733222961,0.25906258821487427,0.19818158447742462,0.28092536330223083,0.457212895154953,0.3138778805732727,0.16525204479694366,0.42558613419532776,0.27880343794822693,0.17421728372573853,0.15476343035697937,1.0,0.457212895154953,0.16234125196933746,0.12151119112968445,0.3095070421695709,0.21978627145290375
the,0.3733934462070465,0.5823672413825989,0.3624623417854309,0.48381632566452026,1.0,0.49448907375335693,0.199326753616333,0.733189046382904,0.21014350652694702,0.20297785103321075,0.25281965732574463,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
national,0.18105065822601318,0.23413582146167755,0.17896312475204468,0.21661384403705597,0.32739606499671936,0.2272171974182129,0.15072496235370636,0.3314673602581024,0.1860697865486145,0.17277342081069946,0.217006117105484,0.25194111466407776,0.32739606499671936,0.10848595201969147,0.1480441838502884,0.27889734506607056,0.15643028914928436
gallery,0.16549232602119446,0.15374112129211426,0.10172827541828156,0.21243180334568024,0.19251246750354767,0.19828085601329803,0.19661229848861694,0.1971534639596939,0.30615562200546265,0.5883238911628723,0.42902910709381104,0.23417964577674866,0.19251246750354767,0.14258474111557007,0.21348820626735687,0.13071094453334808,0.18202216923236847
and,0.41279885172843933,0.3859752118587494,0.3468935489654541,0.49487000703811646,0.5171257257461548,0.3167642652988434,0.18691301345825195,0.5116966962814331,0.31618571281433105,0.2631918787956238,0.2379438579082489,0.3571503460407257,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
scholarship,0.27620676159858704,0.17051438987255096,0.12396284192800522,0.21137818694114685,0.22848187386989594,0.247123584151268,0.13454727828502655,0.2209954857826233,0.14888638257980347,0.2788378894329071,0.2455245852470398,0.27096912264823914,0.22848187386989594,0.14727263152599335,0.1340494155883789,0.2465747743844986,0.07760601490736008
at,0.22096660733222961,0.25906258821487427,0.19818158447742462,0.28092536330223083,0.457212895154953,0.3138778805732727,0.16525204479694366,0.42558613419532776,0.27880343794822693,0.17421728372573853,0.15476343035697937,1.0,0.457212895154953,0.16234125196933746,0.12151119112968445,0.3095070421695709,0.21978627145290375
the,0.3733934462070465,0.5823672413825989,0.3624623417854309,0.48381632566452026,1.0,0.49448907375335693,0.199326753616333,0.733189046382904,0.21014350652694702,0.20297785103321075,0.25281965732574463,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
british,0.2666113078594208,0.19484983384609222,0.22316274046897888,0.23103800415992737,0.28973397612571716,0.23959001898765564,0.13819704949855804,0.23701532185077667,0.1131916344165802,0.1394215226173401,0.15021207928657532,0.21751968562602997,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
museum,0.14649315178394318,0.18299639225006104,0.11349175125360489,0.15384963154792786,0.24861779808998108,0.19499869644641876,0.19603568315505981,0.23314370214939117,0.296663761138916,0.5128974318504333,0.4441815912723541,0.23034606873989105,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.14128351211547852
.,0.3541337847709656,0.4569662809371948,0.283290296792984,0.515582263469696,0.5934505462646484,0.4345304071903229,0.1787964403629303,0.5352458953857422,0.2575972080230713,0.21795564889907837,0.2516246736049652,0.4549728035926819,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.4130953550338745
