,what,was,tesla,'s,position,with,westinghouse,?
),0.26259949803352356,0.3267642855644226,0.22692398726940155,0.021107977256178856,0.26386576890945435,0.3069596290588379,0.18788452446460724,0.42300865054130554
per,0.21384303271770477,0.12717042863368988,0.2078201323747635,0.06270148605108261,0.08638328313827515,0.19558830559253693,0.13784749805927277,0.22323818504810333
month,0.21444633603096008,0.25208011269569397,0.1450187712907791,-0.02560724876821041,0.2489413022994995,0.25077709555625916,0.08289103209972382,0.23961511254310608
to,0.455847829580307,0.3636345863342285,0.17548894882202148,0.03782717138528824,0.2374807894229889,0.4239959120750427,0.22176946699619293,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.15180771052837372,0.025217169895768166,0.23193661868572235,0.36101722717285156,0.2052488476037979,0.3324260413646698
a,0.3320399522781372,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.28626853227615356,0.3783375024795532,0.25513118505477905,0.23916715383529663
consultant,0.18970462679862976,0.29380151629447937,0.2050866335630417,0.04430541768670082,0.24352166056632996,0.18532593548297882,0.3461652100086212,0.1217312291264534
at,0.2838611304759979,0.36707764863967896,0.16552478075027466,-0.08481216430664062,0.20755837857723236,0.29126521944999695,0.24553091824054718,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.3183514177799225,0.4223487675189972,0.3101098835468292,0.22068053483963013
westinghouse,0.16126319766044617,0.30702054500579834,0.35764777660369873,-0.008012998849153519,0.10473787784576416,0.22273582220077515,0.9999999403953552,0.17307911813259125
electric,0.15451551973819733,0.17723047733306885,0.3824412524700165,-0.0115516884252429,0.1200265884399414,0.17031213641166687,0.4146316647529602,0.15674720704555511
&,0.11141876131296158,0.12134000658988953,0.12341691553592682,-0.02038128487765789,0.020133065059781075,0.20013411343097687,0.19122982025146484,0.12596383690834045
manufacturing,0.1945977807044983,0.22300750017166138,0.350337952375412,-0.030407974496483803,0.08763853460550308,0.218266099691391,0.3919288218021393,0.11596895009279251
company,0.2333769053220749,0.2293137013912201,0.23045730590820312,0.003266559913754463,0.18375492095947266,0.24132338166236877,0.35389670729637146,0.12195809185504913
's,0.02692362666130066,0.008974763564765453,0.06449045985937119,0.9999999403953552,-0.02956485003232956,-0.04624466598033905,-0.008012998849153519,-0.023395681753754616
pittsburgh,0.16984835267066956,0.24069096148014069,0.1537020057439804,-0.013219165615737438,0.1683696210384369,0.18008297681808472,0.2740878462791443,0.17622371017932892
labs,0.1502327024936676,0.18806350231170654,0.2709966003894806,0.02211691625416279,0.05855114758014679,0.1780708283185959,0.349134624004364,0.21238847076892853
.,0.3567904531955719,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.24342353641986847,0.4446153938770294,0.3097001910209656,0.4130953550338745
