,what,type,of,hermaphrodite,produces,egg,and,sperm,at,different,times,?
sperm,0.14184391498565674,0.12089673429727554,0.19975972175598145,0.5138568878173828,0.26009806990623474,0.5036136507987976,0.22000087797641754,1.0,0.16750331223011017,0.2293207347393036,0.12667374312877655,0.16449850797653198
mature,0.21875925362110138,0.18921594321727753,0.1752438247203827,0.4293029010295868,0.24716691672801971,0.3627597391605377,0.2821885645389557,0.4241170585155487,0.21224206686019897,0.27478569746017456,0.07132547348737717,0.18516455590724945
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.08027192205190659,0.13608449697494507,0.11049142479896545,0.3571503460407257,0.16750331223011017,1.0,0.27290254831314087,0.26909148693084717,0.21978627145290375
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.32738780975341797,0.27211442589759827,0.2479468137025833,0.39536112546920776,0.2293207347393036,0.27290254831314087,1.0,0.3256664574146271,0.24476227164268494
times,0.21414996683597565,0.09312371164560318,0.24352745711803436,0.1395513117313385,0.1432117372751236,0.16771341860294342,0.2611900568008423,0.12667374312877655,0.26909148693084717,0.3256664574146271,1.0,0.18880689144134521
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.1925351321697235,0.25228190422058105,0.24065689742565155,0.588965117931366,0.21084541082382202,0.4549728035926819,0.31511759757995605,0.2891986668109894,0.4130953550338745
,what,type,of,hermaphrodite,produces,egg,and,sperm,at,different,times,?
some,0.4491020441055298,0.2761056125164032,0.4300730526447296,0.29406851530075073,0.22276276350021362,0.24696651101112366,0.5337774157524109,0.2213142216205597,0.25582021474838257,0.5621556043624878,0.2114299237728119,0.2562315762042999
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2965511083602905,0.2817918658256531,0.22794848680496216,0.48576638102531433,0.26711368560791016,0.2074895054101944,0.5170795917510986,0.16137352585792542,0.24591213464736938
simultaneous,0.26387661695480347,0.21824632585048676,0.24249224364757538,0.2549152970314026,0.23312364518642426,0.11174514889717102,0.18287762999534607,0.2322010099887848,0.13592813909053802,0.3582664430141449,0.1653483659029007,0.13119907677173615
hermaphrodites,0.16502878069877625,0.20070308446884155,0.21455450356006622,0.9849292039871216,0.3351707458496094,0.42963993549346924,0.2342674732208252,0.5223646759986877,0.07645640522241592,0.3464145362377167,0.16202667355537415,0.14555899798870087
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20266716182231903,0.2517208456993103,0.2504134774208069,0.6633074283599854,0.1869887113571167,0.38314947485923767,0.32220861315727234,0.2897866368293762,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3121943473815918,0.3982868492603302,0.2861648201942444,0.506277859210968,0.2965317666530609,0.3286694884300232,0.48997771739959717,0.29070794582366943,0.25814583897590637
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.27897340059280396,0.3037745952606201,0.23497138917446136,0.3675691485404968,0.32085245847702026,0.16641086339950562,0.4908648133277893,0.20370972156524658,0.3226337134838104
produce,0.1685742735862732,0.22653578221797943,0.19541172683238983,0.40023985505104065,0.7626810669898987,0.252008855342865,0.2701570689678192,0.34388571977615356,0.15442807972431183,0.3171825408935547,0.1524282693862915,0.19229066371917725
both,0.3361809551715851,0.18151052296161652,0.3565710783004761,0.29582881927490234,0.19343999028205872,0.22011242806911469,0.5503310561180115,0.23005682229995728,0.3071100115776062,0.4186019003391266,0.270826131105423,0.19455738365650177
eggs,0.16247199475765228,0.1357540339231491,0.16213075816631317,0.3949572443962097,0.24874457716941833,0.7817180156707764,0.23515591025352478,0.5058096051216125,0.13014665246009827,0.21781402826309204,0.17225772142410278,0.1739477664232254
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.21870875358581543,0.25440889596939087,0.2350214719772339,1.0,0.22000087797641754,0.3571503460407257,0.39536112546920776,0.2611900568008423,0.20544172823429108
sperm,0.14184391498565674,0.12089673429727554,0.19975972175598145,0.5138568878173828,0.26009806990623474,0.5036136507987976,0.22000087797641754,1.0,0.16750331223011017,0.2293207347393036,0.12667374312877655,0.16449850797653198
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.08027192205190659,0.13608449697494507,0.11049142479896545,0.3571503460407257,0.16750331223011017,1.0,0.27290254831314087,0.26909148693084717,0.21978627145290375
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19283606112003326,0.2783815562725067,0.18912272155284882,0.5171257257461548,0.22325800359249115,0.457212895154953,0.36412742733955383,0.29093852639198303,0.22068053483963013
same,0.3764382302761078,0.23870258033275604,0.3808329105377197,0.24786584079265594,0.22254441678524017,0.21761353313922882,0.3205644488334656,0.24233569204807281,0.32705798745155334,0.5916512608528137,0.3299868404865265,0.22649677097797394
time,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.1380992829799652,0.14815449714660645,0.1650555431842804,0.3025408685207367,0.18959008157253265,0.3956010341644287,0.34340640902519226,0.5334080457687378,0.27391523122787476
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.1925351321697235,0.25228190422058105,0.24065689742565155,0.588965117931366,0.21084541082382202,0.4549728035926819,0.31511759757995605,0.2891986668109894,0.4130953550338745
