,what,did,this,agitation,provide,later,generations,material,for,?
one,0.376489520072937,0.27659472823143005,0.4978463351726532,0.23028528690338135,0.3011925518512726,0.3542412519454956,0.32492515444755554,0.2350570559501648,0.384836345911026,0.2673267424106598
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.26874619722366333,0.27198103070259094,0.3458743393421173,0.2917875647544861,0.27520954608917236,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
'church,0.16605517268180847,0.1970224529504776,0.18685750663280487,0.2201935201883316,0.1710292547941208,0.24249900877475739,0.1433642953634262,0.19516564905643463,0.18186262249946594,0.1515081226825714
fathers,0.28093183040618896,0.3056555688381195,0.26144880056381226,0.17537175118923187,0.11244327574968338,0.23790396749973297,0.32989346981048584,0.13616624474525452,0.21623606979846954,0.15017558634281158
',0.3245812654495239,0.25488927960395813,0.4329338073730469,0.1427842378616333,0.14555726945400238,0.22560328245162964,0.1254647672176361,0.14757318794727325,0.31184524297714233,0.330942302942276
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.26874619722366333,0.27198103070259094,0.3458743393421173,0.2917875647544861,0.27520954608917236,0.4185989499092102,0.1826142966747284
anti-semitism,0.2613133192062378,0.2808336019515991,0.3003886342048645,0.4223744869232178,0.14036691188812256,0.21869723498821259,0.2253064513206482,0.20852893590927124,0.21198150515556335,0.1914309561252594
and,0.31309178471565247,0.34479495882987976,0.42353692650794983,0.26986420154571533,0.32960009574890137,0.4216292202472687,0.2797795236110687,0.2923409640789032,0.5064792633056641,0.20544172823429108
thus,0.30745524168014526,0.23622971773147583,0.4290628135204315,0.3060897886753082,0.32677027583122253,0.3058122396469116,0.25505009293556213,0.3046824038028717,0.35466766357421875,0.18769288063049316
provided,0.2206064909696579,0.2778315246105194,0.3166451156139374,0.22577612102031708,0.7498367428779602,0.19649602472782135,0.21199475228786469,0.27901583909988403,0.38938868045806885,0.16893617808818817
material,0.2591213285923004,0.18850626051425934,0.38331592082977295,0.29867932200431824,0.31894993782043457,0.1445869356393814,0.2371663898229599,1.0000001192092896,0.26816701889038086,0.18117131292819977
for,0.3017193675041199,0.318512886762619,0.5082864165306091,0.2449975460767746,0.42299434542655945,0.3573088049888611,0.2599635720252991,0.26816701889038086,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
modern,0.2655639946460724,0.21376098692417145,0.28370019793510437,0.07792557775974274,0.1937340795993805,0.25565528869628906,0.2017594277858734,0.14903686940670013,0.22431503236293793,0.12475407868623734
hatred,0.26765236258506775,0.2563551664352417,0.25028711557388306,0.32622870802879333,0.061495717614889145,0.1860123872756958,0.19498983025550842,0.21717295050621033,0.13805176317691803,0.19089287519454956
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.26874619722366333,0.27198103070259094,0.3458743393421173,0.2917875647544861,0.27520954608917236,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
jews,0.22131574153900146,0.23080717027187347,0.2589765787124634,0.18473601341247559,0.11155438423156738,0.14935770630836487,0.1881067305803299,0.14982011914253235,0.19548188149929047,0.16730794310569763
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.198062464594841,0.20966707170009613,0.35016918182373047,0.21670173108577728,0.2189585268497467,0.4464869201183319,0.31091248989105225
cloaking,0.2814951539039612,0.18784740567207336,0.3241593539714813,0.38472938537597656,0.25054705142974854,0.16774879395961761,0.2065436691045761,0.4067437946796417,0.23802271485328674,0.18341444432735443
it,0.45803478360176086,0.2993364930152893,0.6107783317565918,0.2580546736717224,0.20449455082416534,0.3362252712249756,0.1838025152683258,0.3145681917667389,0.32171204686164856,0.25732165575027466
with,0.2464839518070221,0.25472134351730347,0.36358317732810974,0.22773249447345734,0.3074512183666229,0.2797884941101074,0.23424865305423737,0.22314715385437012,0.39140474796295166,0.2433311939239502
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
authority,0.23046736419200897,0.23189641535282135,0.21339759230613708,0.22794859111309052,0.3208763003349304,0.19134172797203064,0.19041772186756134,0.15261210501194,0.17207419872283936,0.18404170870780945
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.26874619722366333,0.27198103070259094,0.3458743393421173,0.2917875647544861,0.27520954608917236,0.4185989499092102,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
reformer,0.1662570685148239,0.1290028989315033,0.12959039211273193,0.2231784164905548,0.0862961858510971,0.28176814317703247,0.19089414179325104,0.1516854614019394,0.12535622715950012,0.11289013922214508
.,0.3567904531955719,0.35288307070732117,0.500583827495575,0.226018488407135,0.23842981457710266,0.3488861322402954,0.28161630034446716,0.24824832379817963,0.4726039469242096,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,0.015337302349507809,0.0059260712005198,0.024159517139196396,-0.019435737282037735,0.09271259605884552,0.03926503285765648,-0.04479556903243065,0.018684765323996544
