,lots,of,tumor,cells,have,fewer,of,what,type,of,molecule,on,their,surface,?
",",0.2995888292789459,0.4946078956127167,0.29120704531669617,0.20582014322280884,0.3541618287563324,0.2990303933620453,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.16086536645889282,0.49057599902153015,0.3045167922973633,0.23000483214855194,0.31091248989105225
especially,0.48327428102493286,0.37220633029937744,0.14804674685001373,0.1734854131937027,0.43123215436935425,0.35838714241981506,0.37220633029937744,0.3590192496776581,0.2649726867675781,0.37220633029937744,0.14778292179107666,0.2636910676956177,0.41187626123428345,0.2095840722322464,0.19751401245594025
if,0.26855799555778503,0.2557544410228729,0.2604111433029175,0.28476598858833313,0.48852935433387756,0.2768751382827759,0.2557544410228729,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.33959057927131653,0.24549968540668488,0.29658177495002747,0.2542034685611725,0.4441644251346588
the,0.27878767251968384,0.733189046382904,0.19744063913822174,0.19095487892627716,0.40389683842658997,0.37070468068122864,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24164284765720367,0.5107308030128479,0.516537070274353,0.2555135488510132,0.22068053483963013
tumor,0.09425816684961319,0.22209933400154114,1.0,0.46796542406082153,0.1509987860918045,0.13817229866981506,0.22209933400154114,0.245636448264122,0.16961295902729034,0.22209933400154114,0.32362720370292664,0.19277973473072052,0.14948239922523499,0.2426559329032898,0.18998058140277863
cells,0.19036106765270233,0.21305565536022186,0.46796542406082153,1.0,0.294906347990036,0.1721057891845703,0.21305565536022186,0.1758001297712326,0.2162136286497116,0.21305565536022186,0.4628199338912964,0.14727668464183807,0.2534589171409607,0.31813645362854004,0.1898086667060852
have,0.42483341693878174,0.3802283704280853,0.1509987860918045,0.294906347990036,0.9999999403953552,0.45821133255958557,0.3802283704280853,0.39808809757232666,0.242574080824852,0.3802283704280853,0.24466684460639954,0.36494916677474976,0.523270845413208,0.24156825244426727,0.32991164922714233
fewer,0.3648889362812042,0.30926164984703064,0.13817229866981506,0.1721057891845703,0.45821133255958557,1.0000001192092896,0.30926164984703064,0.2367485761642456,0.1665065884590149,0.30926164984703064,0.21530243754386902,0.2568764090538025,0.3891374170780182,0.1559802144765854,0.16989107429981232
mhc,0.18506070971488953,0.2909306585788727,0.40494397282600403,0.5492251515388489,0.35094398260116577,0.2573836147785187,0.2909306585788727,0.30283498764038086,0.316261887550354,0.2909306585788727,0.5668562054634094,0.21456308662891388,0.3031715750694275,0.3482617735862732,0.21010775864124298
class,0.08770930767059326,0.19740594923496246,0.07426197081804276,0.17829304933547974,0.19084791839122772,0.15248113870620728,0.19740594923496246,0.16880196332931519,0.29117298126220703,0.19740594923496246,0.1133396252989769,0.1869632750749588,0.19463683664798737,0.1603560745716095,0.12778934836387634
i,0.2018023282289505,0.25849398970603943,0.12357273697853088,0.18248969316482544,0.3702464699745178,0.16659075021743774,0.25849398970603943,0.4411132335662842,0.08881277590990067,0.25849398970603943,0.18262429535388947,0.238076314330101,0.19805239140987396,0.18625953793525696,0.4695145785808563
molecules,0.1885981261730194,0.24428431689739227,0.30136051774024963,0.5185227394104004,0.2827518880367279,0.19657568633556366,0.24428431689739227,0.2143162339925766,0.15775926411151886,0.24428431689739227,0.9170997142791748,0.16564491391181946,0.2535540759563446,0.3977697491645813,0.17409995198249817
on,0.2517080008983612,0.3966929316520691,0.19277973473072052,0.14727668464183807,0.36494916677474976,0.2568764090538025,0.3966929316520691,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.15391403436660767,0.9999999403953552,0.3598666191101074,0.2674844264984131,0.2714994251728058
their,0.292248010635376,0.4329940676689148,0.14948239922523499,0.2534589171409607,0.523270845413208,0.3891374170780182,0.4329940676689148,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.1886560171842575,0.3598666191101074,1.0,0.17626304924488068,0.1898253709077835
surface,0.17370961606502533,0.24204103648662567,0.2426559329032898,0.31813645362854004,0.24156825244426727,0.1559802144765854,0.24204103648662567,0.23580394685268402,0.2185751497745514,0.24204103648662567,0.3780505359172821,0.2674844264984131,0.17626304924488068,0.9999998807907104,0.14613434672355652
than,0.3157212734222412,0.33036211133003235,0.08158141374588013,0.1749618798494339,0.46517109870910645,0.5459814667701721,0.33036211133003235,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.2289435863494873,0.2864885926246643,0.30367133021354675,0.23491397500038147,0.24917294085025787
normal,0.25351229310035706,0.2300747036933899,0.2517804205417633,0.3492223918437958,0.39153462648391724,0.3490440249443054,0.2300747036933899,0.32813265919685364,0.32082346081733704,0.2300747036933899,0.2926390469074249,0.2309863418340683,0.3134346306324005,0.2695155739784241,0.19617988169193268
;,0.044946931302547455,0.054534342139959335,0.0030940533615648746,0.02023681066930294,0.10650043189525604,0.05680828168988228,0.054534342139959335,0.10986888408660889,-0.004756918177008629,0.054534342139959335,0.01940721645951271,-0.017878999933600426,0.0970027819275856,-0.01895035430788994,0.10349778085947037
this,0.33902353048324585,0.45148900151252747,0.2002609670162201,0.239293172955513,0.4660032093524933,0.35483846068382263,0.45148900151252747,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.3230941891670227,0.4193967580795288,0.40095847845077515,0.28005295991897583,0.3155723512172699
is,0.19612222909927368,0.4854315221309662,0.19921745359897614,0.1644774079322815,0.3613572418689728,0.24122995138168335,0.4854315221309662,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2565222382545471,0.3635730445384979,0.2101074606180191,0.29345643520355225,0.22961433231830597
a,0.2316628098487854,0.5052502155303955,0.25356221199035645,0.2297232300043106,0.338716596364975,0.26265600323677063,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25077784061431885,0.3848365545272827,0.29698723554611206,0.24436084926128387,0.23916715383529663
common,0.18573804199695587,0.2949881851673126,0.12517018616199493,0.1744508147239685,0.3370055556297302,0.30709630250930786,0.2949881851673126,0.19989867508411407,0.3472718596458435,0.2949881851673126,0.21242408454418182,0.22368024289608002,0.25892671942710876,0.20615459978580475,0.20434872806072235
phenomenon,0.17883852124214172,0.18447810411453247,0.17303499579429626,0.2635112404823303,0.2596270740032196,0.14254280924797058,0.18447810411453247,0.2867237627506256,0.1666090339422226,0.18447810411453247,0.3216020166873932,0.16270065307617188,0.1774080991744995,0.2991922199726105,0.19394198060035706
with,0.24130882322788239,0.41827285289764404,0.170615553855896,0.2187740057706833,0.48046383261680603,0.2975287139415741,0.41827285289764404,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.23379473388195038,0.40749499201774597,0.4258328378200531,0.1969025433063507,0.2433311939239502
tumors,0.16233420372009277,0.28337860107421875,0.8515713810920715,0.5030745267868042,0.28560951352119446,0.2380751222372055,0.28337860107421875,0.2539352476596832,0.18051652610301971,0.28337860107421875,0.37535151839256287,0.23008769750595093,0.22606343030929565,0.2902715504169464,0.1883699893951416
.,0.30123382806777954,0.5352458953857422,0.23771098256111145,0.2868211269378662,0.41614407300949097,0.29590389132499695,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24118401110172272,0.49257001280784607,0.34427863359451294,0.2543797492980957,0.4130953550338745
