,what,is,the,confusion,of,the,french,and,indian,war,?
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.1315179020166397,0.3966929316520691,0.5107308030128479,0.1382952481508255,0.4077630043029785,0.1533810794353485,0.23017507791519165,0.2714994251728058
both,0.3361809551715851,0.31409940123558044,0.4931981563568115,0.22423256933689117,0.3565710783004761,0.4931981563568115,0.25422075390815735,0.5503310561180115,0.18581083416938782,0.2750868797302246,0.19455738365650177
sides,0.2306775599718094,0.23974907398223877,0.3694373369216919,0.1703278124332428,0.2580065131187439,0.3694373369216919,0.2251926213502884,0.330885112285614,0.13920778036117554,0.2669115364551544,0.09230148047208786
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2222754955291748,1.0,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.262265145778656,0.733189046382904,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
conflict,0.32742366194725037,0.18503378331661224,0.2974752187728882,0.3426881432533264,0.2620731294155121,0.2974752187728882,0.17950670421123505,0.272842675447464,0.18607747554779053,0.49024683237075806,0.26744839549064636
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28259900212287903,0.4946078956127167,0.4933079481124878,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.18959911167621613,0.5116966962814331,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.20544172823429108
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3276735246181488,0.41498205065727234,0.5473989248275757,0.17619380354881287,0.4731321930885315,0.1324855089187622,0.22443464398384094,0.32716336846351624
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3942772448062897,0.45148900151252747,0.6274310946464539,0.2380896955728531,0.42353692650794983,0.16986532509326935,0.29429852962493896,0.3155723512172699
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.1521790474653244,0.4069072902202606,0.48711544275283813,0.2523815333843231,0.3740963041782379,0.23096419870853424,0.3560331463813782,0.18412111699581146
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.12165438383817673,0.452393114566803,0.527681291103363,0.1543947458267212,0.35301485657691956,0.17575600743293762,0.2434709668159485,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2222754955291748,1.0,0.733189046382904,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.262265145778656,0.733189046382904,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
seven,0.15978287160396576,0.18867620825767517,0.28151169419288635,0.09649214893579483,0.273354172706604,0.28151169419288635,0.16133227944374084,0.26877880096435547,0.12965519726276398,0.19957704842090607,0.1732930988073349
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.1547660231590271,0.2904134690761566,0.2912273406982422,0.17051009833812714,0.300204873085022,0.1961277425289154,0.3038960099220276,0.1914375126361847
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.25413843989372253,0.39136970043182373,0.474788099527359,0.15956202149391174,0.3053182065486908,0.1699446588754654,0.17949679493904114,0.330942302942276
war,0.22516006231307983,0.18502555787563324,0.366199791431427,0.25023406744003296,0.31680163741111755,0.366199791431427,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.15510529279708862
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28259900212287903,0.4946078956127167,0.4933079481124878,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2771179676055908,0.5052502155303955,0.5829201340675354,0.24285779893398285,0.3739250600337982,0.21449552476406097,0.2368277609348297,0.23916715383529663
much,0.45316147804260254,0.3156087100505829,0.35023224353790283,0.27743586897850037,0.2671096920967102,0.35023224353790283,0.1541515290737152,0.38395699858665466,0.18129819631576538,0.19383686780929565,0.23442231118679047
larger,0.23663538694381714,0.24218857288360596,0.378620445728302,0.21066109836101532,0.32469573616981506,0.378620445728302,0.1719469577074051,0.34781917929649353,0.12530222535133362,0.18932630121707916,0.1602165699005127
conflict,0.32742366194725037,0.18503378331661224,0.2974752187728882,0.3426881432533264,0.2620731294155121,0.2974752187728882,0.17950670421123505,0.272842675447464,0.18607747554779053,0.49024683237075806,0.26744839549064636
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.18988995254039764,0.3737983703613281,0.39067012071609497,0.14514502882957458,0.40645647048950195,0.15996702015399933,0.2612598240375519,0.12887074053287506
france,0.17793065309524536,0.22835302352905273,0.35517507791519165,0.17513859272003174,0.3265724182128906,0.35517507791519165,0.5492131114006042,0.2925812005996704,0.1593049019575119,0.2819103002548218,0.15069349110126495
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.18959911167621613,0.5116966962814331,0.5171257257461548,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.20544172823429108
great,0.2562883198261261,0.1345067322254181,0.2822027802467346,0.19707658886909485,0.3168134391307831,0.2822027802467346,0.11468937993049622,0.2591964602470398,0.2078254222869873,0.2144670933485031,0.13135133683681488
britain,0.24206450581550598,0.1415579617023468,0.29784059524536133,0.1731821894645691,0.28899943828582764,0.29784059524536133,0.26548969745635986,0.3187123239040375,0.20580832660198212,0.33082640171051025,0.1268460750579834
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2390674650669098,0.5352458953857422,0.5934505462646484,0.2480926215648651,0.588965117931366,0.2388933300971985,0.3000848889350891,0.4130953550338745
