,what,class,of,ships,is,an,example,of,large,passenger,liners,?
(,0.2411840260028839,0.1344621777534485,0.35032153129577637,0.15472929179668427,0.35393038392066956,0.286407470703125,0.23614145815372467,0.35032153129577637,0.1259251832962036,0.14790579676628113,0.20915751159191132,0.40561532974243164
such,0.23989605903625488,0.1532279998064041,0.3209529519081116,0.19957631826400757,0.23545363545417786,0.2025681436061859,0.4555383324623108,0.3209529519081116,0.3375214636325836,0.13964779675006866,0.2841814160346985,0.17851735651493073
as,0.31749409437179565,0.22566811740398407,0.3886612355709076,0.21477726101875305,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.24282054603099823,0.22001123428344727,0.19906261563301086,0.27043893933296204
the,0.42745697498321533,0.18034407496452332,0.733189046382904,0.279244989156723,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.3828733265399933,0.22676396369934082,0.21686457097530365,0.22068053483963013
olympic,0.1032477542757988,0.16254305839538574,0.18379977345466614,0.18695735931396484,0.14401084184646606,0.158891960978508,0.12990304827690125,0.18379977345466614,0.12615472078323364,0.21286717057228088,0.1215377226471901,0.14391231536865234
class,0.16880196332931519,1.0,0.19740594923496246,0.1585765928030014,0.1275252103805542,0.16298675537109375,0.22914035618305206,0.19740594923496246,0.17963100969791412,0.2384994924068451,0.19147922098636627,0.12778934836387634
),0.26259949803352356,0.16039183735847473,0.3680361211299896,0.15571799874305725,0.37732169032096863,0.2873353958129883,0.26101627945899963,0.3680361211299896,0.12569274008274078,0.17947472631931305,0.22366774082183838,0.42300865054130554
",",0.3087472915649414,0.1753857135772705,0.4946078956127167,0.21014784276485443,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.2263888567686081,0.2499629110097885,0.2460763305425644,0.31091248989105225
but,0.5029441118240356,0.21080657839775085,0.39942997694015503,0.24199596047401428,0.4106791317462921,0.27760404348373413,0.39983898401260376,0.39942997694015503,0.26450419425964355,0.21390996873378754,0.32361555099487305,0.27921953797340393
this,0.5489566326141357,0.23250019550323486,0.45148900151252747,0.20979198813438416,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.3440819978713989,0.1798902004957199,0.330524742603302,0.3155723512172699
was,0.22111038863658905,0.12477036565542221,0.4069072902202606,0.21883714199066162,0.5810302495956421,0.3694365322589874,0.16563157737255096,0.4069072902202606,0.21717436611652374,0.23960398137569427,0.13527026772499084,0.18412111699581146
ultimately,0.3084288239479065,0.08991959691047668,0.2608107626438141,0.21383202075958252,0.1967305839061737,0.20564736425876617,0.11652854830026627,0.2608107626438141,0.2621704041957855,0.14108125865459442,0.17804260551929474,0.18806859850883484
replaced,0.12975038588047028,0.13182513415813446,0.20067165791988373,0.16391724348068237,0.20220594108104706,0.1565866619348526,0.1846514493227005,0.20067165791988373,0.095944344997406,0.18484602868556976,0.137881800532341,0.14945141971111298
by,0.2455483376979828,0.12142201513051987,0.3646814823150635,0.24591349065303802,0.3899846076965332,0.2719563841819763,0.29030951857566833,0.3646814823150635,0.2555539309978485,0.15332263708114624,0.1954028457403183,0.17966607213020325
the,0.42745697498321533,0.18034407496452332,0.733189046382904,0.279244989156723,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.3828733265399933,0.22676396369934082,0.21686457097530365,0.22068053483963013
virtually,0.2943752110004425,0.16311413049697876,0.2850329577922821,0.19372624158859253,0.2573077380657196,0.1986105591058731,0.25166478753089905,0.2850329577922821,0.2739216983318329,0.16936005651950836,0.16058719158172607,0.18244148790836334
vibration-free,0.3048962950706482,0.22723354399204254,0.22784961760044098,0.19013534486293793,0.2639939486980438,0.24270296096801758,0.3391091823577881,0.22784961760044098,0.21808458864688873,0.21457690000534058,0.23814719915390015,0.3120870590209961
turbine,0.1404699683189392,0.23023703694343567,0.17630848288536072,0.22045907378196716,0.20463748276233673,0.19293712079524994,0.17572727799415588,0.17630848288536072,0.2404574453830719,0.27883729338645935,0.2264728993177414,0.16315746307373047
engine,0.18463268876075745,0.1652061492204666,0.17095594108104706,0.1964113414287567,0.18856970965862274,0.18337401747703552,0.17986296117305756,0.17095594108104706,0.18553940951824188,0.3695234954357147,0.19251348078250885,0.17739196121692657
.,0.3567904531955719,0.24688394367694855,0.5352458953857422,0.2274792641401291,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.2304532378911972,0.19574396312236786,0.2190575897693634,0.4130953550338745
