,what,is,the,name,of,another,type,of,modern,primality,test,?
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.1804078221321106,0.4946078956127167,0.2557750344276428,0.2514013350009918,0.17614826560020447,0.31091248989105225
probabilistic,0.36312082409858704,0.21101143956184387,0.24925124645233154,0.08025762438774109,0.27044472098350525,0.3600848615169525,0.26571527123451233,0.27044472098350525,0.24892574548721313,0.4517516493797302,0.27811548113822937,0.2061566412448883
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.2500171959400177,0.1677488386631012,0.35032153129577637,0.15444137156009674,0.23235595226287842,0.1613779515028,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19621294736862183,0.3792596757411957,0.4401204288005829,0.38183850049972534,0.3792596757411957,0.23133128881454468,0.2643619477748871,0.20949269831180573,0.32389625906944275
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.06123349070549011,0.03534303233027458,0.06780257821083069,0.07341054081916809,0.1691097617149353,0.02568148449063301,0.0685480609536171
monte,0.16423256695270538,0.20323650538921356,0.23243536055088043,0.15398520231246948,0.2197408378124237,0.14055633544921875,0.0911804661154747,0.2197408378124237,0.17856967449188232,0.2099359780550003,0.05182003974914551,0.09090651571750641
carlo,0.09441918134689331,0.13990789651870728,0.15600669384002686,0.12414618581533432,0.19275137782096863,0.18243199586868286,0.12298619002103806,0.19275137782096863,0.10108596831560135,0.23388506472110748,0.14052526652812958,0.09809290617704391
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.0015353172784671187,0.054222505539655685,0.13035868108272552,0.0925660952925682,0.05380835011601448,0.012245665304362774,0.018684765323996544
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.2743632197380066,0.18612703680992126,0.3680361211299896,0.17084072530269623,0.22714713215827942,0.16846168041229248,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.3214244842529297,0.16898801922798157,0.5116966962814331,0.3277876079082489,0.2639926075935364,0.22158049046993256,0.20544172823429108
deterministic,0.41523241996765137,0.33447402715682983,0.33725428581237793,0.11686018854379654,0.3430701494216919,0.3341737389564514,0.22269101440906525,0.3430701494216919,0.2809147238731384,0.5305546522140503,0.31328874826431274,0.26914435625076294
algorithms,0.25635042786598206,0.24730736017227173,0.167828768491745,0.11254376918077469,0.22317801415920258,0.19554920494556427,0.1785464584827423,0.22317801415920258,0.23668377101421356,0.3967086672782898,0.28283658623695374,0.186949223279953
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.3817248046398163,0.23195341229438782,0.5352458953857422,0.22790057957172394,0.23931632936000824,0.23588362336158752,0.4130953550338745
