,what,is,the,name,associated,with,the,eight,areas,that,make,up,a,part,of,southern,california,?
areas,0.23739881813526154,0.28282591700553894,0.3311663568019867,0.07826071977615356,0.1907569020986557,0.2644236087799072,0.3311663568019867,0.1878318339586258,0.9999999403953552,0.27244997024536133,0.23499320447444916,0.21080094575881958,0.24730755388736725,0.3895777761936188,0.2803763747215271,0.3084127902984619,0.1730828881263733,0.1273590475320816
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.27184680104255676,0.4120737314224243,0.4933079481124878,0.28017938137054443,0.2789289653301239,0.4137537479400635,0.324553906917572,0.34193792939186096,0.427140474319458,0.3376222252845764,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.27018114924430847,0.2543032765388489,0.3855307400226593,0.5514441132545471,0.5235236287117004,0.2672261595726013,0.5133185982704163,0.3527044355869293,0.30488982796669006,0.4910551905632019,0.38682618737220764,0.4999135136604309,0.18585622310638428,0.19388975203037262,0.2673267424106598
international,0.10870302468538284,0.19279639422893524,0.23719607293605804,0.06671662628650665,0.15989410877227783,0.22532625496387482,0.23719607293605804,0.18428796529769897,0.1733190417289734,0.16969050467014313,0.14421164989471436,0.14176760613918304,0.24617823958396912,0.1361146867275238,0.23367412388324738,0.24635693430900574,0.17338360846042633,0.15335838496685028
metropolitan,0.15624397993087769,0.20138509571552277,0.24378018081188202,0.14562265574932098,0.14108537137508392,0.1766650676727295,0.24378018081188202,0.12857531011104584,0.2757422626018524,0.16123276948928833,0.11489471793174744,0.16618181765079498,0.1711602658033371,0.3520502746105194,0.2863157391548157,0.280838280916214,0.14512869715690613,0.1861504763364792
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.2113826870918274,0.2303420901298523,0.37834644317626953,0.14071786403656006,0.6056747436523438,0.2566552460193634,0.13937629759311676,0.18057122826576233,0.2782127559185028,0.42262494564056396,0.3409860134124756,0.3466261029243469,0.18134087324142456,0.12640461325645447
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.27184680104255676,0.4120737314224243,0.4933079481124878,0.28017938137054443,0.2789289653301239,0.4137537479400635,0.324553906917572,0.34193792939186096,0.427140474319458,0.3376222252845764,0.4946078956127167,0.2795628309249878,0.2704589068889618,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.30157923698425293,0.5477725267410278,0.5171257257461548,0.33608970046043396,0.40107932686805725,0.4731321930885315,0.4160483181476593,0.4032393991947174,0.3739250600337982,0.35301485657691956,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.20544172823429108
multiple,0.19839626550674438,0.12635007500648499,0.20022359490394592,0.09473733603954315,0.2547195851802826,0.23303250968456268,0.20022359490394592,0.24073538184165955,0.1358465999364853,0.25217002630233765,0.19553528726100922,0.20258717238903046,0.23904410004615784,0.10553668439388275,0.20745883882045746,0.11745339632034302,0.15052105486392975,0.1591399908065796
metropolitan,0.15624397993087769,0.20138509571552277,0.24378018081188202,0.14562265574932098,0.14108537137508392,0.1766650676727295,0.24378018081188202,0.12857531011104584,0.2757422626018524,0.16123276948928833,0.11489471793174744,0.16618181765079498,0.1711602658033371,0.3520502746105194,0.2863157391548157,0.280838280916214,0.14512869715690613,0.1861504763364792
divisions,0.2232685685157776,0.19955606758594513,0.3125615119934082,0.15136577188968658,0.15070323646068573,0.17412646114826202,0.3125615119934082,0.2845156490802765,0.35026106238365173,0.21003998816013336,0.16707532107830048,0.22600950300693512,0.2018592804670334,0.3392433822154999,0.3138268291950226,0.22462257742881775,0.08554843068122864,0.14903524518013
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.2184346318244934,0.4446153938770294,0.5934505462646484,0.38036930561065674,0.23760369420051575,0.4460422694683075,0.3547073304653168,0.351434588432312,0.50484299659729,0.32817673683166504,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.4130953550338745
