,what,did,the,result,of,the,snp,majority,allow,a,referendum,be,held,on,?
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.6662389636039734,0.2307669222354889,0.2563854157924652,0.21222905814647675,0.539380669593811,0.28181248903274536,0.3481820821762085,0.3127288818359375,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.27778977155685425,0.733189046382904,1.0,0.283728688955307,0.28757327795028687,0.27822166681289673,0.5829201340675354,0.2520652413368225,0.4248143136501312,0.32185450196266174,0.5107308030128479,0.22068053483963013
scottish,0.13777151703834534,0.1726994663476944,0.21724988520145416,0.11163993924856186,0.1698460429906845,0.21724988520145416,0.4114224314689636,0.24249789118766785,0.09810471534729004,0.18544672429561615,0.2995991110801697,0.13774465024471283,0.14091922342777252,0.14497309923171997,0.06442669779062271
parliament,0.21650300920009613,0.20460043847560883,0.26521381735801697,0.130335733294487,0.2885259687900543,0.26521381735801697,0.4491223990917206,0.3722864091396332,0.20340754091739655,0.22951169312000275,0.5673837661743164,0.1534755527973175,0.24202166497707367,0.2047569900751114,0.1586504578590393
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.23653174936771393,0.41548454761505127,0.535392165184021,0.17458908259868622,0.26316750049591064,0.4900954067707062,0.45503583550453186,0.25115063786506653,0.4972836375236511,0.22177374362945557,0.41031414270401,0.29463258385658264
hold,0.20790280401706696,0.2510543167591095,0.3067915439605713,0.13637879490852356,0.2465030699968338,0.3067915439605713,0.17604734003543854,0.25761765241622925,0.3820999264717102,0.2822398841381073,0.24071288108825684,0.352611243724823,0.4960750639438629,0.2548828125,0.18586084246635437
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.2696843445301056,0.227370023727417,0.27607089281082153,1.0,0.21418535709381104,0.39883795380592346,0.22326228022575378,0.3848365545272827,0.23916715383529663
referendum,0.24703842401504517,0.19246472418308258,0.2520652413368225,0.25811767578125,0.21849936246871948,0.2520652413368225,0.4522494971752167,0.4379912316799164,0.2435310333967209,0.21418535709381104,0.9999999403953552,0.25599509477615356,0.25031667947769165,0.2337801307439804,0.18056513369083405
on,0.34226128458976746,0.2670976221561432,0.5107308030128479,0.22479186952114105,0.3966929316520691,0.5107308030128479,0.20196683704853058,0.20937225222587585,0.27814438939094543,0.3848365545272827,0.2337801307439804,0.37900757789611816,0.2410694807767868,0.9999999403953552,0.2714994251728058
scottish,0.13777151703834534,0.1726994663476944,0.21724988520145416,0.11163993924856186,0.1698460429906845,0.21724988520145416,0.4114224314689636,0.24249789118766785,0.09810471534729004,0.18544672429561615,0.2995991110801697,0.13774465024471283,0.14091922342777252,0.14497309923171997,0.06442669779062271
independence,0.24622133374214172,0.19588761031627655,0.2836182415485382,0.206783726811409,0.2965129017829895,0.2836182415485382,0.2798321843147278,0.2800809442996979,0.18635016679763794,0.19904725253582,0.5000646114349365,0.15336693823337555,0.17872074246406555,0.20299798250198364,0.12301119416952133
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.3462342321872711,0.30306822061538696,0.28562283515930176,0.50484299659729,0.1938503086566925,0.4383580684661865,0.2628571093082428,0.49257001280784607,0.4130953550338745
