,when,was,the,scale,to,measure,the,rhine,introduced,?
rheinkilometer,0.2799435257911682,0.24065354466438293,0.377916544675827,0.2284010648727417,0.29633307456970215,0.33996301889419556,0.377916544675827,0.5023218989372253,0.17957711219787598,0.2017219215631485
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.17252422869205475,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.16146816313266754,0.44245919585227966,0.18738344311714172,0.4933079481124878,0.167837992310524,0.22034090757369995,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.2199064940214157,0.45503583550453186,0.2953258156776428,0.5829201340675354,0.1823403388261795,0.2573881149291992,0.23916715383529663
scale,0.20322531461715698,0.1398085504770279,0.1833842247724533,1.0000001192092896,0.18474817276000977,0.4164413809776306,0.1833842247724533,0.09456667304039001,0.20122238993644714,0.21142835915088654
introduced,0.21339701116085052,0.32667654752731323,0.242969810962677,0.20122238993644714,0.22615164518356323,0.21785275638103485,0.242969810962677,0.09226672351360321,1.0,0.16386865079402924
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2105615884065628,0.45010748505592346,0.17892111837863922,0.6662389636039734,0.24648422002792358,0.2614979147911072,0.20430970191955566
1939,0.281677782535553,0.2539779245853424,0.3322303593158722,0.15817072987556458,0.24435016512870789,0.2551218867301941,0.3322303593158722,0.16051381826400757,0.08660081773996353,-0.0777229517698288
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.27186259627342224,0.5345056653022766,0.3194787800312042,0.6521818041801453,0.18744276463985443,0.27052173018455505,0.25814583897590637
runs,0.22240351140499115,0.1702742576599121,0.30832576751708984,0.06822313368320465,0.16705270111560822,0.11802289634943008,0.30832576751708984,0.24514833092689514,0.1523699313402176,0.08094297349452972
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.12860189378261566,0.4069952368736267,0.16865527629852295,0.40150508284568787,0.2181936800479889,0.1545238345861435,0.19969791173934937
the,0.5091903209686279,0.48711544275283813,1.0,0.1833842247724533,0.535392165184021,0.2528008222579956,1.0,0.30735138058662415,0.242969810962677,0.22068053483963013
old,0.36291906237602234,0.2867572605609894,0.31849798560142517,0.11831394582986832,0.2412436157464981,0.06004263833165169,0.31849798560142517,0.18212221562862396,0.17986805737018585,0.20577076077461243
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,0.09456667304039001,0.1736302673816681,0.1548519879579544,0.30735138058662415,1.0,0.09226672351360321,0.13754533231258392
bridge,0.14630869030952454,0.23293238878250122,0.27692803740501404,0.16251240670681,0.21516349911689758,0.0860995426774025,0.27692803740501404,0.2627650499343872,0.05515475943684578,0.1396101862192154
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.1441332846879959,0.36524343490600586,0.1993730217218399,0.457212895154953,0.19469857215881348,0.12144538760185242,0.21978627145290375
constance,0.21570254862308502,0.21918389201164246,0.23177717626094818,0.17686313390731812,0.22332163155078888,0.19141915440559387,0.23177717626094818,0.33406126499176025,0.11771923303604126,0.1427515298128128
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.1375715285539627,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
0,0.06868904083967209,0.023703420534729958,0.06647186726331711,-0.0675557404756546,0.03345681354403496,-0.02377748303115368,0.06647186726331711,0.019290808588266373,0.03407451882958412,0.0436553880572319
km,0.14619718492031097,0.19512154161930084,0.21376769244670868,0.15807929635047913,0.19593966007232666,0.20828932523727417,0.21376769244670868,0.22496221959590912,0.038265638053417206,0.08180338144302368
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.17252422869205475,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.18474817276000977,1.0,0.2774736285209656,0.535392165184021,0.1736302673816681,0.22615164518356323,0.29463258385658264
hoek,0.11979472637176514,0.24515780806541443,0.24397946894168854,0.12164940685033798,0.20419399440288544,0.16317079961299896,0.24397946894168854,0.43599072098731995,0.16468961536884308,0.15933550894260406
van,0.13589836657047272,0.20371906459331512,0.13541297614574432,0.12657301127910614,0.198682501912117,0.0874355286359787,0.13541297614574432,0.2172645628452301,0.1470334827899933,0.15528257191181183
holland,0.19806742668151855,0.239714115858078,0.21247440576553345,0.08659792691469193,0.22386394441127777,0.15292909741401672,0.21247440576553345,0.374037504196167,0.1565018892288208,0.14312024414539337
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.1375715285539627,0.30882009863853455,0.1863236427307129,0.33289089798927307,0.12381801009178162,0.1706768423318863,0.40561532974243164
1036.20,0.006208356935530901,0.08641434460878372,0.079269178211689,0.1798274964094162,0.03761889412999153,0.07630611211061478,0.079269178211689,0.04667671024799347,0.07396353036165237,-0.020128324627876282
km,0.14619718492031097,0.19512154161930084,0.21376769244670868,0.15807929635047913,0.19593966007232666,0.20828932523727417,0.21376769244670868,0.22496221959590912,0.038265638053417206,0.08180338144302368
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.17252422869205475,0.31236231327056885,0.1701265126466751,0.3456730246543884,0.12686386704444885,0.15697863698005676,0.42300865054130554
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23170605301856995,0.4645031690597534,0.23919615149497986,0.5934505462646484,0.2089352011680603,0.2799728810787201,0.4130953550338745
